index,Section,Title,Content
13,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Selection,"If the server selects a PSK, it MUST also select a key establishment mode from the client's 'psk_key_exchange_modes' extension. If the PSK can be used without (EC)DHE, non-overlap in 'supported_groups' is not fatal."
14,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,HelloRetryRequest Requirement,"If the server selects an (EC)DHE group and the client did not offer a compatible 'key_share', the server MUST respond with a HelloRetryRequest message."
15,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,ServerHello Parameter Indication,"If the server successfully selects parameters without requiring a HelloRetryRequest, it indicates the selected parameters in the ServerHello. If PSK is used, a 'pre_shared_key' extension is sent. When (EC)DHE is in use, a 'key_share' extension is also provided."
16,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Certificate Authentication,"When authenticating via a certificate, the server sends the Certificate and CertificateVerify messages. In TLS 1.3, either a PSK or a certificate is used, but not both."
17,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Handshake Failure Conditions,"If the server is unable to negotiate a supported set of parameters, it MUST abort the handshake with a 'handshake_failure' or 'insufficient_security' fatal alert."
18,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,"When a client first connects to a server, it is REQUIRED to send the ClientHello as its first TLS message. The client will also send a ClientHello when the server has responded to its ClientHello with a HelloRetryRequest. In that case, the client MUST send the same ClientHello without modification, except as follows: - If a ""key_share"" extension was supplied in the HelloRetryRequest, replacing the list of shares with a list containing a single KeyShareEntry from the indicated group. - Removing the ""early_data"" extension if one was present. Early data is not permitted after a HelloRetryRequest. - Including a ""cookie"" extension if one was provided in the HelloRetryRequest. - Updating the ""pre_shared_key"" extension if present by recomputing the ""obfuscated_ticket_age"" and binder values and (optionally) removing any PSKs which are incompatible with the server's indicated cipher suite. - Optionally adding, removing, or changing the length of the ""padding"" extension [RFC7685]. - Other modifications that may be allowed by an extension defined in the future and present in the HelloRetryRequest."
19,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Connection Termination Rules,"Because TLS 1.3 forbids renegotiation, if a server has negotiated TLS 1.3 and receives a ClientHello at any other time, it MUST terminate the connection with an ""unexpected_message"" alert. If a server established a TLS connection with a previous version of TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST retain the previous protocol version. In particular, it MUST NOT negotiate TLS 1.3."
20,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Structure,Structure of this message: uint16 ProtocolVersion; opaque Random[32]; uint8 CipherSuite[2]; struct { ProtocolVersion legacy_version = 0x0303; /* TLS v1.2 */ Random random; opaque legacy_session_id<0..32>; CipherSuite cipher_suites<2..2^16-2>; opaque legacy_compression_methods<1..2^8-1>; Extension extensions<8..2^16-1>; } ClientHello;
21,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,"1. legacy_version: Set to 0x0303 (TLS v1.2) for compatibility with middleboxes. The actual version is indicated using the ""supported_versions"" extension. 2. random: 32 bytes generated by a secure random number generator. 3. legacy_session_id: A cached session ID from a pre-TLS 1.3 server, or a new unpredictable value if none exists. 4. cipher_suites: A list of symmetric cipher options supported by the client. 5. legacy_compression_methods: Must contain exactly one byte, set to zero. 6. extensions: Clients request extended functionality from servers by sending data in the extensions field."
22,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extension Handling,"Clients request extended functionality from servers by sending data in the extensions field. In TLS 1.3, the use of certain extensions is mandatory, and servers MUST ignore unrecognized extensions. TLS 1.3 ClientHello messages always contain extensions, minimally the ""supported_versions"" extension."
23,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Message Reception and Processing,"After sending the ClientHello message, the client waits for a ServerHello or HelloRetryRequest message. If early data is in use, the client may transmit early Application Data while waiting for the next handshake message."
24,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Message Overview,The server will send this message in response to a ClientHello message to proceed with the handshake if it is able to negotiate an acceptable set of handshake parameters based on the ClientHello.
25,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Message Structure,"struct {
    ProtocolVersion legacy_version = 0x0303; /* TLS v1.2 */
    Random random;
    opaque legacy_session_id_echo<0..32>;
    CipherSuite cipher_suite;
    uint8 legacy_compression_method = 0;
    Extension extensions<6..2^16-1>;
} ServerHello;"
26,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,"1. **legacy_version**: Set to 0x0303 (TLS v1.2) for compatibility with middleboxes. The actual version is indicated using the ""supported_versions"" extension.

2. **random**: 32 bytes generated by a secure random number generator. The last 8 bytes must be overwritten if negotiating TLS 1.2 or TLS 1.1, while the rest must be random.

3. **legacy_session_id_echo**: Echoes the client's legacy_session_id. If this does not match the client's sent value, the handshake must abort with an ""illegal_parameter"" alert.

4. **cipher_suite**: The selected cipher suite from the ClientHello. If not offered, the handshake must abort with an ""illegal_parameter"" alert.

5. **legacy_compression_method**: Must be set to 0.

6. **extensions**: Must include only those necessary for establishing the cryptographic context. All TLS 1.3 ServerHello messages must contain the ""supported_versions"" extension."
27,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,HelloRetryRequest Compatibility,"The HelloRetryRequest message uses the same structure as the ServerHello, but with Random set to the SHA-256 of ""HelloRetryRequest"":

CF 21 AD 74 E5 9A 61 11 BE 1D 8C 02 1E 65 B8 91
C2 A2 11 16 7A BB 8C 5E 07 9E 09 E2 C8 A8 33 9C."
28,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Downgrade Protection Mechanism,"TLS 1.3 has a downgrade protection mechanism embedded in the server's random value. If negotiating TLS 1.2, the last 8 bytes of the Random value must be set to:

44 4F 57 4E 47 52 44 01

If negotiating TLS 1.1 or below, they should be set to:

44 4F 57 4E 47 52 44 00.

Clients must check these values and abort the handshake with an ""illegal_parameter"" alert if they match."
29,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Renegotiation Handling,"A legacy TLS client performing renegotiation with TLS 1.2 or prior that receives a TLS 1.3 ServerHello during renegotiation must abort the handshake with a ""protocol_version"" alert. Note that renegotiation is not possible when TLS 1.3 has been negotiated."
30,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,HelloRetryRequest Overview,"The server will send this message in response to a ClientHello message if it is able to find an acceptable set of parameters but the ClientHello does not contain sufficient information to proceed with the handshake. The HelloRetryRequest has the same format as a ServerHello message, and the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method fields have the same meaning. However, for convenience, this document discusses 'HelloRetryRequest' as if it were a distinct message."
31,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extensions Requirements,"The server's extensions MUST contain 'supported_versions'. Additionally, it SHOULD contain the minimal set of extensions necessary for the client to generate a correct ClientHello pair. A HelloRetryRequest MUST NOT contain any extensions that were not first offered by the client in its ClientHello, with the exception of optionally the 'cookie' extension."
32,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Client Processing of HelloRetryRequest,"Upon receipt of a HelloRetryRequest, the client MUST check the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method as specified in Section 4.1.3 and then process the extensions, starting with determining the version using 'supported_versions'. Clients MUST abort the handshake with an 'illegal_parameter' alert if the HelloRetryRequest would not result in any change in the ClientHello. If a client receives a second HelloRetryRequest in the same connection, it MUST abort the handshake with an 'unexpected_message' alert."
33,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extension Processing and Updated ClientHello,"Otherwise, the client MUST process all extensions in the HelloRetryRequest and send a second updated ClientHello. The HelloRetryRequest extensions defined in this specification are: - supported_versions (see Section 4.2.1) - cookie (see Section 4.2.2) - key_share (see Section 4.2.8). A client which receives a cipher suite that was not offered MUST abort the handshake."
34,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Cipher Suite Negotiation,"Servers MUST ensure that they negotiate the same cipher suite when receiving a conformant updated ClientHello. Upon receiving the ServerHello, clients MUST check that the cipher suite supplied in the ServerHello is the same as that in the HelloRetryRequest and otherwise abort the handshake with an 'illegal_parameter' alert."
35,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Pre-shared Key Considerations,"In its updated ClientHello, the client SHOULD NOT offer any pre-shared keys associated with a hash other than that of the selected cipher suite. This allows the client to avoid having to compute partial hash transcripts for multiple hashes in the second ClientHello."
36,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Version Retention in ServerHello,"The value of selected_version in the HelloRetryRequest 'supported_versions' extension MUST be retained in the ServerHello, and a client MUST abort the handshake with an 'illegal_parameter' alert if the value changes."
37,4.2.. Handshake Protocol_Extensions,Extension Structure Overview,"A number of TLS messages contain tag-length-value encoded extensions structures.

struct {
    ExtensionType extension_type;
    opaque extension_data<0..2^16-1>;
} Extension;

Here:
- ""extension_type"" identifies the particular extension type.
- ""extension_data"" contains information specific to the particular extension type."
38,4.2.. Handshake Protocol_Extensions,ExtensionType Enumeration,"enum {
    server_name(0),                             /* RFC 6066 */
    max_fragment_length(1),                     /* RFC 6066 */
    status_request(5),                          /* RFC 6066 */
    supported_groups(10),                       /* RFC 8422, 7919 */
    signature_algorithms(13),                   /* RFC 8446 */
    use_srtp(14),                               /* RFC 5764 */
    heartbeat(15),                              /* RFC 6520 */
    application_layer_protocol_negotiation(16), /* RFC 7301 */
    signed_certificate_timestamp(18),           /* RFC 6962 */
    client_certificate_type(19),                /* RFC 7250 */
    server_certificate_type(20),                /* RFC 7250 */
    padding(21),                                /* RFC 7685 */
    pre_shared_key(41),                         /* RFC 8446 */
    early_data(42),                             /* RFC 8446 */
    supported_versions(43),                     /* RFC 8446 */
    cookie(44),                                 /* RFC 8446 */
    psk_key_exchange_modes(45),                 /* RFC 8446 */
    certificate_authorities(47),                /* RFC 8446 */
    oid_filters(48),                            /* RFC 8446 */
    post_handshake_auth(49),                    /* RFC 8446 */
    signature_algorithms_cert(50),              /* RFC 8446 */
    key_share(51),                              /* RFC 8446 */
    (65535)
} ExtensionType;"
39,4.2.. Handshake Protocol_Extensions,Extension Negotiation Process,"Extensions are generally structured in a request/response fashion. The client sends its extension requests in the ClientHello message, and the server sends its extension responses in the ServerHello, EncryptedExtensions, HelloRetryRequest, and Certificate messages. The server sends extension requests in the CertificateRequest message which a client MAY respond to with a Certificate message."
40,4.2.. Handshake Protocol_Extensions,Extension Handling Rules,"Implementations MUST NOT send extension responses if the remote endpoint did not send the corresponding extension requests, with the exception of the ""cookie"" extension in the HelloRetryRequest. Upon receiving such an extension, an endpoint MUST abort the handshake with an ""unsupported_extension"" alert."
41,4.2.. Handshake Protocol_Extensions,Extension Message Compatibility,"The table below indicates the messages where a given extension may appear, using the following notation: CH (ClientHello), SH (ServerHello), EE (EncryptedExtensions), CT (Certificate), CR (CertificateRequest), NST (NewSessionTicket), and HRR (HelloRetryRequest). If an implementation receives an extension which it recognizes and which is not specified for the message in which it appears, it MUST abort the handshake with an ""illegal_parameter"" alert."
42,4.2.. Handshake Protocol_Extensions,Extension Order and Uniqueness,"When multiple extensions of different types are present, the extensions MAY appear in any order, with the exception of ""pre_shared_key"" which MUST be the last extension in the ClientHello. There MUST NOT be more than one extension of the same type in a given extension block."
43,4.2.. Handshake Protocol_Extensions,Security Considerations for Extensions,There are subtle interactions that may occur in this protocol between new features and existing features which may result in a significant reduction in overall security. Extensions should be designed to prevent any attack that forces use (or non-use) of a particular feature by manipulation of handshake messages.
44,4.2.1.. Handshake Protocol_Extensions_Supported Versions,SupportedVersions Structure,"struct {
    select (Handshake.msg_type) {
        case client_hello:
            ProtocolVersion versions<2..254>;

        case server_hello: /* and HelloRetryRequest */
            ProtocolVersion selected_version;
    };
} SupportedVersions;"
45,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Purpose of the Supported Versions Extension,"The ""supported_versions"" extension is used by the client to indicate which versions of TLS it supports and by the server to indicate which version it is using. The extension contains a list of supported versions in preference order, with the most preferred version first."
46,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ClientHello Requirements,"Implementations of this specification MUST send this extension in the ClientHello containing all versions of TLS which they are prepared to negotiate (for this specification, that means minimally 0x0304, but if previous versions of TLS are allowed to be negotiated, they MUST be present as well)."
47,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior Without the Extension,"If this extension is not present, servers which are compliant with this specification and which also support TLS 1.2 MUST negotiate TLS 1.2 or prior as specified in [RFC5246], even if ClientHello.legacy_version is 0x0304 or later. Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later."
48,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior With the Extension,"If this extension is present in the ClientHello, servers MUST NOT use the ClientHello.legacy_version value for version negotiation and MUST use only the ""supported_versions"" extension to determine client preferences. Servers MUST only select a version of TLS present in that extension and MUST ignore any unknown versions that are present in that extension."
49,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Negotiation of Versions Prior to TLS 1.2,This mechanism makes it possible to negotiate a version prior to TLS 1.2 if one side supports a sparse range. Implementations of TLS 1.3 which choose to support prior versions of TLS SHOULD support TLS 1.2. Servers MUST be prepared to receive ClientHellos that include this extension but do not include 0x0304 in the list of versions.
50,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ServerHello Version Negotiation,"A server which negotiates a version of TLS prior to TLS 1.3 MUST set ServerHello.version and MUST NOT send the ""supported_versions"" extension. A server which negotiates TLS 1.3 MUST respond by sending a ""supported_versions"" extension containing the selected version value (0x0304). It MUST set the ServerHello.legacy_version field to 0x0303 (TLS 1.2)."
51,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Client Checks for the Supported Versions Extension,"Clients MUST check for this extension prior to processing the rest of the ServerHello. If this extension is present, clients MUST ignore the ServerHello.legacy_version value and MUST use only the ""supported_versions"" extension to determine the selected version. If the ""supported_versions"" extension in the ServerHello contains a version not offered by the client or contains a version prior to TLS 1.3, the client MUST abort the handshake with an ""illegal_parameter"" alert."
52,4.2.2.. Handshake Protocol_Extensions_Cookie,Cookie Structure,"struct {
    opaque cookie<1..2^16-1>;
} Cookie;"
53,4.2.2.. Handshake Protocol_Extensions_Cookie,Purpose of Cookies,"Cookies serve two primary purposes:

1. Allowing the server to force the client to demonstrate reachability at their apparent network address, thus providing a measure of DoS protection. This is primarily useful for non-connection-oriented transports (see [RFC6347] for an example).

2. Allowing the server to offload state to the client, enabling it to send a HelloRetryRequest without storing any state. The server can achieve this by storing the hash of the ClientHello in the HelloRetryRequest cookie, protected with a suitable integrity protection algorithm."
54,4.2.2.. Handshake Protocol_Extensions_Cookie,HelloRetryRequest Cookie Extension,"When sending a HelloRetryRequest, the server MAY provide a ""cookie"" extension to the client (this is an exception to the usual rule that only extensions appearing in the ClientHello may be sent). When sending the new ClientHello, the client MUST copy the contents of the extension received in the HelloRetryRequest into a ""cookie"" extension in the new ClientHello. Clients MUST NOT use cookies in their initial ClientHello in subsequent connections."
55,4.2.2.. Handshake Protocol_Extensions_Cookie,Stateless Server Behavior,"When a server is operating statelessly, it may receive an unprotected record of type change_cipher_spec between the first and second ClientHello (see Section 5). Since the server is not storing any state, this will appear as if it were the first message received. Servers operating statelessly MUST ignore these records."
56,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Algorithms Overview,"TLS 1.3 provides two extensions for indicating which signature algorithms may be used in digital signatures. The ""signature_algorithms_cert"" extension applies to signatures in certificates, while the ""signature_algorithms"" extension applies to signatures in CertificateVerify messages. If no ""signature_algorithms_cert"" extension is present, then the ""signature_algorithms"" extension also applies to signatures appearing in certificates."
57,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Client Requirements for Signature Algorithms,"Clients that desire server authentication via a certificate MUST send the ""signature_algorithms"" extension. If the server is authenticating via a certificate and the client has not sent this extension, the server MUST abort the handshake with a ""missing_extension"" alert."
58,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Purpose of the Signature Algorithms Extensions,"The ""signature_algorithms_cert"" extension was added to allow implementations that support different sets of algorithms for certificates and in TLS to clearly signal their capabilities. TLS 1.2 implementations SHOULD also process this extension. Implementations with the same policy for both cases MAY omit this extension."
59,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Scheme Enumeration,"The ""extension_data"" field of these extensions contains a SignatureSchemeList value:

    enum {
        rsa_pkcs1_sha256(0x0401),
        rsa_pkcs1_sha384(0x0501),
        rsa_pkcs1_sha512(0x0601),
        ecdsa_secp256r1_sha256(0x0403),
        ecdsa_secp384r1_sha384(0x0503),
        ecdsa_secp521r1_sha512(0x0603),
        rsa_pss_rsae_sha256(0x0804),
        rsa_pss_rsae_sha384(0x0805),
        rsa_pss_rsae_sha512(0x0806),
        ed25519(0x0807),
        ed448(0x0808),
        rsa_pss_pss_sha256(0x0809),
        rsa_pss_pss_sha384(0x080a),
        rsa_pss_pss_sha512(0x080b),
        rsa_pkcs1_sha1(0x0201),
        ecdsa_sha1(0x0203),
        private_use(0xFE00..0xFFFF),
        (0xFFFF)
    } SignatureScheme;"
60,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Scheme List Structure,"struct {
    SignatureScheme supported_signature_algorithms<2..2^16-2>;
} SignatureSchemeList;"
61,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Algorithm Definitions,"Each SignatureScheme value lists a single signature algorithm that the client is willing to verify, indicated in descending order of preference. Notably, a signature algorithm takes an arbitrary-length message as input rather than a digest. Algorithms traditionally acting on a digest should hash the input with a specified hash algorithm before proceeding."
62,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,RSASSA-PKCS1-v1_5 Algorithms,"Indicates a signature algorithm using RSASSA-PKCS1-v1_5 with the corresponding hash algorithm as defined in [SHS]. These values refer solely to signatures in certificates and are not defined for signed TLS handshake messages, although they may appear in the extensions for backward compatibility with TLS 1.2."
63,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,ECDSA Algorithms,"Indicates a signature algorithm using ECDSA, the corresponding curve as defined in ANSI X9.62 and FIPS 186-4, and the corresponding hash algorithm as defined in [SHS]. The signature is represented as a DER-encoded ECDSA-Sig-Value structure."
64,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,RSASSA-PSS Algorithms,Indicates a signature algorithm using RSASSA-PSS with mask generation function 1. The digest used in the mask generation function and the digest being signed are both the corresponding hash algorithm as defined in [SHS]. The length of the Salt MUST equal the output length of the digest algorithm.
65,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,EdDSA Algorithms,"Indicates a signature algorithm using EdDSA as defined in [RFC8032] or its successors. These correspond to the ""PureEdDSA"" algorithms, not the ""prehash"" variants."
66,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Legacy Algorithms,"Indicates algorithms being deprecated due to known weaknesses, specifically SHA-1 used with RSA or ECDSA. These values refer solely to signatures in certificates and should not be negotiated unless for backward compatibility. TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless no valid certificate chain can be produced without it."
67,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Validation for Trust Anchors,"Signatures on self-signed certificates or trust anchors are not validated since they begin a certification path. A certificate starting a certification path may use a signature algorithm not advertised in the ""signature_algorithms"" extension."
68,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,TLS 1.2 Compatibility,"TLS 1.3 implementations willing to negotiate TLS 1.2 MUST comply with the requirements of [RFC5246]. In TLS 1.2, ClientHellos may omit the signature algorithms extension, which contained hash/signature pairs encoded in two octets. Legacy pairs are deprecated and MUST NOT be offered or negotiated."
69,4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Certificate Authorities Extension Overview,"The ""certificate_authorities"" extension is used to indicate the certificate authorities (CAs) which an endpoint supports and which SHOULD be used by the receiving endpoint to guide certificate selection."
70,4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Certificate Authorities Extension Structure,"The body of the ""certificate_authorities"" extension consists of a CertificateAuthoritiesExtension structure:

plaintext
opaque DistinguishedName<1..2^16-1>;

struct {
    DistinguishedName authorities<3..2^16-1>;
} CertificateAuthoritiesExtension;
"
71,4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Authorities Field Description,"The `authorities` field contains a list of the distinguished names [X501] of acceptable certificate authorities, represented in DER-encoded [X690] format. These distinguished names specify a desired distinguished name for a trust anchor or subordinate CA; thus, this message can be used to describe known trust anchors as well as a desired authorization space."
72,4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Usage of the Certificate Authorities Extension,"The client MAY send the ""certificate_authorities"" extension in the ClientHello message. The server MAY send it in the CertificateRequest message."
73,4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Comparison with Trusted CA Keys Extension,"The ""trusted_ca_keys"" extension [RFC6066], which serves a similar purpose but is more complicated, is not used in TLS 1.3 (although it may appear in ClientHello messages from clients which are offering prior versions of TLS)."
74,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Filters Extension Overview,"The ""oid_filters"" extension allows servers to provide a set of OID/value pairs which it would like the client's certificate to match. This extension, if provided by the server, MUST only be sent in the CertificateRequest message."
75,4.2.5.. Handshake Protocol_Extensions_OID Filters,OIDFilter Structure,"struct {
    opaque certificate_extension_oid<1..2^8-1>;
    opaque certificate_extension_values<0..2^16-1>;
} OIDFilter;"
76,4.2.5.. Handshake Protocol_Extensions_OID Filters,OIDFilterExtension Structure,"struct {
    OIDFilter filters<0..2^16-1>;
} OIDFilterExtension;"
77,4.2.5.. Handshake Protocol_Extensions_OID Filters,Filters List Description,"filters: A list of certificate extension OIDs [RFC5280] with their allowed value(s) and represented in DER-encoded [X690] format. Some certificate extension OIDs allow multiple values (e.g., Extended Key Usage). If the server has included a non-empty filters list, the client certificate included in the response MUST contain all of the specified extension OIDs that the client recognizes."
78,4.2.5.. Handshake Protocol_Extensions_OID Filters,Client Certificate Requirements,"For each extension OID recognized by the client, all of the specified values MUST be present in the client certificate (but the certificate MAY have other values as well). However, the client MUST ignore and skip any unrecognized certificate extension OIDs. If the client ignored some of the required certificate extension OIDs and supplied a certificate that does not satisfy the request, the server MAY at its discretion either continue the connection without client authentication or abort the handshake with an ""unsupported_certificate"" alert."
79,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Uniqueness and Matching Rules,"Any given OID MUST NOT appear more than once in the filters list. PKIX RFCs define a variety of certificate extension OIDs and their corresponding value types. Depending on the type, matching certificate extension values are not necessarily bitwise-equal. This document defines matching rules for two standard certificate extensions defined in [RFC5280]:

- The Key Usage extension in a certificate matches the request when all key usage bits asserted in the request are also asserted in the Key Usage certificate extension.

- The Extended Key Usage extension in a certificate matches the request when all key purpose OIDs present in the request are also found in the Extended Key Usage certificate extension. The special anyExtendedKeyUsage OID MUST NOT be used in the request."
80,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Supported Groups Extension Overview,"When sent by the client, the ""supported_groups"" extension indicates the named groups which the client supports for key exchange, ordered from most preferred to least preferred. In versions of TLS prior to TLS 1.3, this extension was named ""elliptic_curves"" and only contained elliptic curve groups. This extension was also used to negotiate ECDSA curves. Signature algorithms are now negotiated independently (see Section 4.2.3)."
81,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Extension Data Structure,"The ""extension_data"" field of this extension contains a ""NamedGroupList"" value:

plaintext
enum {
    /* Elliptic Curve Groups (ECDHE) */
    secp256r1(0x0017), secp384r1(0x0018), secp521r1(0x0019),
    x25519(0x001D), x448(0x001E),

    /* Finite Field Groups (DHE) */
    ffdhe2048(0x0100), ffdhe3072(0x0101), ffdhe4096(0x0102),
    ffdhe6144(0x0103), ffdhe8192(0x0104),

    /* Reserved Code Points */
    ffdhe_private_use(0x01FC..0x01FF),
    ecdhe_private_use(0xFE00..0xFEFF),
    (0xFFFF)
} NamedGroup;

struct {
    NamedGroup named_group_list<2..2^16-1>;
} NamedGroupList;
"
82,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Group Types and Definitions,"Elliptic Curve Groups (ECDHE): Indicates support for the corresponding named curve, defined in either FIPS 186-4 or RFC 7748. Values 0xFE00 through 0xFEFF are reserved for Private Use.

Finite Field Groups (DHE): Indicates support for the corresponding finite field group, defined in RFC 7919. Values 0x01FC through 0x01FF are reserved for Private Use."
83,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Ordering of Named Groups,Items in named_group_list are ordered according to the sender's preferences (most preferred choice first).
