ID,Section,Title,Content
11,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Server Parameter Selection,"If the server does not select a PSK, then the first three options are entirely orthogonal: the server independently selects a cipher suite, an (EC)DHE group and key share for key establishment, and a signature algorithm/certificate pair to authenticate itself to the client. If there is no overlap between the received ""supported_groups"" and the groups supported by the server, then the server MUST abort the handshake with a ""handshake_failure"" or an ""insufficient_security"" alert."
12,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Selection,"If the server selects a PSK, then it MUST also select a key establishment mode from the set indicated by the client's ""psk_key_exchange_modes"" extension. Note that if the PSK can be used without (EC)DHE, then non-overlap in the ""supported_groups"" parameters need not be fatal."
13,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,HelloRetryRequest Condition,"If the server selects an (EC)DHE group and the client did not offer a compatible ""key_share"" extension in the initial ClientHello, the server MUST respond with a HelloRetryRequest (Section 4.1.4) message."
14,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,ServerHello Parameter Indication,"If the server successfully selects parameters and does not require a HelloRetryRequest, it indicates the selected parameters in the ServerHello as follows:"
15,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Extension,"If PSK is being used, then the server will send a ""pre_shared_key"" extension indicating the selected key."
16,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Key Share Extension,"When (EC)DHE is in use, the server will also provide a ""key_share"" extension. If PSK is not being used, then (EC)DHE and certificate-based authentication are always used."
17,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Certificate Authentication,"When authenticating via a certificate, the server will send the Certificate (Section 4.4.2) and CertificateVerify (Section 4.4.3) messages. In TLS 1.3 as defined by this document, either a PSK or a certificate is always used, but not both. Future documents may define how to use them together."
18,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Negotiation Failure,"If the server is unable to negotiate a supported set of parameters (i.e., there is no overlap between the client and server parameters), it MUST abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert (see Section 6)."
19,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Purpose,"When a client first connects to a server, it is REQUIRED to send the ClientHello as its first TLS message. The client will also send a ClientHello when the server has responded to its ClientHello with a HelloRetryRequest. In that case, the client MUST send the same ClientHello without modification, except as follows: - If a ""key_share"" extension was supplied in the HelloRetryRequest, replacing the list of shares with a list containing a single KeyShareEntry from the indicated group. - Removing the ""early_data"" extension if one was present. Early data is not permitted after a HelloRetryRequest. - Including a ""cookie"" extension if one was provided in the HelloRetryRequest. - Updating the ""pre_shared_key"" extension if present by recomputing the ""obfuscated_ticket_age"" and binder values and (optionally) removing any PSKs which are incompatible with the server's indicated cipher suite. - Optionally adding, removing, or changing the length of the ""padding"" extension [RFC7685]. - Other modifications that may be allowed by an extension defined in the future and present in the HelloRetryRequest. Because TLS 1.3 forbids renegotiation, if a server has negotiated TLS 1.3 and receives a ClientHello at any other time, it MUST terminate the connection with an ""unexpected_message"" alert. If a server established a TLS connection with a previous version of TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST retain the previous protocol version. In particular, it MUST NOT negotiate TLS 1.3."
20,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Structure of ClientHello Message,Structure of this message: uint16 ProtocolVersion; opaque Random[32]; uint8 CipherSuite[2]; struct { ProtocolVersion legacy_version = 0x0303; /* TLS v1.2 */ Random random; opaque legacy_session_id<0..32>; CipherSuite cipher_suites<2..2^16-2>; opaque legacy_compression_methods<1..2^8-1>; Extension extensions<8..2^16-1>; 
21,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Legacy Version Field,"legacy_version: In previous versions of TLS, this field was used for version negotiation and represented the highest version number supported by the client. Experience has shown that many servers do not properly implement version negotiation, leading to ""version intolerance"" in which the server rejects an otherwise acceptable ClientHello with a version number higher than it supports. In TLS 1.3, the client indicates its version preferences in the ""supported_versions"" extension (Section 4.2.1) and the legacy_version field MUST be set to 0x0303, which is the version number for TLS 1.2. TLS 1.3 ClientHellos are identified as having a legacy_version of 0x0303 and a supported_versions extension present with 0x0304 as the highest version indicated therein. (See Appendix D for details about backward compatibility.)"
22,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Random Field Requirements,random: 32 bytes generated by a secure random number generator. See Appendix C for additional information.
23,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Session ID Requirements,"legacy_session_id: Versions of TLS before TLS 1.3 supported a ""session resumption"" feature which has been merged with pre-shared keys in this version (see Section 2.2). A client which has a cached session ID set by a pre-TLS 1.3 server SHOULD set this field to that value. In compatibility mode (see Appendix D.4), this field MUST be non-empty, so a client not offering a pre-TLS 1.3 session MUST generate a new 32-byte value. This value need not be random but SHOULD be unpredictable to avoid implementations fixating on a specific value (also known as ossification). Otherwise, it MUST be set as a zero-length vector (i.e., a zero-valued single byte length field)."
24,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Cipher Suites,"cipher_suites: A list of the symmetric cipher options supported by the client, specifically the record protection algorithm (including secret key length) and a hash to be used with HKDF, in descending order of client preference. Values are defined in Appendix B.4. If the list contains cipher suites that the server does not recognize, support, or wish to use, the server MUST ignore those cipher suites and process the remaining ones as usual. If the client is attempting a PSK key establishment, it SHOULD advertise at least one cipher suite indicating a Hash associated with the PSK."
25,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Legacy Compression Methods,"legacy_compression_methods: Versions of TLS before 1.3 supported compression with the list of supported compression methods being sent in this field. For every TLS 1.3 ClientHello, this vector MUST contain exactly one byte, set to zero, which corresponds to the ""null"" compression method in prior versions of TLS. If a TLS 1.3 ClientHello is received with any other value in this field, the server MUST abort the handshake with an ""illegal_parameter"" alert. Note that TLS 1.3 servers might receive TLS 1.2 or prior ClientHellos which contain other compression methods and (if negotiating such a prior version) MUST follow the procedures for the appropriate prior version of TLS."
26,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extensions,"extensions: Clients request extended functionality from servers by sending data in the extensions field. The actual ""Extension"" format is defined in Section 4.2. In TLS 1.3, the use of certain extensions is mandatory, as functionality has moved into extensions to preserve ClientHello compatibility with previous versions of TLS. Servers MUST ignore unrecognized extensions."
27,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Transmission,"After sending the ClientHello message, the client waits for a ServerHello or HelloRetryRequest message. If early data is in use, the client may transmit early Application Data (Section 2.3) while waiting for the next handshake message."
28,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Purpose,The server will send this message in response to a ClientHello message to proceed with the handshake if it is able to negotiate an acceptable set of handshake parameters based on the ClientHello.
29,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Structure,"The structure of this message is defined as follows:
```
struct {
    ProtocolVersion legacy_version = 0x0303;    /* TLS v1.2 */
    Random random;
    opaque legacy_session_id_echo<0..32>;
    CipherSuite cipher_suite;
    uint8 legacy_compression_method = 0;
    Extension extensions<6..2^16-1>;
"
30,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Legacy Version Field,"The legacy_version field is set to 0x0303, which corresponds to TLS v1.2. This field is critical for backward compatibility, as some middleboxes may not handle new values correctly. TLS 1.3 indicates version using the ""supported_versions"" extension (Section 4.2.1)."
31,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Random Field Requirements,The random field consists of 32 bytes generated by a secure random number generator. The last 8 bytes must be overwritten based on the negotiated TLS version. This structure must be generated independently of the ClientHello.random.
32,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Session ID Echo Requirements,"The legacy_session_id_echo field contains the client's legacy_session_id. A mismatch with the value sent in ClientHello causes the handshake to abort with an ""illegal_parameter"" alert."
33,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Cipher Suite Selection,"The cipher_suite field contains the single cipher suite selected by the server from the ClientHello.cipher_suites. If the suite was not offered, the client must abort the handshake with an ""illegal_parameter"" alert."
34,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Legacy Compression Method,The legacy_compression_method field must be set to 0.
35,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Extensions Requirements,"The extensions field includes necessary extensions for establishing the cryptographic context and negotiating the protocol version. All TLS 1.3 ServerHello messages must contain the ""supported_versions"" extension, and may include ""pre_shared_key"" or ""key_share"" extensions. Other extensions are sent in the EncryptedExtensions message (see Section 4.2)."
36,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,HelloRetryRequest Special Case,"The HelloRetryRequest message has the same structure as ServerHello but uses a specific Random value. Upon receiving a server_hello message, implementations must check the Random value as specified in Section 4.1.4."
37,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Downgrade Protection Mechanism,"TLS 1.3 embeds a downgrade protection mechanism in the Random value. If negotiating TLS 1.2, the last 8 bytes of Random must be set to 44 4F 57 4E 47 52 44 01. For TLS 1.1 or below, it must be set to 44 4F 57 4E 47 52 44 00. Clients receiving a ServerHello indicating TLS 1.2 or below must ensure these bytes do not match the specified values, or abort with an ""illegal_parameter"" alert."
38,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Legacy Client Renegotiation,"A legacy TLS client that receives a TLS 1.3 ServerHello during renegotiation with TLS 1.2 or prior must abort the handshake with a ""protocol_version"" alert. Renegotiation is not permitted once TLS 1.3 is established."
39,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Hello Retry Request Overview,"The server will send this message in response to a ClientHello if it can find an acceptable set of parameters but the ClientHello does not contain sufficient information to proceed with the handshake. The HelloRetryRequest has the same format as a ServerHello message, and the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method fields have the same meaning. However, it is discussed throughout this document as if it were a distinct message."
40,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extensions Requirements,"The server's extensions MUST contain ""supported_versions."" Additionally, it SHOULD contain the minimal set of extensions necessary for the client to generate a correct ClientHello pair. A HelloRetryRequest MUST NOT contain any extensions that were not first offered by the client in its ClientHello, except for optionally the ""cookie"" extension."
41,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Client Processing Rules,"Upon receipt of a HelloRetryRequest, the client MUST check the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method as specified in Section 4.1.3. The client MUST abort the handshake with an ""illegal_parameter"" alert if the HelloRetryRequest would not result in any change in the ClientHello. If a client receives a second HelloRetryRequest in the same connection, it MUST abort the handshake with an ""unexpected_message"" alert."
42,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extension Processing,The client MUST process all extensions in the HelloRetryRequest and send a second updated ClientHello. The HelloRetryRequest extensions defined in this specification are: - supported_versions (see Section 4.2.1) - cookie (see Section 4.2.2) - key_share (see Section 4.2.8).
43,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Cipher Suite Consistency,"A client which receives a cipher suite that was not offered MUST abort the handshake. Servers MUST ensure that they negotiate the same cipher suite when receiving a conformant updated ClientHello. Upon receiving the ServerHello, clients MUST check that the cipher suite supplied in the ServerHello is the same as that in the HelloRetryRequest and otherwise abort the handshake with an ""illegal_parameter"" alert."
44,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Pre-Shared Key Considerations,"In its updated ClientHello, the client SHOULD NOT offer any pre-shared keys associated with a hash other than that of the selected cipher suite. This allows the client to avoid having to compute partial hash transcripts for multiple hashes in the second ClientHello."
45,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Version Retention Requirement,"The value of selected_version in the HelloRetryRequest ""supported_versions"" extension MUST be retained in the ServerHello, and a client MUST abort the handshake with an ""illegal_parameter"" alert if the value changes."
46,Section: 4.2.. Handshake Protocol_Extensions,Extension Structure,"A number of TLS messages contain tag-length-value encoded extensions structures.

```c
struct {
    ExtensionType extension_type;
    opaque extension_data<0..2^16-1>;
"
47,Section: 4.2.. Handshake Protocol_Extensions,Extension Type Enumeration,"The list of extension types is maintained by IANA as described in Section 11.

```c
enum {
    server_name(0),                             /* RFC 6066 */
    max_fragment_length(1),                     /* RFC 6066 */
    status_request(5),                          /* RFC 6066 */
    supported_groups(10),                       /* RFC 8422, 7919 */
    signature_algorithms(13),                   /* RFC 8446 */
    use_srtp(14),                               /* RFC 5764 */
    heartbeat(15),                              /* RFC 6520 */
    application_layer_protocol_negotiation(16), /* RFC 7301 */
    signed_certificate_timestamp(18),           /* RFC 6962 */
    client_certificate_type(19),                /* RFC 7250 */
    server_certificate_type(20),                /* RFC 7250 */
    padding(21),                                /* RFC 7685 */
    pre_shared_key(41),                         /* RFC 8446 */
    early_data(42),                             /* RFC 8446 */
    supported_versions(43),                     /* RFC 8446 */
    cookie(44),                                 /* RFC 8446 */
    psk_key_exchange_modes(45),                 /* RFC 8446 */
    certificate_authorities(47),                /* RFC 8446 */
    oid_filters(48),                            /* RFC 8446 */
    post_handshake_auth(49),                    /* RFC 8446 */
    signature_algorithms_cert(50),              /* RFC 8446 */
    key_share(51),                              /* RFC 8446 */
    (65535)
"
48,Section: 4.2.. Handshake Protocol_Extensions,Extension Request/Response Model,"Extensions are generally structured in a request/response fashion, though some extensions are just indications with no corresponding response. The client sends its extension requests in the `ClientHello` message, and the server sends its extension responses in the `ServerHello`, `EncryptedExtensions`, `HelloRetryRequest`, and `Certificate` messages. The server sends extension requests in the `CertificateRequest` message, which a client MAY respond to with a `Certificate` message. The server MAY also send unsolicited extensions in the `NewSessionTicket`, though the client does not respond directly to these."
49,Section: 4.2.. Handshake Protocol_Extensions,Extension Response Constraints,"Implementations MUST NOT send extension responses if the remote endpoint did not send the corresponding extension requests, with the exception of the `cookie` extension in the `HelloRetryRequest`. Upon receiving such an extension, an endpoint MUST abort the handshake with an ""unsupported_extension"" alert. If an implementation receives an extension which it recognizes and which is not specified for the message in which it appears, it MUST abort the handshake with an ""illegal_parameter"" alert."
50,Section: 4.2.. Handshake Protocol_Extensions,Extension Message Table,"The table below indicates the messages where a given extension may appear, using the following notation: CH (ClientHello), SH (ServerHello), EE (EncryptedExtensions), CT (Certificate), CR (CertificateRequest), NST (NewSessionTicket), and HRR (HelloRetryRequest).

| Extension                                        |     TLS 1.3     |
|--------------------------------------------------|-----------------|
| server_name [RFC6066]                            |      CH, EE     |
| max_fragment_length [RFC6066]                    |      CH, EE     |
| status_request [RFC6066]                         |  CH, CR, CT     |
| supported_groups [RFC7919]                       |      CH, EE     |
| signature_algorithms (RFC 8446)                  |      CH, CR     |
| use_srtp [RFC5764]                               |      CH, EE     |
| heartbeat [RFC6520]                              |      CH, EE     |
| application_layer_protocol_negotiation [RFC7301] |      CH, EE     |
| signed_certificate_timestamp [RFC6962]           |  CH, CR, CT     |
| client_certificate_type [RFC7250]                |      CH, EE     |
| server_certificate_type [RFC7250]                |      CH, EE     |
| padding [RFC7685]                                |          CH     |
| key_share (RFC 8446)                             | CH, SH, HRR     |
| pre_shared_key (RFC 8446)                        |      CH, SH     |
| psk_key_exchange_modes (RFC 8446)                |          CH     |
| early_data (RFC 8446)                            | CH, EE, NST     |
| cookie (RFC 8446)                                |     CH, HRR     |
| supported_versions (RFC 8446)                    | CH, SH, HRR     |
| certificate_authorities (RFC 8446)               |      CH, CR     |
| oid_filters (RFC 8446)                           |          CR     |
| post_handshake_auth (RFC 8446)                   |          CH     |
| signature_algorithms_cert (RFC 8446)             |      CH, CR     |
"
51,Section: 4.2.. Handshake Protocol_Extensions,Extension Negotiation Considerations,"In TLS 1.3, unlike TLS 1.2, extensions are negotiated for each handshake even when in resumption-PSK mode. However, 0-RTT parameters are those negotiated in the previous handshake; mismatches may require rejecting 0-RTT (see Section 4.2.10)."
52,Section: 4.2.. Handshake Protocol_Extensions,Security Considerations for Extensions,"There are subtle (and not so subtle) interactions that may occur in this protocol between new features and existing features which may result in a significant reduction in overall security. The following considerations should be taken into account when designing new extensions:

- Some cases where a server does not agree to an extension are error conditions (e.g., the handshake cannot continue), and some are simply refusals to support particular features. In general, error alerts should be used for the former and a field in the server extension response for the latter.

- Extensions should, as far as possible, be designed to prevent any attack that forces use (or non-use) of a particular feature by manipulation of handshake messages. This principle should be followed regardless of whether the feature is believed to cause a security problem. Often the fact that the extension fields are included in the inputs to the Finished message hashes will be sufficient, but extreme care is needed when the extension changes the meaning of messages sent in the handshake phase. Designers and implementors should be aware of the fact that until the handshake has been authenticated, active attackers can modify messages and insert, remove, or replace extensions."
53,Section: 4.2.1.. Handshake Protocol_Extensions_Supported Versions,SupportedVersions Structure,"The ""supported_versions"" extension is used by the client to indicate which versions of TLS it supports and by the server to indicate which version it is using. The extension contains a list of supported versions in preference order, with the most preferred version first. Implementations of this specification MUST send this extension in the ClientHello containing all versions of TLS which they are prepared to negotiate (for this specification, that means minimally 0x0304, but if previous versions of TLS are allowed to be negotiated, they MUST be present as well)."
54,Section: 4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Negotiation Requirements,"If this extension is not present, servers which are compliant with this specification and which also support TLS 1.2 MUST negotiate TLS 1.2 or prior as specified in [RFC5246], even if ClientHello.legacy_version is 0x0304 or later. Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later."
55,Section: 4.2.1.. Handshake Protocol_Extensions_Supported Versions,ClientHello Extension Processing,"If this extension is present in the ClientHello, servers MUST NOT use the ClientHello.legacy_version value for version negotiation and MUST use only the ""supported_versions"" extension to determine client preferences. Servers MUST only select a version of TLS present in that extension and MUST ignore any unknown versions that are present in that extension. Note that this mechanism makes it possible to negotiate a version prior to TLS 1.2 if one side supports a sparse range. Implementations of TLS 1.3 which choose to support prior versions of TLS SHOULD support TLS 1.2. Servers MUST be prepared to receive ClientHellos that include this extension but do not include 0x0304 in the list of versions."
56,Section: 4.2.1.. Handshake Protocol_Extensions_Supported Versions,ServerHello Requirements,"A server which negotiates a version of TLS prior to TLS 1.3 MUST set ServerHello.version and MUST NOT send the ""supported_versions"" extension. A server which negotiates TLS 1.3 MUST respond by sending a ""supported_versions"" extension containing the selected version value (0x0304). It MUST set the ServerHello.legacy_version field to 0x0303 (TLS 1.2). Clients MUST check for this extension prior to processing the rest of the ServerHello. If this extension is present, clients MUST ignore the ServerHello.legacy_version value and MUST use only the ""supported_versions"" extension to determine the selected version. If the ""supported_versions"" extension in the ServerHello contains a version not offered by the client or contains a version prior to TLS 1.3, the client MUST abort the handshake with an ""illegal_parameter"" alert."
57,Section: 4.2.2.. Handshake Protocol_Extensions_Cookie,Cookie Structure,"The structure of a cookie is defined as follows:

```plaintext
struct {
    opaque cookie<1..2^16-1>;
"
58,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Algorithms Extensions Overview,"TLS 1.3 provides two extensions for indicating which signature algorithms may be used in digital signatures. The ""signature_algorithms_cert"" extension applies to signatures in certificates, and the ""signature_algorithms"" extension applies to signatures in CertificateVerify messages. The keys found in certificates MUST also be of appropriate type for the signature algorithms they are used with. If no ""signature_algorithms_cert"" extension is present, then the ""signature_algorithms"" extension also applies to signatures appearing in certificates. Clients which desire the server to authenticate itself via a certificate MUST send the ""signature_algorithms"" extension. If a server is authenticating via a certificate and the client has not sent a ""signature_algorithms"" extension, then the server MUST abort the handshake with a ""missing_extension"" alert (see Section 9.2)."
59,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,"Purpose of ""signature_algorithms_cert""","The ""signature_algorithms_cert"" extension was added to allow implementations which supported different sets of algorithms for certificates and in TLS itself to clearly signal their capabilities. TLS 1.2 implementations SHOULD also process this extension. Implementations which have the same policy in both cases MAY omit the ""signature_algorithms_cert"" extension."
60,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,SignatureSchemeList Structure,"The ""extension_data"" field of these extensions contains a SignatureSchemeList value:

```plaintext
enum {
    /* RSASSA-PKCS1-v1_5 algorithms */
    rsa_pkcs1_sha256(0x0401),
    rsa_pkcs1_sha384(0x0501),
    rsa_pkcs1_sha512(0x0601),

    /* ECDSA algorithms */
    ecdsa_secp256r1_sha256(0x0403),
    ecdsa_secp384r1_sha384(0x0503),
    ecdsa_secp521r1_sha512(0x0603),

    /* RSASSA-PSS algorithms with public key OID rsaEncryption */
    rsa_pss_rsae_sha256(0x0804),
    rsa_pss_rsae_sha384(0x0805),
    rsa_pss_rsae_sha512(0x0806),

    /* EdDSA algorithms */
    ed25519(0x0807),
    ed448(0x0808),

    /* RSASSA-PSS algorithms with public key OID RSASSA-PSS */
    rsa_pss_pss_sha256(0x0809),
    rsa_pss_pss_sha384(0x080a),
    rsa_pss_pss_sha512(0x080b),

    /* Legacy algorithms */
    rsa_pkcs1_sha1(0x0201),
    ecdsa_sha1(0x0203),

    /* Reserved Code Points */
    private_use(0xFE00..0xFFFF),
    (0xFFFF)
"
61,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Algorithm Definitions,"Note that a signature algorithm takes as input an arbitrary-length message, rather than a digest. Algorithms which traditionally act on a digest should be defined in TLS to first hash the input with a specified hash algorithm and then proceed as usual. The code point groups listed above have the following meanings:

- **RSASSA-PKCS1-v1_5 algorithms**: Indicates a signature algorithm using RSASSA-PKCS1-v1_5 [RFC8017] with the corresponding hash algorithm as defined in [SHS].
  
- **ECDSA algorithms**: Indicates a signature algorithm using ECDSA [ECDSA] and the corresponding curve as defined in ANSI X9.62 [ECDSA] and FIPS 186-4 [DSS].
  
- **RSASSA-PSS RSAE algorithms**: Indicates a signature algorithm using RSASSA-PSS [RFC8017] with mask generation function 1.
  
- **EdDSA algorithms**: Indicates a signature algorithm using EdDSA as defined in [RFC8032].
  
- **RSASSA-PSS PSS algorithms**: Indicates a signature algorithm using RSASSA-PSS [RFC8017] with mask generation function 1.

- **Legacy algorithms**: Indicates algorithms which are being deprecated, specifically SHA-1 used with either RSA or ECDSA."
62,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Certificate Signature Validation,"The signatures on certificates that are self-signed or certificates that are trust anchors are not validated, since they begin a certification path (see [RFC5280], Section 3.2). A certificate that begins a certification path MAY use a signature algorithm that is not advertised as being supported in the ""signature_algorithms"" extension."
63,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,TLS 1.2 Compatibility Notes,"Note that TLS 1.2 defines this extension differently. TLS 1.3 implementations willing to negotiate TLS 1.2 MUST behave in accordance with the requirements of [RFC5246] when negotiating that version. In particular:
- TLS 1.2 ClientHellos MAY omit this extension.
- In TLS 1.2, the extension contained hash/signature pairs.
- ECDSA signature schemes align with TLS 1.2's ECDSA hash/signature pairs.
- Implementations that advertise support for RSASSA-PSS MUST be prepared to accept a signature using that scheme even when TLS 1.2 is negotiated."
64,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Certificate Authorities Extension Purpose,"The ""certificate_authorities"" extension is used to indicate the certificate authorities (CAs) which an endpoint supports and which SHOULD be used by the receiving endpoint to guide certificate selection."
65,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,CertificateAuthoritiesExtension Structure,"The body of the ""certificate_authorities"" extension consists of a CertificateAuthoritiesExtension structure."
66,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,DistinguishedName Definition,opaque DistinguishedName<1..2^16-1>;
67,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Certificate Authorities Structure,struct { DistinguishedName authorities<3..2^16-1>; 
68,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Authorities Field Description,"authorities: A list of the distinguished names [X501] of acceptable certificate authorities, represented in DER-encoded [X690] format. These distinguished names specify a desired distinguished name for a trust anchor or subordinate CA; thus, this message can be used to describe known trust anchors as well as a desired authorization space."
69,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Extension Usage,"The client MAY send the ""certificate_authorities"" extension in the ClientHello message. The server MAY send it in the CertificateRequest message."
70,Section: 4.2.4.. Handshake Protocol_Extensions_Certificate Authorities,Deprecated Extension Note,"The ""trusted_ca_keys"" extension [RFC6066], which serves a similar purpose but is more complicated, is not used in TLS 1.3 (although it may appear in ClientHello messages from clients which are offering prior versions of TLS)."
71,Section: 4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Filters Extension Overview,"The ""oid_filters"" extension allows servers to provide a set of OID/value pairs which it would like the client's certificate to match. This extension, if provided by the server, MUST only be sent in the CertificateRequest message."
