ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule
23,HelloRetryRequest Structure,The HelloRetryRequest message uses the same structure as ServerHello but sets the Random value to a predefined SHA-256 hash for backward compatibility with middleboxes.,0,Skip,Skip
24,Random Value Check,"Upon receiving a server_hello message, implementations must check if the Random value matches specific criteria related to downgrade protection.",1,<SMC> <1> (Servers MUST check if the Random value in the server_hello message matches specific criteria related to downgrade protection.) + <CMP> <0> (Clients MUST verify the Random value in the server_hello message for downgrade protection compliance.),<SMC> <1> (Servers MUST check if the Random value in the server_hello message matches specific criteria related to downgrade protection.) + <CMP> <0> (Clients MUST verify the Random value in the server_hello message for downgrade protection compliance.)
25,Downgrade Protection Mechanism,TLS 1.3 servers negotiating TLS 1.2 or below must set the last 8 bytes of the Random value to specific values to provide downgrade protection against attacks.,1,<SMC> <1> (Servers negotiating TLS 1.2 or below MUST set the last 8 bytes of the Random value to specific values for downgrade protection.) + <CMP> <0> (Clients MUST verify that the last 8 bytes of the Random value are set to the specific values for downgrade protection.),<SMC> <1> (Servers negotiating TLS 1.2 or below MUST set the last 8 bytes of the Random value to specific values for downgrade protection.) + <CMP> <0> (Clients MUST verify that the last 8 bytes of the Random value are set to the specific values for downgrade protection.)
26,Client Checks for Downgrade,"TLS 1.3 clients must verify the last 8 bytes of the Random value to prevent downgrade attacks, and if a match is found, they must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients MUST verify the last 8 bytes of the Random value to prevent downgrade attacks.) + <SMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if a match is found.)","<CMC> <1> (Clients MUST verify the last 8 bytes of the Random value to prevent downgrade attacks.) + <SMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if a match is found.)"
27,Renegotiation Handling,"A legacy TLS client receiving a TLS 1.3 ServerHello during renegotiation must abort the handshake with a ""protocol_version"" alert, as renegotiation is not possible in TLS 1.3.",1,"<CMC> <1> (A legacy TLS client MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello during renegotiation.) + <SMP> <0> (Servers MUST not expect renegotiation in TLS 1.3.)","<CMC> <1> (A legacy TLS client MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello during renegotiation.) + <SMP> <0> (Servers MUST not expect renegotiation in TLS 1.3.)"
28,Hello Retry Request Purpose,The server sends a HelloRetryRequest in response to a ClientHello message when it finds acceptable parameters but requires more information to proceed with the handshake. This message has the same format as a ServerHello message.,0,Skip,Skip
29,Extensions in Hello Retry Request,"The server's extensions must include ""supported_versions"" and may optionally include the ""cookie"" extension. It must not contain any extensions not first offered by the client, except for ""cookie.""",1,"<SMC> <1> (Servers MUST include the ""supported_versions"" extension in their extensions.) + <CMP> <1> (Clients MUST offer the ""supported_versions"" extension in their ClientHello.)
<SMC> <1> (Servers MAY optionally include the ""cookie"" extension in their extensions.) + <CMP> <1> (Clients MAY include the ""cookie"" extension in their ClientHello.)
<SMC> <1> (Servers MUST NOT include any extensions not first offered by the client, except for ""cookie."") + <CMP> <1> (Clients MUST offer extensions that the server can include.)","<SMC> <1> (Servers MUST include the ""supported_versions"" extension in their extensions.) + <CMP> <1> (Clients MUST offer the ""supported_versions"" extension in their ClientHello.)"
,,,,,"<SMC> <1> (Servers MAY optionally include the ""cookie"" extension in their extensions.) + <CMP> <1> (Clients MAY include the ""cookie"" extension in their ClientHello.)"
,,,,,"<SMC> <1> (Servers MUST NOT include any extensions not first offered by the client, except for ""cookie."") + <CMP> <1> (Clients MUST offer extensions that the server can include.)"
30,Client Actions on Hello Retry Request,"Upon receiving a HelloRetryRequest, the client must check specific fields and process the extensions, starting with ""supported_versions."" It must abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.",1,"<CMC> <1> (Clients MUST check specific fields and process the extensions upon receiving a HelloRetryRequest, starting with ""supported_versions."") + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.)","<CMC> <1> (Clients MUST check specific fields and process the extensions upon receiving a HelloRetryRequest, starting with ""supported_versions."") + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.)"
31,Handling Multiple Hello Retry Requests,"If a client receives a second HelloRetryRequest in the same connection, it must abort the handshake with an ""unexpected_message"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert upon receiving a second HelloRetryRequest in the same connection.) + <SMP> <0> (Servers MUST not send a second HelloRetryRequest in the same connection.)","<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert upon receiving a second HelloRetryRequest in the same connection.) + <SMP> <0> (Servers MUST not send a second HelloRetryRequest in the same connection.)"
32,Cipher Suite Negotiation,A client must abort the handshake if it receives a cipher suite not offered earlier. Servers must negotiate the same cipher suite when receiving an updated ClientHello.,1,<CMC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered earlier.) + <SMP> <1> (Servers MUST negotiate the same cipher suite when receiving an updated ClientHello.),<CMC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered earlier.) + <SMP> <1> (Servers MUST negotiate the same cipher suite when receiving an updated ClientHello.)
33,Selected Version Consistency,"The selected_version in the HelloRetryRequest must be retained in the ServerHello; otherwise, the client must abort the handshake with an ""illegal_parameter"" alert.",1,"<SMC> <1> (Servers MUST retain the selected_version from the HelloRetryRequest in the ServerHello.) + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the selected_version is not retained in the ServerHello.)","<SMC> <1> (Servers MUST retain the selected_version from the HelloRetryRequest in the ServerHello.) + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the selected_version is not retained in the ServerHello.)"
34,ClientHello Update Guidelines,"In its updated ClientHello, the client should avoid offering pre-shared keys associated with different hashes than that of the selected cipher suite to prevent unnecessary computations.",0,Skip,Skip
35,TLS Extensions Structure,"A number of TLS messages contain tag-length-value encoded extensions structures. The structure includes an ""extension_type"" to identify the extension and ""extension_data"" for specific information related to the extension type.",0,Skip,Skip
36,Extension Types,"The list of extension types, including server_name, max_fragment_length, and others, is maintained by IANA as described in Section 11.",0,Skip,Skip
37,Request/Response Model,Extensions are generally structured in a request/response manner. The client sends extension requests in the ClientHello message while the server responds in various messages such as ServerHello and Certificate.,0,Skip,Skip
38,Unsolicited Extensions,"The server may send unsolicited extensions in the NewSessionTicket, which the client does not respond to directly.",0,Skip,Skip
39,Handling Extension Responses,"Implementations must not send extension responses if the corresponding requests were not received, except for the ""cookie"" extension in HelloRetryRequest, which may lead to an ""unsupported_extension"" alert if violated.",1,"<SMC> <1> (Servers MUST not send extension responses if the corresponding requests were not received, except for the ""cookie"" extension in HelloRetryRequest.) + <CMP> <1> (Clients MAY receive an ""unsupported_extension"" alert if the server violates the rule regarding extension responses.)","<SMC> <1> (Servers MUST not send extension responses if the corresponding requests were not received, except for the ""cookie"" extension in HelloRetryRequest.) + <CMP> <1> (Clients MAY receive an ""unsupported_extension"" alert if the server violates the rule regarding extension responses.)"
40,Extension Message Restrictions,"If an implementation receives an extension not specified for the message, it must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if an extension not specified for the message is received.) + <SMP> <0> (Servers MUST not accept extensions not specified for the message and must trigger an abort with an ""illegal_parameter"" alert.)","<CMC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if an extension not specified for the message is received.) + <SMP> <0> (Servers MUST not accept extensions not specified for the message and must trigger an abort with an ""illegal_parameter"" alert.)"
41,Extension Message Availability,"A table indicates where each extension may appear, using notations like CH (ClientHello) and SH (ServerHello).",0,Skip,Skip
42,Order of Extensions,"When multiple extensions are present, they may appear in any order, except for ""pre_shared_key,"" which must be last in ClientHello. No more than one extension of the same type may exist in a block.",1,"<CMC> <1> (Clients MAY include multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.) + <SMP> <1> (Servers MUST process multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.)
<CMC> <1> (Clients MUST not include more than one extension of the same type in a block.) + <SMP> <1> (Servers MUST reject multiple extensions of the same type in a block.)","<CMC> <1> (Clients MAY include multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.) + <SMP> <1> (Servers MUST process multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.)"
,,,,,<CMC> <1> (Clients MUST not include more than one extension of the same type in a block.) + <SMP> <1> (Servers MUST reject multiple extensions of the same type in a block.)
43,Negotiation in TLS 1.3,"In TLS 1.3, extensions are negotiated for each handshake, even in resumption-PSK mode, differing from TLS 1.2.",0,Skip,Skip
44,Security Considerations,Designers should consider security implications when introducing new extensions to prevent attacks that manipulate handshake messages.,0,Skip,Skip
45,Error Handling in Extensions,"Error conditions and refusals to support features should be handled properly, using appropriate alerts for errors and fields in responses for refusals.",0,Skip,Skip
46,Integrity of Handshake Phase,"Designers must ensure that extensions do not compromise security, especially since active attackers can modify messages until the handshake is authenticated.",1,<CMC> <1> (Designers MUST ensure that extensions do not compromise security during the handshake.) + <SMP> <0> (Servers MUST handle extensions in a way that maintains security integrity until the handshake is authenticated.),<CMC> <1> (Designers MUST ensure that extensions do not compromise security during the handshake.) + <SMP> <0> (Servers MUST handle extensions in a way that maintains security integrity until the handshake is authenticated.)
47,Supported Versions Extension Purpose,"The ""supported_versions"" extension is used by the client to indicate which versions of TLS it supports and by the server to indicate the version it is using. The extension contains a list of supported versions in preference order, with the most preferred version first.",0,Skip,Skip
48,ClientHello Requirements,"Implementations of this specification must send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304. Previous versions of TLS must also be included if allowed.",1,"<CMC> <1> (Clients MUST send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304.) + <SMP> <0> (Servers MUST accept the ""supported_versions"" extension in the ClientHello, containing all versions of TLS prepared for negotiation.)  
<CMC> <1> (Clients MUST include previous versions of TLS if allowed.) + <SMP> <0> (Servers MUST accept previous versions of TLS included in the ""supported_versions"" extension if allowed.)","<CMC> <1> (Clients MUST send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304.) + <SMP> <0> (Servers MUST accept the ""supported_versions"" extension in the ClientHello, containing all versions of TLS prepared for negotiation.)"
,,,,,"<CMC> <1> (Clients MUST include previous versions of TLS if allowed.) + <SMP> <0> (Servers MUST accept previous versions of TLS included in the ""supported_versions"" extension if allowed.)"
49,Server Behavior Without Extension,"If the ""supported_versions"" extension is not present, compliant servers supporting TLS 1.2 must negotiate TLS 1.2 or prior, regardless of the ClientHello.legacy_version value. Servers may abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later.",1,"<SMC> <1> (Servers MUST negotiate TLS 1.2 or prior if the ""supported_versions"" extension is not present, regardless of the ClientHello.legacy_version value.) + <CMP> <1> (Clients MAY include legacy_version 0x0304 or later in the ClientHello, but servers may abort the handshake upon receiving such a value.)  
<SMC> <1> (Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later.) + <CMP> <1> (Clients MUST be aware that their legacy_version could lead to handshake abortion if it is 0x0304 or later.)","<SMC> <1> (Servers MUST negotiate TLS 1.2 or prior if the ""supported_versions"" extension is not present, regardless of the ClientHello.legacy_version value.) + <CMP> <1> (Clients MAY include legacy_version 0x0304 or later in the ClientHello, but servers may abort the handshake upon receiving such a value.)"
,,,,,<SMC> <1> (Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later.) + <CMP> <1> (Clients MUST be aware that their legacy_version could lead to handshake abortion if it is 0x0304 or later.)
50,Version Negotiation with Extension,"If the extension is present in the ClientHello, servers must not use the ClientHello.legacy_version for version negotiation and must rely solely on the ""supported_versions"" extension. They must select only a version present in this extension and ignore any unknown versions.",1,"<CMC> <1> (Clients MUST include the ""supported_versions"" extension for version negotiation.) + <SMP> <1> (Servers MUST rely solely on the ""supported_versions"" extension and must not use ClientHello.legacy_version for version negotiation.)  
<SMC> <1> (Servers MUST select only a version present in the ""supported_versions"" extension.) + <CMP> <1> (Clients MUST ensure only known versions are included in the ""supported_versions"" extension.)","<CMC> <1> (Clients MUST include the ""supported_versions"" extension for version negotiation.) + <SMP> <1> (Servers MUST rely solely on the ""supported_versions"" extension and must not use ClientHello.legacy_version for version negotiation.)"
,,,,,"<SMC> <1> (Servers MUST select only a version present in the ""supported_versions"" extension.) + <CMP> <1> (Clients MUST ensure only known versions are included in the ""supported_versions"" extension.)"
51,Server Response Based on Negotiated Version,"A server negotiating a version prior to TLS 1.3 must set ServerHello.version and not send the ""supported_versions"" extension. If negotiating TLS 1.3, the server must send a ""supported_versions"" extension with the selected version value (0x0304) and set ServerHello.legacy_version to 0x0303 (TLS 1.2). Clients must check for this extension before processing the rest of the ServerHello.",1,"```
<SMC> <1> (Servers MUST set ServerHello.version to a version prior to TLS 1.3 and not send the ""supported_versions"" extension when negotiating that version.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)
<SMC> <1> (Servers MUST send a ""supported_versions"" extension with the selected version value (0x0304) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)
<SMC> <1> (Servers MUST set ServerHello.legacy_version to 0x0303 (TLS 1.2) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)
```","<SMC> <1> (Servers MUST set ServerHello.version to a version prior to TLS 1.3 and not send the ""supported_versions"" extension when negotiating that version.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)"
,,,,,"<SMC> <1> (Servers MUST send a ""supported_versions"" extension with the selected version value (0x0304) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)"
,,,,,"<SMC> <1> (Servers MUST set ServerHello.legacy_version to 0x0303 (TLS 1.2) when negotiating TLS 1.3.) + <CMP> <1> (Clients MUST check for the ""supported_versions"" extension before processing the rest of the ServerHello.)"
52,Client Validation of Selected Version,"If the ""supported_versions"" extension in the ServerHello contains a version not offered by the client or a version prior to TLS 1.3, the client must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension in the ServerHello contains a version not offered by the client.) + <SMC> <1> (Servers MUST include only versions offered by the client in the ""supported_versions"" extension in the ServerHello.)  
<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension contains a version prior to TLS 1.3.) + <SMC> <1> (Servers MUST NOT include versions prior to TLS 1.3 in the ""supported_versions"" extension in the ServerHello.)","<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension in the ServerHello contains a version not offered by the client.) + <SMC> <1> (Servers MUST include only versions offered by the client in the ""supported_versions"" extension in the ServerHello.)"
,,,,,"<CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the ""supported_versions"" extension contains a version prior to TLS 1.3.) + <SMC> <1> (Servers MUST NOT include versions prior to TLS 1.3 in the ""supported_versions"" extension in the ServerHello.)"
53,Cookie Structure Definition,The cookie structure is defined as an opaque value of size between 1 and 65535 bytes.,0,Skip,Skip
54,Purpose of Cookies,"Cookies serve two primary purposes: enabling the server to require the client to demonstrate reachability for DoS protection and allowing the server to offload state to the client, facilitating a HelloRetryRequest without storing state.",0,Skip,Skip
55,HelloRetryRequest and Cookie Extension,"When sending a HelloRetryRequest, the server may provide a ""cookie"" extension, deviating from the usual rule that only ClientHello extensions may be sent.",0,Skip,Skip
56,ClientHello Cookie Requirement,The client must include the cookie extension received in the HelloRetryRequest in the new ClientHello. Clients must not use cookies in their initial ClientHello for subsequent connections.,1,"<CMC> <1> (Clients MUST include the cookie extension received in the HelloRetryRequest in the new ClientHello.) + <SMP> <1> (Servers MUST accept the cookie extension included in the new ClientHello.)  
<CMC> <1> (Clients MUST NOT use cookies in their initial ClientHello for subsequent connections.) + <SMP> <0> (Servers MUST not expect cookies in the initial ClientHello for subsequent connections.)",<CMC> <1> (Clients MUST include the cookie extension received in the HelloRetryRequest in the new ClientHello.) + <SMP> <1> (Servers MUST accept the cookie extension included in the new ClientHello.)
,,,,,<CMC> <1> (Clients MUST NOT use cookies in their initial ClientHello for subsequent connections.) + <SMP> <0> (Servers MUST not expect cookies in the initial ClientHello for subsequent connections.)
57,Stateless Server Behavior,"A stateless server may receive an unprotected record of type change_cipher_spec between ClientHello messages and must ignore these records, as it does not retain any state.",1,"<SMC> <1> (Servers MUST ignore unprotected change_cipher_spec records received between ClientHello messages, as they do not retain state.) + <CMP> <0> (Clients MAY send unprotected change_cipher_spec records between ClientHello messages, but servers MUST ignore them.)","<SMC> <1> (Servers MUST ignore unprotected change_cipher_spec records received between ClientHello messages, as they do not retain state.) + <CMP> <0> (Clients MAY send unprotected change_cipher_spec records between ClientHello messages, but servers MUST ignore them.)"
58,Signature Algorithm Extensions in TLS 1.3,"TLS 1.3 provides two extensions for indicating which signature algorithms may be used in digital signatures: ""signature_algorithms_cert"" for certificate signatures and ""signature_algorithms"" for CertificateVerify messages.",0,Skip,Skip
59,Key Compatibility Requirement,"The keys found in certificates must be of appropriate type for the signature algorithms used, particularly concerning RSA keys and PSS signatures.",1,"<SMC> <1> (Servers MUST ensure that the keys found in certificates are of appropriate type for the signature algorithms used.) + <CMP> <0> (Clients MUST use appropriate key types that match the signature algorithms, particularly for RSA keys and PSS signatures.)","<SMC> <1> (Servers MUST ensure that the keys found in certificates are of appropriate type for the signature algorithms used.) + <CMP> <0> (Clients MUST use appropriate key types that match the signature algorithms, particularly for RSA keys and PSS signatures.)"
60,Client Authentication Requirement,"Clients desiring server authentication via a certificate must send the ""signature_algorithms"" extension; otherwise, the server must abort the handshake with a ""missing_extension"" alert.",1,"<CMC> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate.) + <SMP> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present.)","<CMC> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate.) + <SMP> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present.)"
61,"Purpose of ""signature_algorithms_cert""","The ""signature_algorithms_cert"" extension allows implementations to clearly signal their capabilities regarding different sets of algorithms for certificates and TLS.",0,Skip,Skip
62,SignatureScheme List Structure,"The ""extension_data"" field of these extensions contains a SignatureSchemeList value, which lists supported signature algorithms in descending order of preference.",0,Skip,Skip
63,Signature Algorithm Types and Descriptions,"Various signature algorithms are defined, including RSASSA-PKCS1-v1_5, ECDSA, and EdDSA, each with specific requirements regarding their use and parameters.",0,Skip,Skip
64,Deprecation of Legacy Algorithms,"Legacy algorithms using SHA-1 are being deprecated; clients must list these as lower priority, and TLS 1.3 servers must not offer SHA-1 signed certificates unless unavoidable.",1,<CMC> <1> (Clients MUST list SHA-1 algorithms as lower priority.) + <SMP> <1> (Servers MUST NOT offer SHA-1 signed certificates unless unavoidable.),<CMC> <1> (Clients MUST list SHA-1 algorithms as lower priority.) + <SMP> <1> (Servers MUST NOT offer SHA-1 signed certificates unless unavoidable.)
65,Self-Signed Certificate Validation,"Signatures on self-signed certificates or trust anchors are not validated, as they initiate a certification path and may use unsupported signature algorithms.",0,Skip,Skip
66,Compatibility with TLS 1.2,"TLS 1.3 implementations negotiating TLS 1.2 must adhere to its requirements, including the ability to negotiate without the ""signature_algorithms"" extension and accept legacy signature pairs.",1,"<SMC> <1> (Servers negotiating TLS 1.2 MUST adhere to its requirements, including the ability to accept legacy signature pairs.) + <CMP> <1> (Clients negotiating TLS 1.2 MUST adhere to its requirements, including the ability to negotiate without the ""signature_algorithms"" extension.)","<SMC> <1> (Servers negotiating TLS 1.2 MUST adhere to its requirements, including the ability to accept legacy signature pairs.) + <CMP> <1> (Clients negotiating TLS 1.2 MUST adhere to its requirements, including the ability to negotiate without the ""signature_algorithms"" extension.)"
67,Certificate Authorities Extension Purpose,"The ""certificate_authorities"" extension is used to indicate the certificate authorities (CAs) which an endpoint supports and which should guide certificate selection by the receiving endpoint.",0,Skip,Skip
