ID,Section,Title,Content,RuleMatch,ExtractedRule,SlicedRule,classification_full_result,classification_result,MQD,CRA,violation_input,mutation_output
,Section: 4.2.2.. Handshake Protocol_Extensions_Cookie,HelloRetryRequest Cookie Usage,"  
When sending a HelloRetryRequest, the server MAY provide a ""cookie"" extension to the client (this is an exception to the usual rule that only extensions appearing in the ClientHello may be sent). When sending the new ClientHello, the client MUST copy the contents of the extension received in the HelloRetryRequest into a ""cookie"" extension in the new ClientHello. Clients MUST NOT use cookies in their initial ClientHello in subsequent connections.  
",,,<CLI-MSG-CONST> <1> (Clients MUST NOT use cookies in their initial ClientHello during subsequent connections) + <SRV-MSG-PROC> <0> (Servers MUST ensure clients do not include cookies in their initial ClientHello on new connections),"{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required; the rule addresses a restriction rather than a dependency.', 'CRA': 'Directly relates to ClientHello, as it specifies behavior regarding cookies in the initial ClientHello message.'}",1,No specific message ordering or dependencies required; the rule addresses a restriction rather than a dependency.,"Directly relates to ClientHello, as it specifies behavior regarding cookies in the initial ClientHello message.","```json
{
  ""description"": ""HelloRetryRequest Cookie Usage"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST NOT use cookies in their initial ClientHello during subsequent connections)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MUST ensure clients do not include cookies in their initial ClientHello on new connections)""
  }
}
```","```json
{
  ""description"": ""HelloRetryRequest Cookie Usage"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST NOT use cookies in their initial ClientHello during subsequent connections)"", 
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MUST ensure clients do not include cookies in their initial ClientHello on new connections)""
  },
  ""violation_description"": [
    ""Rule requires: No cookie extension in initial ClientHello"",
    ""Test strategy: Include cookie extension from previous connection"",
    ""Security impact: Potential replay attack or state confusion"",
    ""Implementation gap: Missing cookie reuse validation""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""ADD"",
    ""fields"": [
      {
        ""name"": ""cookie"",
        ""position"": ""END"",
        ""length"": ""LENGTH(32)""
      }
    ],
    ""modification"": ""0x0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF""
  },
  ""expected_result"": ""Alert(illegal_parameter)""
}
```"
66,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Signature Algorithms Overview,"TLS 1.3 provides two extensions for indicating which signature algorithms may be used in digital signatures. The ""signature_algorithms_cert"" extension applies to signatures in certificates, while the ""signature_algorithms"" extension applies to signatures in CertificateVerify messages. If no ""signature_algorithms_cert"" extension is present, the ""signature_algorithms"" extension also applies to signatures in certificates. Clients must send the ""signature_algorithms"" extension for the server to authenticate via a certificate; if not sent, the server must abort the handshake with a ""missing_extension"" alert.",1,"<CLI-MSG-CONST> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate) + <SRV-MSG-PROC> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present)  
<SRV-MSG-CONST> <0> (Servers MAY apply the ""signature_algorithms"" extension to signatures in certificates if no ""signature_algorithms_cert"" extension is present) + <CLI-MSG-PROC> <0> (Clients MUST understand that if ""signature_algorithms_cert"" is absent, ""signature_algorithms"" applies to certificate signatures)","<CLI-MSG-CONST> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate) + <SRV-MSG-PROC> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required.', 'CRA': 'Directly relates to ClientHello through the ""signature_algorithms"" extension.'}",1,No specific message ordering or dependencies required.,"Directly relates to ClientHello through the ""signature_algorithms"" extension.","```json
{
  ""description"": ""Signature Algorithms Overview"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST send the \""signature_algorithms\"" extension for server authentication via a certificate)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST abort the handshake with a \""missing_extension\"" alert if the \""signature_algorithms\"" extension is not present)""
  }
}
```","```json
{
  ""description"": ""Signature Algorithms Overview"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST send the \""signature_algorithms\"" extension for server authentication via a certificate)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST abort the handshake with a \""missing_extension\"" alert if the \""signature_algorithms\"" extension is not present)""
  },
  ""violation_description"": [
    ""Rule requires: signature_algorithms extension must be present in ClientHello"",
    ""Test strategy: Remove signature_algorithms extension completely"",
    ""Security impact: Potential bypass of signature validation requirements"",
    ""Implementation gap: Missing extension presence validation""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""DELETE"",
    ""fields"": [
      {
        ""name"": ""signature_algorithms"",
        ""position"": ""START"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""remove_extension""
  },
  ""expected_result"": ""Alert(missing_extension)""
}
```"
71,Section: 4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,TLS 1.2 Compatibility,"In TLS 1.2, this extension is defined differently, allowing clients to omit it. TLS 1.2's extension contained hash/signature pairs encoded in two octets, and implementations must accept signatures from any curve advertised in the ""supported_groups"" extension. RSASSA-PSS is mandatory in TLS 1.3, and implementations must accept it even when negotiating TLS 1.2.",1,"<CLI-MSG-CONST> <1> (Clients MUST include the ""signature_algorithms"" extension in TLS 1.3) + <SRV-MSG-PROC> <0> (Servers MUST accept the ""signature_algorithms"" extension even if negotiating with TLS 1.2)  
<SRV-MSG-PROC> <1> (Servers MUST accept RSASSA-PSS signatures during TLS 1.3 negotiations) + <CLI-MSG-PROC> <0> (Clients MUST provide RSASSA-PSS signatures when negotiating TLS 1.3)","<CLI-MSG-CONST> <1> (Clients MUST include the ""signature_algorithms"" extension in TLS 1.3) + <SRV-MSG-PROC> <0> (Servers MUST accept the ""signature_algorithms"" extension even if negotiating with TLS 1.2)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required.', 'CRA': 'Directly relates to ClientHello through the inclusion of the ""signature_algorithms"" extension.'}",1,No specific message ordering or dependencies required.,"Directly relates to ClientHello through the inclusion of the ""signature_algorithms"" extension.","```json
{
  ""description"": ""TLS 1.2 Compatibility"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST include the \""signature_algorithms\"" extension in TLS 1.3)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MUST accept the \""signature_algorithms\"" extension even if negotiating with TLS 1.2)""
  }
}
```","```json
{
  ""description"": ""TLS 1.2 Compatibility"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST include the \""signature_algorithms\"" extension in TLS 1.3)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MUST accept the \""signature_algorithms\"" extension even if negotiating with TLS 1.2)""
  },
  ""violation_description"": [
    ""Rule requires: signature_algorithms extension must be present"",
    ""Test strategy: Remove signature_algorithms extension from ClientHello"", 
    ""Security impact: Potential signature algorithm negotiation failure"",
    ""Implementation gap: Missing validation of mandatory extensions""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""DELETE"",
    ""fields"": [
      {
        ""name"": ""signature_algorithms"",
        ""position"": ""START"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""remove_extension""
  },
  ""expected_result"": ""Alert(missing_extension)""
}
```

Would you like me to explain or break down the test case?"
80,Section: 4.2.6.. Handshake Protocol_Extensions_Post-Handshake Client Authentication,Post-Handshake Authentication Extension,"The ""post_handshake_auth"" extension is used to indicate that a client is willing to perform post-handshake authentication (Section 4.6.2). Servers MUST NOT send a post-handshake CertificateRequest to clients which do not offer this extension. Servers MUST NOT send this extension.",1,"<CLI-MSG-CONST> <1> (Clients MUST include the ""post_handshake_auth"" extension to indicate willingness for post-handshake authentication) + <SRV-MSG-PROC> <1> (Servers MUST NOT send a CertificateRequest to clients that do not offer the ""post_handshake_auth"" extension)  
<SRV-MSG-CONST> <1> (Servers MUST NOT send the ""post_handshake_auth"" extension)","<CLI-MSG-CONST> <1> (Clients MUST include the ""post_handshake_auth"" extension to indicate willingness for post-handshake authentication) + <SRV-MSG-PROC> <1> (Servers MUST NOT send a CertificateRequest to clients that do not offer the ""post_handshake_auth"" extension)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required; the rule does not indicate a temporal relationship with respect to the ClientHello message.', 'CRA': 'Directly relates to ClientHello through the requirement to include the ""post_handshake_auth"" extension.'}",1,No specific message ordering or dependencies required; the rule does not indicate a temporal relationship with respect to the ClientHello message.,"Directly relates to ClientHello through the requirement to include the ""post_handshake_auth"" extension.","```json
{
  ""description"": ""Post-Handshake Authentication Extension"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST include the \""post_handshake_auth\"" extension to indicate willingness for post-handshake authentication)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST NOT send a CertificateRequest to clients that do not offer the \""post_handshake_auth\"" extension)""
  }
}
```","```json
{
  ""description"": ""Post-Handshake Authentication Extension"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST include the \""post_handshake_auth\"" extension to indicate willingness for post-handshake authentication)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST NOT send a CertificateRequest to clients that do not offer the \""post_handshake_auth\"" extension)""
  },
  ""violation_description"": [
    ""Rule requires: post_handshake_auth extension must be present for post-handshake client auth"",
    ""Test strategy: Include malformed post_handshake_auth extension"",
    ""Security impact: Potential bypass of client authentication requirements"",
    ""Implementation gap: Insufficient validation of extension format""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""MODIFY"",
    ""fields"": [
      {
        ""name"": ""post_handshake_auth"",
        ""position"": ""START"",
        ""length"": ""LENGTH(4)""
      }
    ],
    ""modification"": ""0x0000FFFF""
  },
  ""expected_result"": ""Alert(decode_error) or Alert(illegal_parameter)""
}
```"
99,Section: 4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,PSK Key Exchange Modes Extension,"In order to use PSKs, clients MUST also send a ""psk_key_exchange_modes"" extension. The semantics of this extension are that the client only supports the use of PSKs with these modes, which restricts both the use of PSKs offered in this ClientHello and those which the server might supply via NewSessionTicket. A client MUST provide a ""psk_key_exchange_modes"" extension if it offers a ""pre_shared_key"" extension. If clients offer ""pre_shared_key"" without a ""psk_key_exchange_modes"" extension, servers MUST abort the handshake. Servers MUST NOT select a key exchange mode that is not listed by the client. This extension also restricts the modes for use with PSK resumption. Servers SHOULD NOT send NewSessionTicket with tickets that are not compatible with the advertised modes; however, if a server does so, the impact will just be that the client's attempts at resumption fail. The server MUST NOT send a ""psk_key_exchange_modes"" extension.",1,"<CLI-MSG-CONST> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension if they offer a ""pre_shared_key"" extension) + <SRV-MSG-PROC> <1> (Servers MUST abort the handshake if ""pre_shared_key"" is offered without a ""psk_key_exchange_modes"" extension)  
<CLI-MSG-CONST> <1> (Clients MUST restrict PSK usage to modes listed in the ""psk_key_exchange_modes"" extension) + <SRV-MSG-PROC> <1> (Servers MUST NOT select a key exchange mode not listed by the client)  
<SRV-MSG-PROC> <0> (Servers SHOULD NOT send NewSessionTicket with incompatible tickets, but if they do, only resumption attempts will fail) + <SRV-MSG-CONST> <0> (Servers MUST NOT send a ""psk_key_exchange_modes"" extension)","<CLI-MSG-CONST> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension if they offer a ""pre_shared_key"" extension) + <SRV-MSG-PROC> <1> (Servers MUST abort the handshake if ""pre_shared_key"" is offered without a ""psk_key_exchange_modes"" extension)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required.', 'CRA': 'Directly relates to ClientHello through the ""pre_shared_key"" extension, as it must be included in the ClientHello.'}",1,No specific message ordering or dependencies required.,"Directly relates to ClientHello through the ""pre_shared_key"" extension, as it must be included in the ClientHello.","```json
{
  ""description"": ""PSK Key Exchange Modes Extension"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST send a \""psk_key_exchange_modes\"" extension if they offer a \""pre_shared_key\"" extension)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST abort the handshake if \""pre_shared_key\"" is offered without a \""psk_key_exchange_modes\"" extension)""
  }
}
```","```json
{
  ""description"": ""PSK Key Exchange Modes Extension"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST send a \""psk_key_exchange_modes\"" extension if they offer a \""pre_shared_key\"" extension)"", 
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST abort the handshake if \""pre_shared_key\"" is offered without a \""psk_key_exchange_modes\"" extension)""
  },
  ""violation_description"": [
    ""Rule requires: psk_key_exchange_modes extension must accompany pre_shared_key"",
    ""Test strategy: Send pre_shared_key without psk_key_exchange_modes"",
    ""Security impact: Potential PSK mode negotiation bypass"",
    ""Implementation gap: Missing extension dependency validation""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""DELETE"",
    ""fields"": [
      {
        ""name"": ""psk_key_exchange_modes"",
        ""position"": ""START"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""remove_extension""
  },
  ""expected_result"": ""Alert(missing_extension)""
}
```"
,Section: 4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,PSK Key Exchange Modes Extension,"In order to use PSKs, clients MUST also send a ""psk_key_exchange_modes"" extension. The semantics of this extension are that the client only supports the use of PSKs with these modes, which restricts both the use of PSKs offered in this ClientHello and those which the server might supply via NewSessionTicket. A client MUST provide a ""psk_key_exchange_modes"" extension if it offers a ""pre_shared_key"" extension. If clients offer ""pre_shared_key"" without a ""psk_key_exchange_modes"" extension, servers MUST abort the handshake. Servers MUST NOT select a key exchange mode that is not listed by the client. This extension also restricts the modes for use with PSK resumption. Servers SHOULD NOT send NewSessionTicket with tickets that are not compatible with the advertised modes; however, if a server does so, the impact will just be that the client's attempts at resumption fail. The server MUST NOT send a ""psk_key_exchange_modes"" extension.",,,"<CLI-MSG-CONST> <1> (Clients MUST restrict PSK usage to modes listed in the ""psk_key_exchange_modes"" extension) + <SRV-MSG-PROC> <1> (Servers MUST NOT select a key exchange mode not listed by the client)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required.', 'CRA': 'Relates to ClientHello through the ""psk_key_exchange_modes"" extension mentioned in the rule text.'}",1,No specific message ordering or dependencies required.,"Relates to ClientHello through the ""psk_key_exchange_modes"" extension mentioned in the rule text.","```json
{
  ""description"": ""PSK Key Exchange Modes Extension"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST restrict PSK usage to modes listed in the \""psk_key_exchange_modes\"" extension)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST NOT select a key exchange mode not listed by the client)""
  }
}
```","```json
{
  ""description"": ""PSK Key Exchange Modes Extension"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST restrict PSK usage to modes listed in the \""psk_key_exchange_modes\"" extension)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST NOT select a key exchange mode not listed by the client)""
  },
  ""violation_description"": [
    ""Rule requires: PSK modes must be explicitly listed in psk_key_exchange_modes extension"",
    ""Test strategy: Send ClientHello with PSK but omit psk_key_exchange_modes extension"",
    ""Security impact: Potential PSK mode negotiation bypass or downgrade"",
    ""Implementation gap: Missing validation of PSK mode restrictions""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""DELETE"",
    ""fields"": [
      {
        ""name"": ""psk_key_exchange_modes"",
        ""position"": ""START"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""remove_extension""
  },
  ""expected_result"": ""Alert(missing_extension) or Alert(illegal_parameter)""
}
```"
103,Section: 4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Early Data Use with PSK,"When a PSK is used and early data is allowed for that PSK, the client can send Application Data in its first flight of messages. If the client opts to do so, it MUST supply both the ""pre_shared_key"" and ""early_data"" extensions. The ""extension_data"" field of this extension contains an ""EarlyDataIndication"" value.",1,"<CLI-MSG-CONST> <1> (Clients MUST supply both ""pre_shared_key"" and ""early_data"" extensions when using early data with a PSK) + <SRV-MSG-PROC> <1> (Servers MUST verify the presence of both ""pre_shared_key"" and ""early_data"" extensions in the client's first flight of messages)  
<CLI-MSG-CONST> <1> (Clients MUST include ""EarlyDataIndication"" value in the ""extension_data"" field of the ""early_data"" extension) + <SRV-MSG-PROC> <0> (Servers MAY inspect the ""EarlyDataIndication"" value for compliance with protocol requirements)","<CLI-MSG-CONST> <1> (Clients MUST supply both ""pre_shared_key"" and ""early_data"" extensions when using early data with a PSK) + <SRV-MSG-PROC> <1> (Servers MUST verify the presence of both ""pre_shared_key"" and ""early_data"" extensions in the client's first flight of messages)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required; the statement does not indicate that the ClientHello must follow another specific message.', 'CRA': 'Directly relates to ClientHello through the requirement for ""pre_shared_key"" and ""early_data"" extensions, which must be included in the ClientHello.'}",1,No specific message ordering or dependencies required; the statement does not indicate that the ClientHello must follow another specific message.,"Directly relates to ClientHello through the requirement for ""pre_shared_key"" and ""early_data"" extensions, which must be included in the ClientHello.","```json
{
  ""description"": ""Early Data Use with PSK"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST supply both \""pre_shared_key\"" and \""early_data\"" extensions when using early data with a PSK)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST verify the presence of both \""pre_shared_key\"" and \""early_data\"" extensions in the client's first flight of messages)""
  }
}
```","```json
{
  ""description"": ""Early Data Use with PSK"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST supply both \""pre_shared_key\"" and \""early_data\"" extensions when using early data with a PSK)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST verify the presence of both \""pre_shared_key\"" and \""early_data\"" extensions in the client's first flight of messages)""
  },
  ""violation_description"": [
    ""Rule requires: Both pre_shared_key and early_data extensions must be present for early data"",
    ""Test strategy: Include early_data extension but omit pre_shared_key extension"",
    ""Security impact: Potential early data acceptance without proper PSK validation"",
    ""Implementation gap: Missing extension dependency validation""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""DELETE"",
    ""fields"": [
      {
        ""name"": ""pre_shared_key"",
        ""position"": ""END"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""remove_extension""
  },
  ""expected_result"": ""Alert(missing_extension) or Alert(illegal_parameter)""
}
```"
,Section: 4.2.10.. Handshake Protocol_Extensions_Early Data Indication,Early Data Use with PSK,"When a PSK is used and early data is allowed for that PSK, the client can send Application Data in its first flight of messages. If the client opts to do so, it MUST supply both the ""pre_shared_key"" and ""early_data"" extensions. The ""extension_data"" field of this extension contains an ""EarlyDataIndication"" value.",,,"<CLI-MSG-CONST> <1> (Clients MUST include ""EarlyDataIndication"" value in the ""extension_data"" field of the ""early_data"" extension) + <SRV-MSG-PROC> <0> (Servers MAY inspect the ""EarlyDataIndication"" value for compliance with protocol requirements)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required.', 'CRA': 'Directly relates to ClientHello through the ""early_data"" extension and the requirement to include ""EarlyDataIndication.""'}",1,No specific message ordering or dependencies required.,"Directly relates to ClientHello through the ""early_data"" extension and the requirement to include ""EarlyDataIndication.""","```json
{
  ""description"": ""Early Data Use with PSK"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST include \""EarlyDataIndication\"" value in the \""extension_data\"" field of the \""early_data\"" extension)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MAY inspect the \""EarlyDataIndication\"" value for compliance with protocol requirements)""
  }
}
```","```json
{
  ""description"": ""Early Data Use with PSK"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST include \""EarlyDataIndication\"" value in the \""extension_data\"" field of the \""early_data\"" extension)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MAY inspect the \""EarlyDataIndication\"" value for compliance with protocol requirements)""
  },
  ""violation_description"": [
    ""Rule requires: EarlyDataIndication value must be present in early_data extension"",
    ""Test strategy: Send malformed/empty EarlyDataIndication value"",
    ""Security impact: Potential early data replay or injection"",
    ""Implementation gap: Missing validation of early data indication format""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""MODIFY"",
    ""fields"": [
      {
        ""name"": ""early_data.extension_data"",
        ""position"": ""START"",
        ""length"": ""LENGTH(4)""
      }
    ],
    ""modification"": ""0x00000000""
  },
  ""expected_result"": ""Alert(decode_error) or fallback to full handshake without early data""
}
```

Would you like me to explain or break down the code?"
126,Section: 4.2.11.. Handshake Protocol_Extensions_Pre-Shared Key Extension,Extension Position Requirement,"The ""pre_shared_key"" extension MUST be the last extension in the ClientHello. Servers MUST check that it is the last extension and otherwise fail the handshake with an ""illegal_parameter"" alert.",1,"<CLI-MSG-CONST> <1> (Clients MUST place the ""pre_shared_key"" extension as the last extension in the ClientHello) + <SRV-MSG-PROC> <1> (Servers MUST verify that the ""pre_shared_key"" extension is the last extension in ClientHello and fail the handshake with an ""illegal_parameter"" alert if it is not)","<CLI-MSG-CONST> <1> (Clients MUST place the ""pre_shared_key"" extension as the last extension in the ClientHello) + <SRV-MSG-PROC> <1> (Servers MUST verify that the ""pre_shared_key"" extension is the last extension in ClientHello and fail the handshake with an ""illegal_parameter"" alert if it is not)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required beyond the placement of the extension.', 'CRA': 'Directly relates to ClientHello through the requirement for the ""pre_shared_key"" extension.'}",1,No specific message ordering or dependencies required beyond the placement of the extension.,"Directly relates to ClientHello through the requirement for the ""pre_shared_key"" extension.","```json
{
  ""description"": ""Extension Position Requirement"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST place the \""pre_shared_key\"" extension as the last extension in the ClientHello)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST verify that the \""pre_shared_key\"" extension is the last extension in ClientHello and fail the handshake with an \""illegal_parameter\"" alert if it is not)""
  }
}
```","{
  ""description"": ""Extension Position Requirement"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (Clients MUST place the \""pre_shared_key\"" extension as the last extension in the ClientHello)"",
    ""second_rule"": ""<SRV-MSG-PROC> <1> (Servers MUST verify that the \""pre_shared_key\"" extension is the last extension in ClientHello and fail the handshake with an \""illegal_parameter\"" alert if it is not)""
  },
  ""violation_description"": [
    ""Rule requires: pre_shared_key extension must be the final extension"",
    ""Test strategy: Place another extension after pre_shared_key"",
    ""Security impact: Potential key material exposure and processing order manipulation"",
    ""Implementation gap: Insufficient validation of extension ordering""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""REORDER"",
    ""fields"": [
      {
        ""name"": ""pre_shared_key"",
        ""position"": ""OFFSET(-2)"",
        ""length"": ""ALL""
      },
      {
        ""name"": ""supported_versions"",
        ""position"": ""END"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""move_supported_versions_after_psk""
  },
  ""expected_result"": ""Alert(illegal_parameter)""
}"
194,Section: 4.6.1.. Handshake Protocol_Post-Handshake Messages_New Session Ticket Message,SNI Reporting,"On resumption, if reporting an SNI value to the calling application, implementations MUST use the value sent in the resumption ClientHello rather than the value sent in the previous session. Note that if a server implementation declines all PSK identities with different SNI values, these two values are always the same.",1,"<CLI-MSG-CONST> <1> (On resumption, clients MUST use the SNI value from the resumption ClientHello when reporting to the calling application) + <SRV-MSG-PROC> <0> (Servers MUST ensure that SNI values are consistent when declining all PSK identities)","<CLI-MSG-CONST> <1> (On resumption, clients MUST use the SNI value from the resumption ClientHello when reporting to the calling application) + <SRV-MSG-PROC> <0> (Servers MUST ensure that SNI values are consistent when declining all PSK identities)","{'classification_result': '1', 'MQD': 'No specific message ordering or dependencies required.', 'CRA': 'Directly relates to ClientHello through the use of the SNI value in the resumption ClientHello.'}",1,No specific message ordering or dependencies required.,Directly relates to ClientHello through the use of the SNI value in the resumption ClientHello.,"```json
{
  ""description"": ""SNI Reporting"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (On resumption, clients MUST use the SNI value from the resumption ClientHello when reporting to the calling application)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MUST ensure that SNI values are consistent when declining all PSK identities)""
  }
}
```","```json
{
  ""description"": ""SNI Reporting"",
  ""base"": {
    ""first_rule"": ""<CLI-MSG-CONST> <1> (On resumption, clients MUST use the SNI value from the resumption ClientHello when reporting to the calling application)"",
    ""second_rule"": ""<SRV-MSG-PROC> <0> (Servers MUST ensure that SNI values are consistent when declining all PSK identities)""
  },
  ""violation_description"": [
    ""Rule requires: SNI value must match between resumption ClientHello and application reporting"",
    ""Test strategy: Modify SNI value between initial and resumption handshakes"",
    ""Security impact: Potential hostname verification bypass or application confusion"",
    ""Implementation gap: Missing SNI consistency validation across handshakes""
  ],
  ""target"": {
    ""message"": ""ClientHello"",
    ""operation"": ""MODIFY"",
    ""fields"": [
      {
        ""name"": ""server_name_extension"",
        ""position"": ""START"",
        ""length"": ""ALL""
      }
    ],
    ""modification"": ""Change SNI value in resumption ClientHello to different hostname than initial handshake""
  },
  ""expected_result"": ""Alert(illegal_parameter) or connection termination""
}
```"
