ID,Section,Title,Content,RuleMatch,ExtractedRule
11,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Server Parameter Selection,"If the server does not select a PSK, then the first three options are entirely orthogonal: the server independently selects a cipher suite, an (EC)DHE group and key share for key establishment, and a signature algorithm/certificate pair to authenticate itself to the client. If there is no overlap between the received ""supported_groups"" and the groups supported by the server, then the server MUST abort the handshake with a ""handshake_failure"" or an ""insufficient_security"" alert.",1,"<SRV-MSG-CONST> <1> (Servers MUST independently select a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair if no PSK is selected) + <SRV-MSG-PROC> <1> (Servers MUST abort the handshake with a ""handshake_failure"" or ""insufficient_security"" alert if there is no overlap between the received ""supported_groups"" and the server's supported groups)"
12,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Selection and Key Establishment,"If the server selects a PSK, then it MUST also select a key establishment mode from the set indicated by the client's ""psk_key_exchange_modes"" extension (at present, PSK alone or with (EC)DHE).",1,"<SRV-MSG-CONST> <1> (If the server selects a PSK, it MUST select a key establishment mode from the client's ""psk_key_exchange_modes"" extension) + <CLI-MSG-PROC> <0> (Clients MUST provide the supported key exchange modes in the ""psk_key_exchange_modes"" extension)"
13,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,HelloRetryRequest Requirement,"If the server selects an (EC)DHE group and the client did not offer a compatible ""key_share"" extension in the initial ClientHello, the server MUST respond with a HelloRetryRequest (Section 4.1.4) message.",1,"<SRV-MSG-CONST> <1> (Servers MUST send a HelloRetryRequest if they select an (EC)DHE group and the client did not offer a compatible ""key_share"" extension) + <CLI-MSG-PROC> <0> (Clients MUST be prepared to receive a HelloRetryRequest message from the server)"
14,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Parameter Indication in ServerHello,"If the server successfully selects parameters and does not require a HelloRetryRequest, it indicates the selected parameters in the ServerHello as follows: If PSK is being used, then the server will send a ""pre_shared_key"" extension indicating the selected key. When (EC)DHE is in use, the server will also provide a ""key_share"" extension.",0,Skip
15,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Certificate Authentication,"When authenticating via a certificate, the server will send the Certificate (Section 4.4.2) and CertificateVerify (Section 4.4.3) messages. In TLS 1.3 as defined by this document, either a PSK or a certificate is always used, but not both.",0,Skip
16,Section: 4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Failure to Negotiate Parameters,"If the server is unable to negotiate a supported set of parameters (i.e., there is no overlap between the client and server parameters), it MUST abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert (see Section 6).",1,"<SRV-MSG-PROC> <1> (Servers MUST abort the handshake if they cannot negotiate a supported set of parameters, issuing either a ""handshake_failure"" or ""insufficient_security"" fatal alert) + <CLI-MSG-PROC> <0> (Clients MUST be prepared to handle a ""handshake_failure"" or ""insufficient_security"" alert from the server)"
17,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Transmission Rules,"When a client first connects to a server, it is REQUIRED to send the ClientHello as its first TLS message. The client will also send a ClientHello when the server has responded to its ClientHello with a HelloRetryRequest. In that case, the client MUST send the same ClientHello without modification, except as follows:
- If a ""key_share"" extension was supplied in the HelloRetryRequest, replacing the list of shares with a list containing a single KeyShareEntry from the indicated group.
- Removing the ""early_data"" extension if one was present. Early data is not permitted after a HelloRetryRequest.
- Including a ""cookie"" extension if one was provided in the HelloRetryRequest.
- Updating the ""pre_shared_key"" extension if present by recomputing the ""obfuscated_ticket_age"" and binder values and (optionally) removing any PSKs which are incompatible with the server's indicated cipher suite.
- Optionally adding, removing, or changing the length of the ""padding"" extension [RFC7685].
- Other modifications that may be allowed by an extension defined in the future and present in the HelloRetryRequest.",1,"<CLI-MSG-CONST> <1> (Clients MUST send ClientHello as the first TLS message upon connection and also after receiving a HelloRetryRequest) + <SRV-MSG-PROC> <0> (Servers MUST validate that the initial ClientHello is sent as the first message and that subsequent ClientHello messages comply with the specified modifications)
<CLI-MSG-CONST> <1> (After receiving a HelloRetryRequest, clients MUST replace the ""key_share"" extension with a single KeyShareEntry for the indicated group if requested) + <SRV-MSG-PROC> <0> (Servers MUST verify the ""key_share"" extension is correctly modified in the new ClientHello)
<CLI-MSG-CONST> <1> (Clients MUST remove the ""early_data"" extension if it was present when sending a new ClientHello after a HelloRetryRequest) + <SRV-MSG-PROC> <0> (Servers MUST reject ClientHello messages that still include the ""early_data"" extension after a HelloRetryRequest)
<CLI-MSG-CONST> <1> (Clients MUST include a ""cookie"" extension if provided in the HelloRetryRequest) + <SRV-MSG-PROC> <0> (Servers MUST check for the presence of the ""cookie"" extension in the new ClientHello)
<CLI-MSG-CONST> <1> (Clients MUST update the ""pre_shared_key"" extension by recalculating the ""obfuscated_ticket_age"" and binder values, and MAY remove incompatible PSKs) + <SRV-MSG-PROC> <0> (Servers MUST verify the updated ""pre_shared_key"" values in the new ClientHello)
<CLI-MSG-CONST> <1> (Clients MAY add, remove, or change the length of the ""padding"" extension as necessary) + <SRV-MSG-PROC> <0> (Servers MUST accept optional modifications to the ""padding"" extension in the new ClientHello)"
18,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Renegotiation Rules,"Because TLS 1.3 forbids renegotiation, if a server has negotiated TLS 1.3 and receives a ClientHello at any other time, it MUST terminate the connection with an ""unexpected_message"" alert. If a server established a TLS connection with a previous version of TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST retain the previous protocol version. In particular, it MUST NOT negotiate TLS 1.3.",1,"<SRV-MSG-PROC> <1> (Servers MUST terminate the connection with an ""unexpected_message"" alert if they receive a ClientHello after negotiating TLS 1.3) + <SRV-MSG-PROC> <1> (Servers MUST retain the previous protocol version and MUST NOT negotiate TLS 1.3 if they receive a TLS 1.3 ClientHello while previously established with an earlier version of TLS)"
19,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Structure,"Structure of this message:
```
      uint16 ProtocolVersion;
      opaque Random[32];

      uint8 CipherSuite[2];    /* Cryptographic suite selector */

      struct {
          ProtocolVersion legacy_version = 0x0303;    /* TLS v1.2 */
          Random random;
          opaque legacy_session_id<0..32>;
          CipherSuite cipher_suites<2..2^16-2>;
          opaque legacy_compression_methods<1..2^8-1>;
          Extension extensions<8..2^16-1>;
      ",0,Skip
20,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Legacy Version Field,"In previous versions of TLS, this field was used for version negotiation and represented the highest version number supported by the client. Experience has shown that many servers do not properly implement version negotiation, leading to ""version intolerance"" in which the server rejects an otherwise acceptable ClientHello with a version number higher than it supports. In TLS 1.3, the client indicates its version preferences in the ""supported_versions"" extension (Section 4.2.1) and the legacy_version field MUST be set to 0x0303, which is the version number for TLS 1.2. TLS 1.3 ClientHellos are identified as having a legacy_version of 0x0303 and a supported_versions extension present with 0x0304 as the highest version indicated therein. (See Appendix D for details about backward compatibility.)",1,"<CLI-MSG-CONST> <1> (Clients MUST set the legacy_version field to 0x0303 in TLS 1.3 ClientHellos) + <SRV-MSG-PROC> <1> (Servers MUST recognize ClientHellos with a legacy_version of 0x0303 and a supported_versions extension containing 0x0304 as valid)
<CLI-MSG-CONST> <1> (Clients MUST include the ""supported_versions"" extension in TLS 1.3 ClientHellos) + <SRV-MSG-PROC> <1> (Servers MUST verify the presence of the ""supported_versions"" extension in ClientHellos)"
21,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Random Field Requirements,32 bytes generated by a secure random number generator. See Appendix C for additional information.,0,Skip
22,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Session ID Field,"Versions of TLS before TLS 1.3 supported a ""session resumption"" feature which has been merged with pre-shared keys in this version (see Section 2.2). A client which has a cached session ID set by a pre-TLS 1.3 server SHOULD set this field to that value. In compatibility mode (see Appendix D.4), this field MUST be non-empty, so a client not offering a pre-TLS 1.3 session MUST generate a new 32-byte value. This value need not be random but SHOULD be unpredictable to avoid implementations fixating on a specific value (also known as ossification). Otherwise, it MUST be set as a zero-length vector (i.e., a zero-valued single byte length field).",1,"<CLI-MSG-CONST> <1> (Clients MUST set the session ID field to a cached session ID from a pre-TLS 1.3 server if available) + <SRV-MSG-PROC> <0> (Servers MUST accept the session ID field when set to a valid cached value)
<CLI-MSG-CONST> <1> (In compatibility mode, clients MUST generate a new non-empty 32-byte session ID if not offering a pre-TLS 1.3 session) + <SRV-MSG-PROC> <0> (Servers MUST verify that the session ID is non-empty in compatibility mode)
<CLI-MSG-CONST> <1> (Clients SHOULD ensure the generated session ID is unpredictable to avoid ossification) + <SRV-MSG-PROC> <0> (Servers SHOULD reject session IDs that are predictable or fixed) 
<CLI-MSG-CONST> <1> (If no valid session ID is available, clients MUST set the session ID field as a zero-length vector) + <SRV-MSG-PROC> <0> (Servers MUST accept a zero-length session ID vector when appropriate)"
23,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Cipher Suites,"A list of the symmetric cipher options supported by the client, specifically the record protection algorithm (including secret key length) and a hash to be used with HKDF, in descending order of client preference. Values are defined in Appendix B.4. If the list contains cipher suites that the server does not recognize, support, or wish to use, the server MUST ignore those cipher suites and process the remaining ones as usual. If the client is attempting a PSK key establishment, it SHOULD advertise at least one cipher suite indicating a Hash associated with the PSK.",1,"<CLI-MSG-CONST> <1> (Clients MUST provide a list of supported cipher suites in descending order of preference) + <SRV-MSG-PROC> <1> (Servers MUST ignore unrecognized or unsupported cipher suites in the client's list and process the remaining ones)
<CLI-MSG-CONST> <0> (Clients SHOULD advertise at least one PSK-related cipher suite if attempting PSK key establishment) + <SRV-MSG-PROC> <0> (Servers MAY prioritize processing of cipher suites associated with PSK if indicated by the client)"
24,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Legacy Compression Methods,"Versions of TLS before 1.3 supported compression with the list of supported compression methods being sent in this field. For every TLS 1.3 ClientHello, this vector MUST contain exactly one byte, set to zero, which corresponds to the ""null"" compression method in prior versions of TLS. If a TLS 1.3 ClientHello is received with any other value in this field, the server MUST abort the handshake with an ""illegal_parameter"" alert. Note that TLS 1.3 servers might receive TLS 1.2 or prior ClientHellos which contain other compression methods and (if negotiating such a prior version) MUST follow the procedures for the appropriate prior version of TLS.",1,"<CLI-MSG-CONST> <1> (TLS 1.3 ClientHello MUST contain exactly one byte set to zero for the ""null"" compression method) + <SRV-MSG-PROC> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the ClientHello contains any value other than zero in the compression methods field)  
<SRV-MSG-PROC> <0> (Servers MUST follow procedures for prior TLS versions if receiving a ClientHello from TLS 1.2 or earlier that contains other compression methods)"
25,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extensions,"Clients request extended functionality from servers by sending data in the extensions field. The actual ""Extension"" format is defined in Section 4.2. In TLS 1.3, the use of certain extensions is mandatory, as functionality has moved into extensions to preserve ClientHello compatibility with previous versions of TLS. Servers MUST ignore unrecognized extensions.",1,"<CLI-MSG-CONST> <1> (Clients MUST send data in the extensions field to request extended functionality from servers) + <SRV-MSG-PROC> <1> (Servers MUST ignore unrecognized extensions in the ClientHello)
<CLI-MSG-CONST> <1> (Clients MUST include mandatory extensions in the ClientHello to ensure compatibility with previous TLS versions) + <SRV-MSG-PROC> <0> (Servers MAY log the presence of unrecognized extensions for analysis)"
26,Section: 4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Processing Rules,"After sending the ClientHello message, the client waits for a ServerHello or HelloRetryRequest message. If early data is in use, the client may transmit early Application Data (Section 2.3) while waiting for the next handshake message.",0,Skip
27,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Purpose,The server will send this message in response to a ClientHello message to proceed with the handshake if it is able to negotiate an acceptable set of handshake parameters based on the ClientHello.,0,Skip
28,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Structure," 
    struct {
        ProtocolVersion legacy_version = 0x0303;    /* TLS v1.2 */
        Random random;
        opaque legacy_session_id_echo<0..32>;
        CipherSuite cipher_suite;
        uint8 legacy_compression_method = 0;
        Extension extensions<6..2^16-1>;
    ",0,Skip
29,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Legacy Version Field,"In previous versions of TLS, this field was used for version negotiation and represented the selected version number for the connection. Unfortunately, some middleboxes fail when presented with new values. In TLS 1.3, the TLS server indicates its version using the ""supported_versions"" extension (Section 4.2.1), and the legacy_version field MUST be set to 0x0303, which is the version number for TLS 1.2. (See Appendix D for details about backward compatibility.)",1,"<SRV-MSG-CONST> <1> (Servers MUST set the legacy_version field to 0x0303 in ServerHello, indicating TLS 1.2 compatibility) + <SRV-MSG-PROC> <0> (Servers MUST use the ""supported_versions"" extension for version negotiation instead of the legacy_version field)"
30,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Random Field Requirements,"32 bytes generated by a secure random number generator. See Appendix C for additional information. The last 8 bytes MUST be overwritten as described below if negotiating TLS 1.2 or TLS 1.1, but the remaining bytes MUST be random. This structure is generated by the server and MUST be generated independently of the ClientHello.random.",1,"<SRV-MSG-CONST> <1> (Servers MUST generate the Random field as 32 bytes using a secure random number generator) + <SRV-MSG-CONST> <1> (Servers MUST ensure the last 8 bytes of the Random field are overwritten when negotiating TLS 1.2 or TLS 1.1)  
<SRV-MSG-CONST> <1> (Servers MUST generate the Random field independently of the ClientHello.random value) + <SRV-MSG-CONST> <0> (The first 24 bytes of the Random field MUST remain random)"
31,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Session ID Echo Requirements,"The contents of the client's legacy_session_id field. Note that this field is echoed even if the client's value corresponded to a cached pre-TLS 1.3 session which the server has chosen not to resume. A client which receives a legacy_session_id_echo field that does not match what it sent in the ClientHello MUST abort the handshake with an ""illegal_parameter"" alert.",1,"<SRV-MSG-CONST> <1> (Servers MUST echo the client's legacy_session_id field in the ServerHello, regardless of session resumption) + <CLI-MSG-PROC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the legacy_session_id_echo does not match the value sent in ClientHello)"
32,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Cipher Suite Selection,"The single cipher suite selected by the server from the list in ClientHello.cipher_suites. A client which receives a cipher suite that was not offered MUST abort the handshake with an ""illegal_parameter"" alert.",1,"<SRV-MSG-CONST> <1> (Servers MUST select a single cipher suite from ClientHello.cipher_suites) + <CLI-MSG-PROC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the cipher suite received was not offered)"
33,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Compression Method Requirement,A single byte which MUST have the value 0.,1,<SRV-MSG-CONST> <1> (Servers MUST include a single byte with the value 0 for the compression method in the ServerHello message) + <CLI-MSG-PROC> <1> (Clients MUST accept only ServerHello messages that contain a compression method byte with the value 0)
34,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Extensions Requirements,"A list of extensions. The ServerHello MUST only include extensions which are required to establish the cryptographic context and negotiate the protocol version. All TLS 1.3 ServerHello messages MUST contain the ""supported_versions"" extension. Current ServerHello messages additionally contain either the ""pre_shared_key"" extension or the ""key_share"" extension, or both (when using a PSK with (EC)DHE key establishment). Other extensions (see Section 4.2) are sent separately in the EncryptedExtensions message.",1,"<SRV-MSG-CONST> <1> (Servers MUST include the ""supported_versions"" extension in all TLS 1.3 ServerHello messages) + <SRV-MSG-CONST> <1> (Servers MUST include either the ""pre_shared_key"" extension or the ""key_share"" extension, or both, when using a PSK with (EC)DHE key establishment)  
<SRV-MSG-CONST> <1> (Servers MUST only include extensions in ServerHello that are required to establish the cryptographic context and negotiate the protocol version) + <SRV-MSG-CONST> <0> (Other extensions are sent separately in the EncryptedExtensions message)"
35,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,HelloRetryRequest Special Case,"For reasons of backward compatibility with middleboxes (see Appendix D.4), the HelloRetryRequest message uses the same structure as the ServerHello, but with Random set to the special value of the SHA-256 of ""HelloRetryRequest"": CF 21 AD 74 E5 9A 61 11 BE 1D 8C 02 1E 65 B8 91 C2 A2 11 16 7A BB 8C 5E 07 9E 09 E2 C8 A8 33 9C. Upon receiving a message with type server_hello, implementations MUST first examine the Random value and, if it matches this value, process it as described in Section 4.1.4).",1,"<SRV-MSG-CONST> <1> (Servers MUST set the Random value in the HelloRetryRequest to the specific SHA-256 value of ""HelloRetryRequest"") + <SRV-MSG-PROC> <1> (Upon receiving a server_hello, servers MUST check the Random value and, if it matches the specified value, process it as a HelloRetryRequest according to Section 4.1.4)"
36,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Downgrade Protection Mechanism,"TLS 1.3 has a downgrade protection mechanism embedded in the server's random value. TLS 1.3 servers which negotiate TLS 1.2 or below in response to a ClientHello MUST set the last 8 bytes of their Random value specially in their ServerHello. If negotiating TLS 1.2, TLS 1.3 servers MUST set the last 8 bytes of their Random value to the bytes: 44 4F 57 4E 47 52 44 01. If negotiating TLS 1.1 or below, TLS 1.3 servers MUST, and TLS 1.2 servers SHOULD, set the last 8 bytes of their ServerHello.Random value to the bytes: 44 4F 57 4E 47 52 44 00.",1,"<SRV-MSG-CONST> <1> (TLS 1.3 servers MUST set the last 8 bytes of their Random value to 44 4F 57 4E 47 52 44 01 when negotiating TLS 1.2) + <SRV-MSG-CONST> <1> (TLS 1.3 servers MUST set the last 8 bytes of their Random value to 44 4F 57 4E 47 52 44 00 when negotiating TLS 1.1 or below, and TLS 1.2 servers SHOULD do the same)
<SRV-MSG-PROC> <1> (Servers MUST implement downgrade protection by modifying the Random value in the ServerHello according to the specified conditions) + <SRV-MSG-PROC> <1> (Servers MUST verify the appropriate Random value is set based on the negotiated TLS version)"
37,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Client Verification Process,"TLS 1.3 clients receiving a ServerHello indicating TLS 1.2 or below MUST check that the last 8 bytes are not equal to either of these values. TLS 1.2 clients SHOULD also check that the last 8 bytes are not equal to the second value if the ServerHello indicates TLS 1.1 or below. If a match is found, the client MUST abort the handshake with an ""illegal_parameter"" alert. This mechanism provides limited protection against downgrade attacks over and above what is provided by the Finished exchange.",1,"<CLI-MSG-PROC> <1> (Clients MUST check that the last 8 bytes of ServerHello are not equal to specified values when receiving a ServerHello indicating TLS 1.2 or below) + <CLI-MSG-PROC> <1> (Clients SHOULD check that the last 8 bytes do not equal the second value if the ServerHello indicates TLS 1.1 or below)  
<CLI-MSG-PROC> <1> (If a match is found, clients MUST abort the handshake with an ""illegal_parameter"" alert) + <SRV-MSG-CONST> <0> (This mechanism provides limited protection against downgrade attacks)"
38,Section: 4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Renegotiation Handling,"A legacy TLS client performing renegotiation with TLS 1.2 or prior and which receives a TLS 1.3 ServerHello during renegotiation MUST abort the handshake with a ""protocol_version"" alert. Note that renegotiation is not possible when TLS 1.3 has been negotiated.",1,"<CLI-MSG-PROC> <1> (Legacy TLS clients performing renegotiation MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello) + <SRV-MSG-PROC> <1> (Servers MUST NOT allow renegotiation once TLS 1.3 has been negotiated)"
39,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Hello Retry Request Purpose,"The server will send this message in response to a ClientHello message if it is able to find an acceptable set of parameters but the ClientHello does not contain sufficient information to proceed with the handshake. As discussed in Section 4.1.3, the HelloRetryRequest has the same format as a ServerHello message, and the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method fields have the same meaning. However, for convenience, we discuss ""HelloRetryRequest"" throughout this document as if it were a distinct message.",0,Skip
40,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extensions Requirements,"The server's extensions MUST contain ""supported_versions"". Additionally, it SHOULD contain the minimal set of extensions necessary for the client to generate a correct ClientHello pair. A HelloRetryRequest MUST NOT contain any extensions that were not first offered by the client in its ClientHello, with the exception of optionally the ""cookie"" (see Section 4.2.2) extension.",1,"<SRV-MSG-CONST> <1> (Servers MUST include ""supported_versions"" in their HelloRetryRequest extensions) + <SRV-MSG-CONST> <0> (Servers SHOULD include the minimal set of extensions necessary for the client to generate a correct ClientHello pair)  
<SRV-MSG-CONST> <1> (HelloRetryRequest MUST NOT contain any extensions not offered by the client in its ClientHello, except optionally the ""cookie"" extension) + <SRV-MSG-PROC> <1> (Servers MUST verify that all extensions in HelloRetryRequest were offered by the client, allowing ""cookie"" as an exception)"
41,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Client Processing Rules,"Upon receipt of a HelloRetryRequest, the client MUST check the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method as specified in Section 4.1.3 and then process the extensions, starting with determining the version using ""supported_versions"". Clients MUST abort the handshake with an ""illegal_parameter"" alert if the HelloRetryRequest would not result in any change in the ClientHello. If a client receives a second HelloRetryRequest in the same connection, it MUST abort the handshake with an ""unexpected_message"" alert.",1,"### OUTPUT
<CLI-MSG-PROC> <1> (Upon receipt of HelloRetryRequest, clients MUST check legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method as specified in Section 4.1.3) + <CLI-MSG-PROC> <1> (Clients MUST process extensions starting with determining the version using ""supported_versions"")
<CLI-MSG-PROC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the HelloRetryRequest would not result in any change in the ClientHello) + <CLI-MSG-PROC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if a second HelloRetryRequest is received in the same connection)"
42,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,HelloRetryRequest Extensions,"The HelloRetryRequest extensions defined in this specification are:
- supported_versions (see Section 4.2.1)
- cookie (see Section 4.2.2)
- key_share (see Section 4.2.8)",0,Skip
43,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Cipher Suite Negotiation,"A client which receives a cipher suite that was not offered MUST abort the handshake. Servers MUST ensure that they negotiate the same cipher suite when receiving a conformant updated ClientHello. Upon receiving the ServerHello, clients MUST check that the cipher suite supplied in the ServerHello is the same as that in the HelloRetryRequest and otherwise abort the handshake with an ""illegal_parameter"" alert.",1,"<CLI-MSG-PROC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered) + <SRV-MSG-PROC> <1> (Servers MUST negotiate the same cipher suite upon receiving a conformant updated ClientHello)  
<CLI-MSG-PROC> <1> (Clients MUST check that the cipher suite in the ServerHello matches the one in the HelloRetryRequest) + <CLI-MSG-PROC> <1> (If the cipher suites do not match, clients MUST abort the handshake with an ""illegal_parameter"" alert)"
44,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Updated ClientHello Recommendations,"In its updated ClientHello, the client SHOULD NOT offer any pre-shared keys associated with a hash other than that of the selected cipher suite. This allows the client to avoid having to compute partial hash transcripts for multiple hashes in the second ClientHello.",0,Skip
45,Section: 4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Version Retention Requirement,"The value of selected_version in the HelloRetryRequest ""supported_versions"" extension MUST be retained in the ServerHello, and a client MUST abort the handshake with an ""illegal_parameter"" alert if the value changes.",1,"<SRV-MSG-CONST> <1> (Servers MUST retain the value of selected_version from the HelloRetryRequest in the ServerHello) + <CLI-MSG-PROC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the value of selected_version changes)"
46,Section: 4.2.. Handshake Protocol_Extensions,Extension Structure Definition,"A number of TLS messages contain tag-length-value encoded extensions structures.

    struct {
        ExtensionType extension_type;
        opaque extension_data<0..2^16-1>;
    ",0,Skip
