index,Section,Title,Content,result
27,4.2.2.. Handshake Protocol_Extensions_Cookie,HelloRetryRequest Cookie Extension,"When sending a HelloRetryRequest, the server MAY provide a ""cookie"" extension to the client (this is an exception to the usual rule that only extensions appearing in the ClientHello may be sent). When sending the new ClientHello, the client MUST copy the contents of the extension received in the HelloRetryRequest into a ""cookie"" extension in the new ClientHello. Clients MUST NOT use cookies in their initial ClientHello in subsequent connections.","""[
  {
    ""section"": ""4.2.2.. Handshake Protocol_Extensions_Cookie"",
    ""title"": ""HelloRetryRequest Cookie Extension"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST copy the contents of the 'cookie' extension received in the HelloRetryRequest into a 'cookie' extension in the new ClientHello.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MAY include a 'cookie' extension in the HelloRetryRequest to the client.""
    }
  },
  {
    ""section"": ""4.2.2.. Handshake Protocol_Extensions_Cookie"",
    ""title"": ""HelloRetryRequest Cookie Extension"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST NOT use cookies in their initial ClientHello in subsequent connections.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 0, 
      ""processing_base"": ""No server-side processing rule regarding the prohibition of using cookies in initial ClientHello messages.""
    }
  }
]"""
28,4.2.2.. Handshake Protocol_Extensions_Cookie,Stateless Server Behavior,"When a server is operating statelessly, it may receive an unprotected record of type change_cipher_spec between the first and second ClientHello (see Section 5). Since the server is not storing any state, this will appear as if it were the first message received. Servers operating statelessly MUST ignore these records.","""[
  {
    ""section"": ""4.2.2.. Handshake Protocol_Extensions_Cookie"",
    ""title"": ""Stateless Server Behavior"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers operating statelessly MUST ignore unprotected records of type change_cipher_spec received between the first and second ClientHello.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""When a server receives an unprotected change_cipher_spec record while operating statelessly, it must treat it as if it were the first message received and ignore it.""
    }
  }
]"""
29,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Client Requirements for Signature Algorithms,"Clients that desire server authentication via a certificate MUST send the ""signature_algorithms"" extension. If the server is authenticating via a certificate and the client has not sent this extension, the server MUST abort the handshake with a ""missing_extension"" alert.","""[
  {
    ""section"": ""4.2.3.. Handshake Protocol_Extensions_Signature Algorithms"",
    ""title"": ""Client Requirements for Signature Algorithms"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST send the \""signature_algorithms\"" extension if they desire server authentication via a certificate.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST abort the handshake with a \""missing_extension\"" alert if the client has not sent the \""signature_algorithms\"" extension while authenticating via a certificate.""
    }
  }
]"""
30,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,RSASSA-PSS Algorithms,Indicates a signature algorithm using RSASSA-PSS with mask generation function 1. The digest used in the mask generation function and the digest being signed are both the corresponding hash algorithm as defined in [SHS]. The length of the Salt MUST equal the output length of the digest algorithm.,"""[
  {
    ""section"": ""4.2.3.. Handshake Protocol_Extensions_Signature Algorithms"",
    ""title"": ""RSASSA-PSS Algorithms"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST specify a signature algorithm using RSASSA-PSS with mask generation function 1, ensuring that the Salt length equals the output length of the digest algorithm.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST validate that the Salt length matches the output length of the specified digest algorithm.""
    }
  }
]"""
31,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Legacy Algorithms,"Indicates algorithms being deprecated due to known weaknesses, specifically SHA-1 used with RSA or ECDSA. These values refer solely to signatures in certificates and should not be negotiated unless for backward compatibility. TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless no valid certificate chain can be produced without it.","""[
  {
    ""section"": ""4.2.3.. Handshake Protocol_Extensions_Signature Algorithms"",
    ""title"": ""Legacy Algorithms"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless no valid certificate chain can be produced without it.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients should be aware that SHA-1 signed certificates are deprecated and should not be negotiated unless for backward compatibility.""
    }
  }
]"""
32,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,TLS 1.2 Compatibility,"TLS 1.3 implementations willing to negotiate TLS 1.2 MUST comply with the requirements of [RFC5246]. In TLS 1.2, ClientHellos may omit the signature algorithms extension, which contained hash/signature pairs encoded in two octets. Legacy pairs are deprecated and MUST NOT be offered or negotiated.","""[
  {
    ""section"": ""4.2.3.. Handshake Protocol_Extensions_Signature Algorithms"",
    ""title"": ""TLS 1.2 Compatibility"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients negotiating TLS 1.2 MUST comply with the requirements of RFC5246. Clients MAY omit the signature algorithms extension in ClientHellos.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST ensure that legacy signature algorithm pairs, which are deprecated, MUST NOT be offered or negotiated.""
    }
  }
]"""
33,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Filters Extension Overview,"The ""oid_filters"" extension allows servers to provide a set of OID/value pairs which it would like the client's certificate to match. This extension, if provided by the server, MUST only be sent in the CertificateRequest message.","""[
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""OID Filters Extension Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST include the \""oid_filters\"" extension only in the CertificateRequest message.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MUST ensure that the \""oid_filters\"" extension is processed only if it appears in the CertificateRequest message.""
    }
  }
]"""
34,4.2.5.. Handshake Protocol_Extensions_OID Filters,Filters List Description,"filters: A list of certificate extension OIDs [RFC5280] with their allowed value(s) and represented in DER-encoded [X690] format. Some certificate extension OIDs allow multiple values (e.g., Extended Key Usage). If the server has included a non-empty filters list, the client certificate included in the response MUST contain all of the specified extension OIDs that the client recognizes.","""[
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""Filters List Description"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST include all specified certificate extension OIDs in the client certificate if the server provides a non-empty filters list.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST ensure that the client certificate contains all specified extension OIDs that the client recognizes from the filters list.""
    }
  }
]"""
35,4.2.5.. Handshake Protocol_Extensions_OID Filters,Client Certificate Requirements,"For each extension OID recognized by the client, all of the specified values MUST be present in the client certificate (but the certificate MAY have other values as well). However, the client MUST ignore and skip any unrecognized certificate extension OIDs. If the client ignored some of the required certificate extension OIDs and supplied a certificate that does not satisfy the request, the server MAY at its discretion either continue the connection without client authentication or abort the handshake with an ""unsupported_certificate"" alert.","""[
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""Client Certificate Requirements"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST ensure that all specified values for recognized extension OIDs are present in the client certificate, although the certificate MAY contain additional values.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Servers MAY choose to continue the connection without client authentication or abort the handshake with an 'unsupported_certificate' alert if the client ignores required certificate extension OIDs.""
    }
  },
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""Client Certificate Requirements"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST ignore and skip any unrecognized certificate extension OIDs.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Servers MUST handle the absence of required certificate extension OIDs appropriately, based on the client's compliance.""
    }
  }
]"""
36,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Uniqueness and Matching Rules,"Any given OID MUST NOT appear more than once in the filters list. PKIX RFCs define a variety of certificate extension OIDs and their corresponding value types. Depending on the type, matching certificate extension values are not necessarily bitwise-equal. This document defines matching rules for two standard certificate extensions defined in [RFC5280]:

- The Key Usage extension in a certificate matches the request when all key usage bits asserted in the request are also asserted in the Key Usage certificate extension.

- The Extended Key Usage extension in a certificate matches the request when all key purpose OIDs present in the request are also found in the Extended Key Usage certificate extension. The special anyExtendedKeyUsage OID MUST NOT be used in the request.","""[
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""OID Uniqueness and Matching Rules"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST NOT include the same OID more than once in the filters list.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST ensure that no OID appears more than once in the filters list.""
    }
  },
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""OID Uniqueness and Matching Rules"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST assert all key usage bits in the request that are also in the Key Usage certificate extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST verify that all key usage bits asserted in the request are present in the Key Usage certificate extension.""
    }
  },
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""OID Uniqueness and Matching Rules"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST assert all key purpose OIDs present in the request that are found in the Extended Key Usage certificate extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST check that all key purpose OIDs in the request are present in the Extended Key Usage certificate extension.""
    }
  },
  {
    ""section"": ""4.2.5.. Handshake Protocol_Extensions_OID Filters"",
    ""title"": ""OID Uniqueness and Matching Rules"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST NOT use the anyExtendedKeyUsage OID in the request.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST reject requests using the anyExtendedKeyUsage OID.""
    }
  }
]"""
37,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Server Behavior with Supported Groups,"As of TLS 1.3, servers are permitted to send the ""supported_groups"" extension to the client. Clients MUST NOT act upon any information found in ""supported_groups"" prior to successful completion of the handshake but MAY use the information learned from a successfully completed handshake to change what groups they use in their ""key_share"" extension in subsequent connections. If the server has a group it prefers to the ones in the ""key_share"" extension but is still willing to accept the ClientHello, it SHOULD send ""supported_groups"" to update the client's view of its preferences; this extension SHOULD contain all groups the server supports, regardless of whether they are currently supported by the client.","""[
  {
    ""section"": ""4.2.7.. Handshake Protocol_Extensions_Supported Groups"",
    ""title"": ""Server Behavior with Supported Groups"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST send the \""supported_groups\"" extension to the client, containing all groups supported by the server.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MUST NOT act upon the information in \""supported_groups\"" until the handshake is successfully completed.""
    }
  },
  {
    ""section"": ""4.2.7.. Handshake Protocol_Extensions_Supported Groups"",
    ""title"": ""Server Behavior with Supported Groups"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""If the server prefers a group not present in the \""key_share\"" extension but is willing to accept the ClientHello, it SHOULD send the \""supported_groups\"" extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MAY use the information from a successfully completed handshake to adjust the groups used in the \""key_share\"" extension for future connections.""
    }
  }
]"""
38,4.2.8.. Handshake Protocol_Extensions_Key Share,Client Shares Description,"client_shares: A list of offered KeyShareEntry values in descending order of client preference. This vector MAY be empty if the client is requesting a HelloRetryRequest. Each KeyShareEntry value MUST correspond to a group offered in the ""supported_groups"" extension and MUST appear in the same order.","""[
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Client Shares Description"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST offer KeyShareEntry values corresponding to groups in the 'supported_groups' extension, listed in descending order of preference. The client_shares vector MAY be empty if requesting a HelloRetryRequest.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Servers MUST validate that each KeyShareEntry corresponds to a group in the 'supported_groups' extension and appears in the correct order.""
    }
  }
]"""
39,4.2.8.. Handshake Protocol_Extensions_Key Share,KeyShare Entry Rules,"Clients can offer as many KeyShareEntry values as the number of supported groups it is offering, each representing a single set of key exchange parameters. Clients MUST NOT offer multiple KeyShareEntry values for the same group and MUST NOT offer any for groups not listed in the client's ""supported_groups"" extension. Servers MAY check for violations of these rules and abort the handshake with an ""illegal_parameter"" alert if one is violated.","""[
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""KeyShare Entry Rules"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST offer KeyShareEntry values only for groups listed in the 'supported_groups' extension and MUST NOT offer multiple KeyShareEntry values for the same group.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MAY check for violations of KeyShareEntry rules and abort the handshake with an 'illegal_parameter' alert if any rule is violated.""
    }
  }
]"""
40,4.2.8.. Handshake Protocol_Extensions_Key Share,Selected Group Verification,"Upon receipt of this extension in a HelloRetryRequest, the client MUST verify that (1) the selected_group field corresponds to a group provided in the ""supported_groups"" extension in the original ClientHello and (2) the selected_group field does not correspond to a group provided in the ""key_share"" extension in the original ClientHello. If either check fails, the client MUST abort the handshake with an ""illegal_parameter"" alert.","""[
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Selected Group Verification"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST verify that the selected_group field in HelloRetryRequest corresponds to a group in the 'supported_groups' extension of the original ClientHello and does not correspond to a group in the 'key_share' extension of the original ClientHello.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST ensure that clients abort the handshake with an 'illegal_parameter' alert if the selected_group verification fails.""
    }
  }
]"""
41,4.2.8.. Handshake Protocol_Extensions_Key Share,Server Share Requirements,"If using (EC)DHE key establishment, servers offer exactly one KeyShareEntry in the ServerHello. This value MUST be in the same group as the KeyShareEntry value offered by the client that the server has selected for the negotiated key exchange. Servers MUST NOT send a KeyShareEntry for any group not indicated in the client's ""supported_groups"" extension and MUST NOT send a KeyShareEntry when using the ""psk_ke"" PskKeyExchangeMode.","""[
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Server Share Requirements"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST offer exactly one KeyShareEntry in the ServerHello, which MUST be in the same group as the KeyShareEntry offered by the client.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MUST validate that the KeyShareEntry in ServerHello matches the group of their offered KeyShareEntry.""
    }
  },
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Server Share Requirements"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST NOT send a KeyShareEntry for any group not indicated in the client's 'supported_groups' extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MUST reject ServerHello messages that include a KeyShareEntry for unsupported groups.""
    }
  },
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Server Share Requirements"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST NOT send a KeyShareEntry when using the 'psk_ke' PskKeyExchangeMode.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MUST ensure that no KeyShareEntry is present when 'psk_ke' is used.""
    }
  }
]"""
42,4.2.8.. Handshake Protocol_Extensions_Key Share,Verification of Selected NamedGroup,"If using (EC)DHE key establishment and a HelloRetryRequest containing a ""key_share"" extension was received by the client, the client MUST verify that the selected NamedGroup in the ServerHello is the same as that in the HelloRetryRequest. If this check fails, the client MUST abort the handshake with an ""illegal_parameter"" alert.","""[
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Verification of Selected NamedGroup"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST verify that the selected NamedGroup in the ServerHello matches the NamedGroup in the HelloRetryRequest when using (EC)DHE key establishment.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST ensure that the NamedGroup selection is consistent between the HelloRetryRequest and ServerHello.""
    }
  },
  {
    ""section"": ""4.2.8.. Handshake Protocol_Extensions_Key Share"",
    ""title"": ""Verification of Selected NamedGroup"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""If the NamedGroup verification fails, the client MUST abort the handshake and send an 'illegal_parameter' alert.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 0, 
      ""processing_base"": ""Servers should be prepared to handle ClientHello messages that may lead to an 'illegal_parameter' alert due to NamedGroup mismatch.""
    }
  }
]"""
43,4.2.8.1.. Handshake Protocol_Extensions_Key Share_Diffie-Hellman Parameters,Public Key Validation,Peers MUST validate each other's public key Y by ensuring that 1 < Y < p-1. This check ensures that the remote peer is properly behaved and isn't forcing the local system into a small subgroup.,"""[
  {
    ""section"": ""4.2.8.1.. Handshake Protocol_Extensions_Key Share_Diffie-Hellman Parameters"",
    ""title"": ""Public Key Validation"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST validate that their own public key Y satisfies the condition 1 < Y < p-1.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Servers MUST also validate that the public key Y of the remote peer satisfies the condition 1 < Y < p-1.""
    }
  }
]"""
44,4.2.8.2.. Handshake Protocol_Extensions_Key Share_ECDHE Parameters,Public Value Validation,"For the curves secp256r1, secp384r1, and secp521r1, peers MUST validate each other's public value Q by ensuring that the point is a valid point on the elliptic curve. The validation process consists of three steps:
1. Verify that Q is not the point at infinity (O).
2. Verify that both integers x and y are in the correct interval for Q = (x, y).
3. Ensure that (x, y) is a correct solution to the elliptic curve equation.
Implementors do not need to verify membership in the correct subgroup.","""[
  {
    ""section"": ""4.2.8.2.. Handshake Protocol_Extensions_Key Share_ECDHE Parameters"",
    ""title"": ""Public Value Validation"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Peers MUST validate each other's public value Q by ensuring Q is a valid point on the elliptic curve, specifically checking that Q is not the point at infinity, that both integers x and y are within the correct interval, and that (x, y) satisfies the elliptic curve equation.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Servers MUST verify the public value Q following the specified steps: ensuring Q is not the point at infinity, confirming x and y are in the correct interval, and checking that (x, y) satisfies the elliptic curve equation.""
    }
  }
]"""
45,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,PSK Key Exchange Modes Extension Overview,"In order to use PSKs, clients MUST also send a ""psk_key_exchange_modes"" extension. The semantics of this extension are that the client only supports the use of PSKs with these modes, which restricts both the use of PSKs offered in this ClientHello and those which the server might supply via NewSessionTicket.","""[
  {
    ""section"": ""4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes"",
    ""title"": ""PSK Key Exchange Modes Extension Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST send a 'psk_key_exchange_modes' extension to indicate the supported modes for PSK usage.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Servers MUST interpret the 'psk_key_exchange_modes' extension to restrict PSK options based on the client's capabilities.""
    }
  }
]"""
46,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Client Requirements for PSK Extensions,"A client MUST provide a ""psk_key_exchange_modes"" extension if it offers a ""pre_shared_key"" extension. If clients offer ""pre_shared_key"" without a ""psk_key_exchange_modes"" extension, servers MUST abort the handshake. Servers MUST NOT select a key exchange mode that is not listed by the client. This extension also restricts the modes for use with PSK resumption. Servers SHOULD NOT send NewSessionTicket with tickets that are not compatible with the advertised modes; however, if a server does so, the impact will just be that the client's attempts at resumption fail.","""[
  {
    ""section"": ""4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes"",
    ""title"": ""Client Requirements for PSK Extensions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST provide a 'psk_key_exchange_modes' extension if they offer a 'pre_shared_key' extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST abort the handshake if clients offer 'pre_shared_key' without a 'psk_key_exchange_modes' extension.""
    }
  },
  {
    ""section"": ""4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes"",
    ""title"": ""Client Requirements for PSK Extensions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST ensure that the key exchange mode offered is compatible with the modes advertised.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST NOT select a key exchange mode that is not listed by the client.""
    }
  },
  {
    ""section"": ""4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes"",
    ""title"": ""Client Requirements for PSK Extensions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 0,
      ""construction_base"": ""Clients SHOULD be aware that if a server sends NewSessionTicket with incompatible tickets, the client's attempts at resumption may fail.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 0, 
      ""processing_base"": ""Servers SHOULD NOT send NewSessionTicket with tickets that are not compatible with the advertised modes.""
    }
  }
]"""
47,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Server Restrictions on PSK Extensions,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.","""[
  {
    ""section"": ""4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes"",
    ""title"": ""Server Restrictions on PSK Extensions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST NOT send a \""psk_key_exchange_modes\"" extension.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 0,
      ""processing_base"": ""Clients should be aware that servers do not send a \""psk_key_exchange_modes\"" extension.""
    }
  }
]"""
