index,Section,Title,Content
61,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Certificate Message Reception,"Upon receiving a Certificate message, the recipient must validate the certificate's authenticity and ensure it is trusted. The recipient checks the certificate chain against its trusted certificate authorities (CAs) and verifies that the certificate is not expired or revoked. If the validation fails, the recipient MUST abort the handshake with an 'bad_certificate' alert."
62,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Certificate Chain Validation,"The recipient must validate the entire certificate chain. This involves checking each certificate's signature against the public key of the issuer, ensuring that the chain leads back to a trusted root CA. The validation process must also include checking certificate policies and constraints."
63,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Certificate Revocation Checks,"The recipient should perform revocation checks to ensure that the received certificate has not been revoked. This can be done using methods such as Online Certificate Status Protocol (OCSP) or Certificate Revocation Lists (CRLs). If a certificate is found to be revoked, the handshake MUST be aborted with a 'certificate_revoked' alert."
64,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Handling Invalid Certificates,"If the certificate is deemed invalid for any reason—including issues with signatures, untrusted issuers, or failed revocation checks—the recipient MUST abort the handshake with an appropriate alert, such as 'bad_certificate' or 'unknown_ca'."
65,4.4.2.4.. Handshake Protocol_Authentication Messages_Certificate_Receiving a Certificate Message,Post-Validation Actions,"After successfully validating the certificate, the recipient establishes the identity of the peer and may proceed with the handshake. This could involve additional steps, such as sending a CertificateVerify message if client authentication is required."
66,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Signature Algorithm Field,The algorithm field specifies the signature algorithm used to create the signature. This must match one of the algorithms specified in the certificate.
67,4.4.3.. Handshake Protocol_Authentication Messages_Certificate Verify,Error Handling,"If the signature verification fails, the recipient MUST abort the handshake with an 'decrypt_error' alert. This ensures that only valid signatures from authenticated peers are accepted."
68,4.4.4.. Handshake Protocol_Authentication Messages_Finished,Sending and Receiving Finished Messages,"Upon successfully sending the Finished message, the sender awaits the response from the other party. If the other party does not receive a valid Finished message or the verify_data does not match, it must terminate the connection with an appropriate alert."
69,4.4.4.. Handshake Protocol_Authentication Messages_Finished,Error Handling,"If a Finished message is received that does not validate correctly, the receiving party MUST abort the handshake with an 'decrypt_error' alert. This mechanism helps to ensure that any tampering or failures in previous handshake messages are detected immediately."
70,4.5.. Handshake Protocol_End of Early Data,Protocol Behavior,"Upon receiving the End of Early Data message, the client must cease processing early data and transition to the established state. This ensures that any further communication adheres to the negotiated protocol parameters."
71,4.5.. Handshake Protocol_End of Early Data,Error Handling,"If a client receives an End of Early Data message when it is not in the correct state to process it, the client MUST abort the handshake with an 'unexpected_message' alert."
72,4.6.. Handshake Protocol_Post-Handshake Messages,Key Update Message,"The Key Update message allows either the client or the server to update the keys used for encryption and integrity protection. This is essential for maintaining the security of ongoing sessions, especially in long-lived connections. The Key Update message must be processed in accordance with the current state of the connection."
73,4.6.2.. Handshake Protocol_Post-Handshake Messages_Post-Handshake Authentication,Client Authentication,"In scenarios requiring client authentication, the server may request a certificate from the client after the handshake. The client must respond with its certificate and a corresponding signature to prove its identity."
74,4.6.2.. Handshake Protocol_Post-Handshake Messages_Post-Handshake Authentication,Server Authentication,"Similarly, the client may request the server to re-authenticate after the initial handshake, particularly if a change in session context occurs. The server must provide its certificate and a signature to confirm its identity."
75,4.6.2.. Handshake Protocol_Post-Handshake Messages_Post-Handshake Authentication,Error Handling,"If any errors occur during the post-handshake authentication process, such as an invalid certificate or signature, the session must be aborted with an appropriate alert message."
76,4.6.3.. Handshake Protocol_Post-Handshake Messages_Key and Initialization Vector Update,Initialization Vector (IV) Specifications,The initialization vector used for the encryption must be updated alongside the keys. The new IV should be generated using a secure random number generator and must adhere to the specifications outlined in the selected cipher suite.
77,4.6.3.. Handshake Protocol_Post-Handshake Messages_Key and Initialization Vector Update,Error Handling for Key Updates,"If a key update is received that is unexpected or not valid according to the current state of the session, the recipient MUST abort the connection with an appropriate alert. This includes scenarios where the update does not conform to negotiated parameters."
