index,section,title,construction_rule_type,construction_explicitness,construction_base,processing_rule_type,processing_explicitness,processing_base
11,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST update the ""pre_shared_key"" extension by recomputing the ""obfuscated_ticket_age"" and binder values, and may remove incompatible PSKs as indicated by the server's cipher suite.""",SRV-MSG-PROC,1,"""Servers MUST validate the updated ""pre_shared_key"" extension for correctness according to the cipher suite."""
12,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,0,"""Clients MAY optionally add, remove, or change the length of the ""padding"" extension.""",SRV-MSG-PROC,0,"""Servers MAY handle modifications to the ""padding"" extension as specified by the client."""
13,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Connection Termination Rules,SRV-MSG-CONST,1,"""Servers MUST terminate the connection with an 'unexpected_message' alert if they receive a ClientHello after negotiating TLS 1.3.""",SRV-MSG-PROC,1,"""Servers MUST retain the previous protocol version if a TLS 1.3 ClientHello is received during a renegotiation of a prior TLS version, and MUST NOT negotiate TLS 1.3."""
14,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'legacy_version' field MUST be set to 0x0303 for compatibility with middleboxes; the actual version is indicated using the 'supported_versions' extension.""",SRV-MSG-PROC,1,"""Servers MUST accept 'legacy_version' set to 0x0303 and refer to the 'supported_versions' extension for the actual version."""
15,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'random' field MUST contain 32 bytes generated by a secure random number generator.""",SRV-MSG-PROC,1,"""Servers MUST validate that the 'random' field contains 32 bytes."""
16,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'legacy_session_id' field MUST be either a cached session ID from a pre-TLS 1.3 server or a new unpredictable value if none exists.""",SRV-MSG-PROC,1,"""Servers MUST handle 'legacy_session_id' by accepting either a cached session ID or a new unpredictable value."""
17,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'cipher_suites' field MUST contain a list of symmetric cipher options supported by the client.""",SRV-MSG-PROC,1,"""Servers MUST validate the 'cipher_suites' field to ensure it contains supported symmetric cipher options."""
18,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'legacy_compression_methods' field MUST contain exactly one byte, set to zero.""",SRV-MSG-PROC,1,"""Servers MUST check that the 'legacy_compression_methods' field contains exactly one byte, set to zero."""
19,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'extensions' field is used by clients to request extended functionality from servers.""",SRV-MSG-PROC,1,"""Servers MUST process the 'extensions' field to fulfill the extended functionality requests from clients."""
20,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extension Handling,CLI-MSG-CONST,1,"""Clients MUST include extensions in ClientHello messages, with at least the 'supported_versions' extension.""",SRV-MSG-PROC,1,"""Servers MUST ignore any unrecognized extensions in ClientHello messages."""
21,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extension Handling,CLI-MSG-CONST,1,"""Clients MUST include mandatory extensions as specified in the TLS 1.3 protocol.""",SRV-MSG-PROC,1,"""Servers MUST process ClientHello messages while adhering to the mandatory extension requirements."""
22,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,SRV-MSG-CONST,1,"""The legacy_version field MUST be set to 0x0303 for compatibility with middleboxes.""",CLI-MSG-PROC,1,"""Clients MUST recognize that the actual version is indicated using the supported_versions extension."""
23,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,SRV-MSG-CONST,1,"""The random field MUST consist of 32 bytes generated by a secure random number generator, with the last 8 bytes overwritten if negotiating TLS 1.2 or TLS 1.1.""",CLI-MSG-PROC,1,"""Clients MUST ensure random bytes are provided according to the specified rules."""
24,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,SRV-MSG-CONST,1,"""The legacy_session_id_echo field MUST echo the client's legacy_session_id. If it does not match, the handshake MUST abort with an illegal_parameter alert.""",CLI-MSG-PROC,1,"""Clients MUST abort the handshake if the legacy_session_id_echo does not match the sent value."""
25,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,SRV-MSG-CONST,1,"""The cipher_suite field MUST contain a selected cipher suite from the ClientHello. If not offered, the handshake MUST abort with an illegal_parameter alert.""",CLI-MSG-PROC,1,"""Clients MUST recognize and abort if the selected cipher suite is not offered."""
26,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,SRV-MSG-CONST,1,"""The legacy_compression_method field MUST be set to 0.""",CLI-MSG-PROC,1,"""Clients MUST ensure the legacy_compression_method is set to 0."""
27,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,SRV-MSG-CONST,1,"""The extensions field MUST include only those necessary for establishing the cryptographic context and MUST contain the supported_versions extension.""",CLI-MSG-PROC,1,"""Clients MUST ensure that only necessary extensions are included in the message."""
28,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Downgrade Protection Mechanism,CLI-MSG-CONST,1,"""Clients MUST check the last 8 bytes of the server's Random value during the handshake. If they are set to '44 4F 57 4E 47 52 44 01' (indicating a negotiation of TLS 1.2) or '44 4F 57 4E 47 52 44 00' (indicating TLS 1.1 or below), they MUST abort the handshake.""",SRV-MSG-PROC,1,"""Servers MUST set the last 8 bytes of the Random value to '44 4F 57 4E 47 52 44 01' when negotiating TLS 1.2 and to '44 4F 57 4E 47 52 44 00' when negotiating TLS 1.1 or below."""
29,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Renegotiation Handling,CLI-MSG-CONST,1,"""A legacy TLS client performing renegotiation with TLS 1.2 or prior MUST abort the handshake upon receiving a TLS 1.3 ServerHello, issuing a 'protocol_version' alert.""",SRV-MSG-PROC,1,"""The server MUST not allow renegotiation when TLS 1.3 has been negotiated."""
30,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extensions Requirements,SRV-MSG-CONST,1,"""The server's extensions MUST contain 'supported_versions' and SHOULD include the minimal set of extensions necessary for the client to generate a correct ClientHello.""",CLI-MSG-PROC,0,"""Clients should be prepared to handle a HelloRetryRequest without extensions not offered in the initial ClientHello, except for the optional 'cookie' extension."""
31,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extensions Requirements,SRV-MSG-CONST,1,"""A HelloRetryRequest MUST NOT contain any extensions that were not first offered by the client in its ClientHello, except optionally the 'cookie' extension.""",CLI-MSG-PROC,1,"""Clients MUST reject any HelloRetryRequest that contains extensions not offered in its initial ClientHello, except for the 'cookie' extension."""
32,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Client Processing of HelloRetryRequest,CLI-MSG-CONST,1,"""Clients MUST check the legacy_version, legacy_session_id_echo, cipher_suite, and legacy_compression_method upon receipt of a HelloRetryRequest.""",CLI-MSG-PROC,1,"""Clients MUST process the extensions and determine the version using 'supported_versions'."""
33,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Client Processing of HelloRetryRequest,CLI-MSG-CONST,1,"""Clients MUST abort the handshake with an 'illegal_parameter' alert if the HelloRetryRequest would not result in any change in the ClientHello.""",CLI-MSG-PROC,1,"""Clients MUST abort the handshake with an 'unexpected_message' alert if a second HelloRetryRequest is received in the same connection."""
34,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extension Processing and Updated ClientHello,CLI-MSG-CONST,1,"""Clients MUST process all extensions in the HelloRetryRequest and send a second updated ClientHello.""",SRV-MSG-PROC,1,"""Servers MUST ensure that the ClientHello includes only the extensions defined in the HelloRetryRequest."""
35,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extension Processing and Updated ClientHello,CLI-MSG-CONST,1,"""Clients MUST include the supported_versions, cookie, and key_share extensions as defined in the HelloRetryRequest.""",SRV-MSG-PROC,1,"""Servers MUST abort the handshake if a cipher suite not offered is received."""
36,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Cipher Suite Negotiation,SRV-MSG-CONST,1,"""Servers MUST negotiate the same cipher suite when receiving a conformant updated ClientHello.""",CLI-MSG-PROC,1,"""Clients MUST check that the cipher suite in the ServerHello matches that in the HelloRetryRequest, and abort the handshake with an 'illegal_parameter' alert if they do not match."""
37,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Version Retention in ServerHello,CLI-MSG-CONST,1,"""Clients MUST retain the value of selected_version in the HelloRetryRequest 'supported_versions' extension.""",SRV-MSG-PROC,1,"""Servers MUST ensure the value of selected_version in the HelloRetryRequest is the same in the ServerHello; otherwise, clients MUST abort the handshake with an 'illegal_parameter' alert."""
38,4.2.. Handshake Protocol_Extensions,Extension Handling Rules,CLI-MSG-CONST/SRV-MSG-CONST,1,"""Implementations MUST NOT send extension responses if the remote endpoint did not send the corresponding extension requests, except for the 'cookie' extension in HelloRetryRequest.""",SRV-MSG-PROC/CLI-MSG-PROC,1,"""Upon receiving an unsupported extension, an endpoint MUST abort the handshake with an 'unsupported_extension' alert."""
39,4.2.. Handshake Protocol_Extensions,Extension Message Compatibility,CLI-MSG-CONST,1,"""Clients MUST ensure that extensions are only included in messages where they are specified to appear.""",SRV-MSG-PROC,1,"""Servers MUST abort the handshake with an 'illegal_parameter' alert if an extension is received in an unexpected message."""
40,4.2.. Handshake Protocol_Extensions,Extension Order and Uniqueness,CLI-MSG-CONST,1,"""Clients MAY place extensions in any order in the ClientHello, except the ""pre_shared_key"" extension which MUST be last.""",SRV-MSG-PROC,1,"""Servers MUST ensure the ""pre_shared_key"" extension is the last extension in ClientHello."""
41,4.2.. Handshake Protocol_Extensions,Extension Order and Uniqueness,CLI-MSG-CONST,1,"""Clients MUST NOT include more than one extension of the same type in any extension block.""",SRV-MSG-PROC,1,"""Servers MUST reject ClientHello messages with duplicate extension types."""
42,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ClientHello Requirements,CLI-MSG-CONST,1,"""Clients MUST send the 'Supported Versions' extension in ClientHello, containing all TLS versions they are prepared to negotiate, including at least 0x0304.""",SRV-MSG-PROC,1,"""Servers MUST process the 'Supported Versions' extension and validate that it includes all versions of TLS that the client is prepared to negotiate."""
43,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ClientHello Requirements,CLI-MSG-CONST,1,"""If previous versions of TLS are allowed for negotiation, they MUST also be included in the 'Supported Versions' extension.""",SRV-MSG-PROC,1,"""Servers MUST ensure that any previous TLS versions permitted for negotiation are present in the 'Supported Versions' extension."""
44,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior Without the Extension,SRV-MSG-CONST,1,"""Servers MUST negotiate TLS 1.2 or prior if the Supported Versions extension is not present, regardless of ClientHello.legacy_version being 0x0304 or later.""",SRV-MSG-PROC,1,"""Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later if the Supported Versions extension is absent."""
45,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior With the Extension,CLI-MSG-CONST,1,"""Clients MUST include the ""supported_versions"" extension in ClientHello for server version negotiation.""",SRV-MSG-PROC,1,"""Servers MUST NOT use ClientHello.legacy_version for version negotiation if the ""supported_versions"" extension is present; they MUST use the versions specified in that extension."""
46,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior With the Extension,CLI-MSG-CONST,1,"""Clients MUST ensure that the ""supported_versions"" extension lists all TLS versions they support.""",SRV-MSG-PROC,1,"""Servers MUST select a TLS version from the ""supported_versions"" extension and MUST ignore any unknown versions present."""
47,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Negotiation of Versions Prior to TLS 1.2,CLI-MSG-CONST,1,"""Clients that support prior versions of TLS SHOULD include TLS 1.2 in their supported versions list.""",SRV-MSG-PROC,1,"""Servers MUST be prepared to receive ClientHellos with this extension, and handle cases where 0x0304 (TLS 1.3) is not included in the list of versions."""
48,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ServerHello Version Negotiation,SRV-MSG-CONST,1,"""Servers negotiating a version prior to TLS 1.3 MUST set ServerHello.version and MUST NOT send the ""supported_versions"" extension.""",SRV-MSG-PROC,1,"""Servers negotiating TLS 1.3 MUST include a ""supported_versions"" extension with the selected version value (0x0304) and set ServerHello.legacy_version to 0x0303 (TLS 1.2)."""
49,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Client Checks for the Supported Versions Extension,CLI-MSG-CONST,1,"""Clients MUST check for the 'supported_versions' extension prior to processing the rest of the ServerHello.""",SRV-MSG-PROC,1,"""If the 'supported_versions' extension is present, clients MUST ignore the ServerHello.legacy_version value."""
50,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Client Checks for the Supported Versions Extension,CLI-MSG-CONST,1,"""Clients MUST use only the 'supported_versions' extension to determine the selected version.""",SRV-MSG-PROC,1,"""If the 'supported_versions' extension contains a version not offered by the client or a version prior to TLS 1.3, clients MUST abort the handshake with an 'illegal_parameter' alert."""
51,4.2.2.. Handshake Protocol_Extensions_Cookie,HelloRetryRequest Cookie Extension,CLI-MSG-CONST,1,"""Clients MUST copy the contents of the 'cookie' extension received in the HelloRetryRequest into a 'cookie' extension in the new ClientHello.""",SRV-MSG-PROC,1,"""Servers MAY include a 'cookie' extension in the HelloRetryRequest to the client."""
52,4.2.2.. Handshake Protocol_Extensions_Cookie,HelloRetryRequest Cookie Extension,CLI-MSG-CONST,1,"""Clients MUST NOT use cookies in their initial ClientHello in subsequent connections.""",SRV-MSG-PROC,0,"""No server-side processing rule regarding the prohibition of using cookies in initial ClientHello messages."""
53,4.2.2.. Handshake Protocol_Extensions_Cookie,Stateless Server Behavior,SRV-MSG-CONST,1,"""Servers operating statelessly MUST ignore unprotected records of type change_cipher_spec received between the first and second ClientHello.""",SRV-MSG-PROC,1,"""When a server receives an unprotected change_cipher_spec record while operating statelessly, it must treat it as if it were the first message received and ignore it."""
54,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Client Requirements for Signature Algorithms,CLI-MSG-CONST,1,"""Clients MUST send the ""signature_algorithms"" extension if they desire server authentication via a certificate.""",SRV-MSG-PROC,1,"""Servers MUST abort the handshake with a ""missing_extension"" alert if the client has not sent the ""signature_algorithms"" extension while authenticating via a certificate."""
55,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,RSASSA-PSS Algorithms,CLI-MSG-CONST,1,"""Clients MUST specify a signature algorithm using RSASSA-PSS with mask generation function 1, ensuring that the Salt length equals the output length of the digest algorithm.""",SRV-MSG-PROC,1,"""Servers MUST validate that the Salt length matches the output length of the specified digest algorithm."""
56,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,Legacy Algorithms,SRV-MSG-CONST,1,"""TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless no valid certificate chain can be produced without it.""",CLI-MSG-PROC,1,"""Clients should be aware that SHA-1 signed certificates are deprecated and should not be negotiated unless for backward compatibility."""
57,4.2.3.. Handshake Protocol_Extensions_Signature Algorithms,TLS 1.2 Compatibility,CLI-MSG-CONST,1,"""Clients negotiating TLS 1.2 MUST comply with the requirements of RFC5246. Clients MAY omit the signature algorithms extension in ClientHellos.""",SRV-MSG-PROC,1,"""Servers MUST ensure that legacy signature algorithm pairs, which are deprecated, MUST NOT be offered or negotiated."""
58,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Filters Extension Overview,SRV-MSG-CONST,1,"""Servers MUST include the ""oid_filters"" extension only in the CertificateRequest message.""",CLI-MSG-PROC,1,"""Clients MUST ensure that the ""oid_filters"" extension is processed only if it appears in the CertificateRequest message."""
59,4.2.5.. Handshake Protocol_Extensions_OID Filters,Filters List Description,CLI-MSG-CONST,1,"""Clients MUST include all specified certificate extension OIDs in the client certificate if the server provides a non-empty filters list.""",SRV-MSG-PROC,1,"""Servers MUST ensure that the client certificate contains all specified extension OIDs that the client recognizes from the filters list."""
60,4.2.5.. Handshake Protocol_Extensions_OID Filters,Client Certificate Requirements,CLI-MSG-CONST,1,"""Clients MUST ensure that all specified values for recognized extension OIDs are present in the client certificate, although the certificate MAY contain additional values.""",SRV-MSG-PROC,1,"""Servers MAY choose to continue the connection without client authentication or abort the handshake with an 'unsupported_certificate' alert if the client ignores required certificate extension OIDs."""
61,4.2.5.. Handshake Protocol_Extensions_OID Filters,Client Certificate Requirements,CLI-MSG-CONST,1,"""Clients MUST ignore and skip any unrecognized certificate extension OIDs.""",SRV-MSG-PROC,1,"""Servers MUST handle the absence of required certificate extension OIDs appropriately, based on the client's compliance."""
62,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Uniqueness and Matching Rules,CLI-MSG-CONST,1,"""Clients MUST NOT include the same OID more than once in the filters list.""",SRV-MSG-PROC,1,"""Servers MUST ensure that no OID appears more than once in the filters list."""
63,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Uniqueness and Matching Rules,CLI-MSG-CONST,1,"""Clients MUST assert all key usage bits in the request that are also in the Key Usage certificate extension.""",SRV-MSG-PROC,1,"""Servers MUST verify that all key usage bits asserted in the request are present in the Key Usage certificate extension."""
64,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Uniqueness and Matching Rules,CLI-MSG-CONST,1,"""Clients MUST assert all key purpose OIDs present in the request that are found in the Extended Key Usage certificate extension.""",SRV-MSG-PROC,1,"""Servers MUST check that all key purpose OIDs in the request are present in the Extended Key Usage certificate extension."""
65,4.2.5.. Handshake Protocol_Extensions_OID Filters,OID Uniqueness and Matching Rules,CLI-MSG-CONST,1,"""Clients MUST NOT use the anyExtendedKeyUsage OID in the request.""",SRV-MSG-PROC,1,"""Servers MUST reject requests using the anyExtendedKeyUsage OID."""
66,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Server Behavior with Supported Groups,SRV-MSG-CONST,1,"""Servers MUST send the ""supported_groups"" extension to the client, containing all groups supported by the server.""",CLI-MSG-PROC,1,"""Clients MUST NOT act upon the information in ""supported_groups"" until the handshake is successfully completed."""
67,4.2.7.. Handshake Protocol_Extensions_Supported Groups,Server Behavior with Supported Groups,SRV-MSG-CONST,1,"""If the server prefers a group not present in the ""key_share"" extension but is willing to accept the ClientHello, it SHOULD send the ""supported_groups"" extension.""",CLI-MSG-PROC,1,"""Clients MAY use the information from a successfully completed handshake to adjust the groups used in the ""key_share"" extension for future connections."""
68,4.2.8.. Handshake Protocol_Extensions_Key Share,Client Shares Description,CLI-MSG-CONST,1,"""Clients MUST offer KeyShareEntry values corresponding to groups in the 'supported_groups' extension, listed in descending order of preference. The client_shares vector MAY be empty if requesting a HelloRetryRequest.""",SRV-MSG-PROC,1,"""Servers MUST validate that each KeyShareEntry corresponds to a group in the 'supported_groups' extension and appears in the correct order."""
69,4.2.8.. Handshake Protocol_Extensions_Key Share,KeyShare Entry Rules,CLI-MSG-CONST,1,"""Clients MUST offer KeyShareEntry values only for groups listed in the 'supported_groups' extension and MUST NOT offer multiple KeyShareEntry values for the same group.""",SRV-MSG-PROC,1,"""Servers MAY check for violations of KeyShareEntry rules and abort the handshake with an 'illegal_parameter' alert if any rule is violated."""
70,4.2.8.. Handshake Protocol_Extensions_Key Share,Selected Group Verification,CLI-MSG-CONST,1,"""Clients MUST verify that the selected_group field in HelloRetryRequest corresponds to a group in the 'supported_groups' extension of the original ClientHello and does not correspond to a group in the 'key_share' extension of the original ClientHello.""",SRV-MSG-PROC,1,"""Servers MUST ensure that clients abort the handshake with an 'illegal_parameter' alert if the selected_group verification fails."""
71,4.2.8.. Handshake Protocol_Extensions_Key Share,Server Share Requirements,SRV-MSG-CONST,1,"""Servers MUST offer exactly one KeyShareEntry in the ServerHello, which MUST be in the same group as the KeyShareEntry offered by the client.""",CLI-MSG-PROC,1,"""Clients MUST validate that the KeyShareEntry in ServerHello matches the group of their offered KeyShareEntry."""
72,4.2.8.. Handshake Protocol_Extensions_Key Share,Server Share Requirements,SRV-MSG-CONST,1,"""Servers MUST NOT send a KeyShareEntry for any group not indicated in the client's 'supported_groups' extension.""",CLI-MSG-PROC,1,"""Clients MUST reject ServerHello messages that include a KeyShareEntry for unsupported groups."""
73,4.2.8.. Handshake Protocol_Extensions_Key Share,Server Share Requirements,SRV-MSG-CONST,1,"""Servers MUST NOT send a KeyShareEntry when using the 'psk_ke' PskKeyExchangeMode.""",CLI-MSG-PROC,1,"""Clients MUST ensure that no KeyShareEntry is present when 'psk_ke' is used."""
74,4.2.8.. Handshake Protocol_Extensions_Key Share,Verification of Selected NamedGroup,CLI-MSG-CONST,1,"""Clients MUST verify that the selected NamedGroup in the ServerHello matches the NamedGroup in the HelloRetryRequest when using (EC)DHE key establishment.""",SRV-MSG-PROC,1,"""Servers MUST ensure that the NamedGroup selection is consistent between the HelloRetryRequest and ServerHello."""
75,4.2.8.. Handshake Protocol_Extensions_Key Share,Verification of Selected NamedGroup,CLI-MSG-CONST,1,"""If the NamedGroup verification fails, the client MUST abort the handshake and send an 'illegal_parameter' alert.""",SRV-MSG-PROC,0,"""Servers should be prepared to handle ClientHello messages that may lead to an 'illegal_parameter' alert due to NamedGroup mismatch."""
76,4.2.8.1.. Handshake Protocol_Extensions_Key Share_Diffie-Hellman Parameters,Public Key Validation,CLI-MSG-CONST,1,"""Clients MUST validate that their own public key Y satisfies the condition 1 < Y < p-1.""",SRV-MSG-PROC,1,"""Servers MUST also validate that the public key Y of the remote peer satisfies the condition 1 < Y < p-1."""
77,4.2.8.2.. Handshake Protocol_Extensions_Key Share_ECDHE Parameters,Public Value Validation,CLI-MSG-CONST,1,"""Peers MUST validate each other's public value Q by ensuring Q is a valid point on the elliptic curve, specifically checking that Q is not the point at infinity, that both integers x and y are within the correct interval, and that (x, y) satisfies the elliptic curve equation.""",SRV-MSG-PROC,1,"""Servers MUST verify the public value Q following the specified steps: ensuring Q is not the point at infinity, confirming x and y are in the correct interval, and checking that (x, y) satisfies the elliptic curve equation."""
78,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,PSK Key Exchange Modes Extension Overview,CLI-MSG-CONST,1,"""Clients MUST send a 'psk_key_exchange_modes' extension to indicate the supported modes for PSK usage.""",SRV-MSG-PROC,1,"""Servers MUST interpret the 'psk_key_exchange_modes' extension to restrict PSK options based on the client's capabilities."""
79,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Client Requirements for PSK Extensions,CLI-MSG-CONST,1,"""Clients MUST provide a 'psk_key_exchange_modes' extension if they offer a 'pre_shared_key' extension.""",SRV-MSG-PROC,1,"""Servers MUST abort the handshake if clients offer 'pre_shared_key' without a 'psk_key_exchange_modes' extension."""
80,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Client Requirements for PSK Extensions,CLI-MSG-CONST,1,"""Clients MUST ensure that the key exchange mode offered is compatible with the modes advertised.""",SRV-MSG-PROC,1,"""Servers MUST NOT select a key exchange mode that is not listed by the client."""
81,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Client Requirements for PSK Extensions,CLI-MSG-CONST,0,"""Clients SHOULD be aware that if a server sends NewSessionTicket with incompatible tickets, the client's attempts at resumption may fail.""",SRV-MSG-PROC,0,"""Servers SHOULD NOT send NewSessionTicket with tickets that are not compatible with the advertised modes."""
82,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Server Restrictions on PSK Extensions,SRV-MSG-CONST,1,"""Servers MUST NOT send a ""psk_key_exchange_modes"" extension.""",CLI-MSG-PROC,0,"""Clients should be aware that servers do not send a ""psk_key_exchange_modes"" extension."""
83,4.2.9.. Handshake Protocol_Extensions_Pre-Shared Key Exchange Modes,Key Exchange Mode Descriptions,SRV-MSG-CONST,1,"""In the psk_ke mode, the server MUST NOT supply a 'key_share' value.""",CLI-MSG-PROC,1,"""Clients MUST not expect a 'key_share' value from the server in psk_ke mode."""
