ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule,Violation
40,Extension Message Restrictions,"If an implementation receives an extension not specified for the message, it must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if an extension not specified for the message is received.) + <SMP> <0> (Servers MUST not accept extensions not specified for the message and must trigger an abort with an ""illegal_parameter"" alert.)","<CMC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if an extension not specified for the message is received.) + <SMP> <0> (Servers MUST not accept extensions not specified for the message and must trigger an abort with an ""illegal_parameter"" alert.)","```markdown
{CMC} (Send a ClientHello message that includes an unsupported extension, violating the requirement to abort the handshake with an ""illegal_parameter"" alert.)

{CMC} (Omit the mandatory ""cipher_suites"" field in the ClientHello message, which should trigger an ""illegal_parameter"" alert.)

{CMC} (Include an invalid ""version"" field in the ClientHello message that exceeds the maximum allowed TLS version, which should cause an ""illegal_parameter"" alert.)
```"
42,Order of Extensions,"When multiple extensions are present, they may appear in any order, except for ""pre_shared_key,"" which must be last in ClientHello. No more than one extension of the same type may exist in a block.",1,"<CMC> <1> (Clients MAY include multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.) + <SMP> <1> (Servers MUST process multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.)
<CMC> <1> (Clients MUST not include more than one extension of the same type in a block.) + <SMP> <1> (Servers MUST reject multiple extensions of the same type in a block.)","<CMC> <1> (Clients MAY include multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.) + <SMP> <1> (Servers MUST process multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.)","```markdown
{CMC} (Include the ""pre_shared_key"" extension before other extensions in the ClientHello message.)

{CMC} (Send a ClientHello with duplicate ""pre_shared_key"" extensions, violating uniqueness constraints.)

{CMC} (Omit the ""pre_shared_key"" extension entirely from the ClientHello message, even when it is expected.)
```"
,,,,,<CMC> <1> (Clients MUST not include more than one extension of the same type in a block.) + <SMP> <1> (Servers MUST reject multiple extensions of the same type in a block.),"```markdown
{CMC} (Include multiple extensions of the same type in the ClientHello message, violating the rule against duplicates in a block.)

{CMC} (Omit the ""extensions"" field entirely from the ClientHello message, which is required for valid construction.)

{CMC} (Send a malformed ""ClientHello"" message with an invalid extension type that is not defined in RFC 8446.)
```"
46,Integrity of Handshake Phase,"Designers must ensure that extensions do not compromise security, especially since active attackers can modify messages until the handshake is authenticated.",1,<CMC> <1> (Designers MUST ensure that extensions do not compromise security during the handshake.) + <SMP> <0> (Servers MUST handle extensions in a way that maintains security integrity until the handshake is authenticated.),<CMC> <1> (Designers MUST ensure that extensions do not compromise security during the handshake.) + <SMP> <0> (Servers MUST handle extensions in a way that maintains security integrity until the handshake is authenticated.),"```markdown
{CMC} (Include an extension that is unrecognized by the server and does not conform to the expected format, potentially causing parsing errors.)

{CMC} (Send a ClientHello with critical extensions that have invalid values, contradicting their defined specifications.)

{CMC} (Omit mandatory extensions from the ClientHello that are required for a secure handshake, such as supported groups or signature algorithms.)
```"
48,ClientHello Requirements,"Implementations of this specification must send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304. Previous versions of TLS must also be included if allowed.",1,"<CMC> <1> (Clients MUST send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304.) + <SMP> <0> (Servers MUST accept the ""supported_versions"" extension in the ClientHello, containing all versions of TLS prepared for negotiation.)  
<CMC> <1> (Clients MUST include previous versions of TLS if allowed.) + <SMP> <0> (Servers MUST accept previous versions of TLS included in the ""supported_versions"" extension if allowed.)","<CMC> <1> (Clients MUST send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304.) + <SMP> <0> (Servers MUST accept the ""supported_versions"" extension in the ClientHello, containing all versions of TLS prepared for negotiation.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" extension.)

{CMC} (Send a ClientHello with an invalid ""supported_versions"" extension containing unsupported TLS versions.)

{CMC} (Send a ClientHello with the ""supported_versions"" extension containing only the version 0x0303, omitting 0x0304.)
```"
,,,,,"<CMC> <1> (Clients MUST include previous versions of TLS if allowed.) + <SMP> <0> (Servers MUST accept previous versions of TLS included in the ""supported_versions"" extension if allowed.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" extension, violating the requirement to include previous TLS versions if allowed.)

{CMC} (Include an invalid TLS version in the ""supported_versions"" extension that is not defined in the RFC 8446 specification.)

{CMC} (Send a ClientHello with the ""supported_versions"" extension containing duplicate versions, which violates the uniqueness requirement of the version list.)
```"
50,Version Negotiation with Extension,"If the extension is present in the ClientHello, servers must not use the ClientHello.legacy_version for version negotiation and must rely solely on the ""supported_versions"" extension. They must select only a version present in this extension and ignore any unknown versions.",1,"<CMC> <1> (Clients MUST include the ""supported_versions"" extension for version negotiation.) + <SMP> <1> (Servers MUST rely solely on the ""supported_versions"" extension and must not use ClientHello.legacy_version for version negotiation.)  
<SMC> <1> (Servers MUST select only a version present in the ""supported_versions"" extension.) + <CMP> <1> (Clients MUST ensure only known versions are included in the ""supported_versions"" extension.)","<CMC> <1> (Clients MUST include the ""supported_versions"" extension for version negotiation.) + <SMP> <1> (Servers MUST rely solely on the ""supported_versions"" extension and must not use ClientHello.legacy_version for version negotiation.)","```markdown
{CMC} (Send a ClientHello message without the ""supported_versions"" extension.)

{CMC} (Include an invalid ""supported_versions"" extension with unsupported TLS versions.)

{CMC} (Send a ""supported_versions"" extension that is malformed, such as including extra bytes or incorrect length values.)
```"
56,ClientHello Cookie Requirement,The client must include the cookie extension received in the HelloRetryRequest in the new ClientHello. Clients must not use cookies in their initial ClientHello for subsequent connections.,1,"<CMC> <1> (Clients MUST include the cookie extension received in the HelloRetryRequest in the new ClientHello.) + <SMP> <1> (Servers MUST accept the cookie extension included in the new ClientHello.)  
<CMC> <1> (Clients MUST NOT use cookies in their initial ClientHello for subsequent connections.) + <SMP> <0> (Servers MUST not expect cookies in the initial ClientHello for subsequent connections.)",<CMC> <1> (Clients MUST include the cookie extension received in the HelloRetryRequest in the new ClientHello.) + <SMP> <1> (Servers MUST accept the cookie extension included in the new ClientHello.),"```markdown
{CMC} (Send a ClientHello without the cookie extension received in the HelloRetryRequest)

{CMC} (Include an invalid cookie extension in the ClientHello that does not match the expected format)

{CMC} (Send a ClientHello with multiple cookie extensions, violating the one-cookie limitation)
```"
,,,,,<CMC> <1> (Clients MUST NOT use cookies in their initial ClientHello for subsequent connections.) + <SMP> <0> (Servers MUST not expect cookies in the initial ClientHello for subsequent connections.),"```markdown
{CMC} (Include a cookie in the initial ClientHello message for a new connection attempt, violating the requirement that clients MUST NOT use cookies in this context.)

{CMC} (Send a ClientHello message where the cookie field contains invalid or malformed data, breaching the expectations of well-formedness.)

{CMC} (Send a ClientHello message with the cookie length field set to a value greater than the actual length of the cookie, leading to a protocol mismatch.)
```"
60,Client Authentication Requirement,"Clients desiring server authentication via a certificate must send the ""signature_algorithms"" extension; otherwise, the server must abort the handshake with a ""missing_extension"" alert.",1,"<CMC> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate.) + <SMP> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present.)","<CMC> <1> (Clients MUST send the ""signature_algorithms"" extension for server authentication via a certificate.) + <SMP> <1> (Servers MUST abort the handshake with a ""missing_extension"" alert if the ""signature_algorithms"" extension is not present.)","```markdown
{CMC} (Send a ClientHello message without the ""signature_algorithms"" extension to trigger a missing extension alert from the server.)

{CMC} (Send a ClientHello message with an invalid ""signature_algorithms"" extension that contains unsupported signature algorithms.)

{CMC} (Send a ClientHello message that includes multiple ""signature_algorithms"" extensions, violating the rule that only one instance is permitted.)
```"
64,Deprecation of Legacy Algorithms,"Legacy algorithms using SHA-1 are being deprecated; clients must list these as lower priority, and TLS 1.3 servers must not offer SHA-1 signed certificates unless unavoidable.",1,<CMC> <1> (Clients MUST list SHA-1 algorithms as lower priority.) + <SMP> <1> (Servers MUST NOT offer SHA-1 signed certificates unless unavoidable.),<CMC> <1> (Clients MUST list SHA-1 algorithms as lower priority.) + <SMP> <1> (Servers MUST NOT offer SHA-1 signed certificates unless unavoidable.),"```markdown
{CMC} (Send a ClientHello that lists SHA-1 algorithms as the highest priority, violating the requirement to list them as lower priority.)
{CMC} (Include a ClientHello without any supported cipher suites, which violates the requirement to specify at least one.)
{CMC} (Send a ClientHello with a malformed extension that alters the expected length of the extensions field.)
```"
75,Client Certificate Validation,"For each recognized extension OID, all specified values must be present in the client certificate. The client may include additional values but must ignore unrecognized OIDs.",1,<CMC> <1> (Clients MUST include all specified values for recognized extension OIDs in the client certificate.) + <SMP> <0> (Servers MUST accept client certificates that include additional values but ignore unrecognized OIDs.),<CMC> <1> (Clients MUST include all specified values for recognized extension OIDs in the client certificate.) + <SMP> <0> (Servers MUST accept client certificates that include additional values but ignore unrecognized OIDs.),"```markdown
{CMC} (Include an unrecognized extension OID in the client certificate that exceeds the maximum allowed length specified in RFC 8446.)

{CMC} (Send a ClientHello without any specified values for recognized extension OIDs, even though the client certificate is present.)

{CMC} (Send a ClientHello that contains duplicate extension OIDs, which violates the uniqueness requirement for recognized extensions.)
```"
76,Server Actions on Mismatch,"If the client ignores required extension OIDs and provides a non-compliant certificate, the server may either continue without client authentication or abort the handshake with an ""unsupported_certificate"" alert.",1,"<CMC> <1> (Clients MUST NOT ignore required extension OIDs and MUST provide a compliant certificate.) + <SMP> <1> (Servers MAY continue without client authentication if required extensions are ignored.)  
<CMC> <1> (Clients MUST NOT provide a non-compliant certificate.) + <SMP> <1> (Servers MAY abort the handshake with an ""unsupported_certificate"" alert if a non-compliant certificate is provided.)",<CMC> <1> (Clients MUST NOT ignore required extension OIDs and MUST provide a compliant certificate.) + <SMP> <1> (Servers MAY continue without client authentication if required extensions are ignored.),"```markdown
{CMC} (Send a ClientHello message that omits the required ""supported_versions"" extension entirely.)

{CMC} (Include an invalid extension in the ClientHello, such as an unsupported or malformed extension type.)

{CMC} (Send a ClientHello message with a certificate that contains an invalid signature algorithm not supported by the server.)
```"
,,,,,"<CMC> <1> (Clients MUST NOT provide a non-compliant certificate.) + <SMP> <1> (Servers MAY abort the handshake with an ""unsupported_certificate"" alert if a non-compliant certificate is provided.)","```markdown
{CMC} (Send a ClientHello message with a certificate that uses an unsupported algorithm for key exchange, such as MD5.)

{CMC} (Include a certificate that has expired or is not yet valid in the ClientHello message.)

{CMC} (Send a ClientHello message without the required certificate when the server requests it.)
```"
77,Unique OID Requirement,Each OID must not appear more than once in the filters list.,1,<CMC> <1> (Clients MUST ensure that each OID appears only once in the filters list.) + <SMP> <0> (Servers MUST reject the filters list if an OID appears more than once.),<CMC> <1> (Clients MUST ensure that each OID appears only once in the filters list.) + <SMP> <0> (Servers MUST reject the filters list if an OID appears more than once.),"```markdown
{CMC} (Include multiple instances of the same OID in the filters list of the ClientHello.)

{CMC} (Omit the filters list entirely from the ClientHello message.)

{CMC} (Send a malformed filters list that contains non-OID values as entries in the ClientHello.)
```"
80,Exclusion of anyExtendedKeyUsage,The special anyExtendedKeyUsage OID must not be used in the request for Extended Key Usage.,1,<CMC> <1> (Clients MUST NOT use the special anyExtendedKeyUsage OID in the request for Extended Key Usage.) + <SMP> <0> (Servers MUST reject requests that include the anyExtendedKeyUsage OID in Extended Key Usage.),<CMC> <1> (Clients MUST NOT use the special anyExtendedKeyUsage OID in the request for Extended Key Usage.) + <SMP> <0> (Servers MUST reject requests that include the anyExtendedKeyUsage OID in Extended Key Usage.),"```markdown
{CMC} (Include the anyExtendedKeyUsage OID in the Extended Key Usage extension of the ClientHello message)

{CMC} (Send a ClientHello message with an invalid Extended Key Usage OID that is not defined in RFC 8446)

{CMC} (Omit the SupportedVersions field in the ClientHello while including anyExtendedKeyUsage in Extended Key Usage)
```"
98,Empty Client Shares for HelloRetryRequest,"The client_shares vector may be empty if the client is requesting a HelloRetryRequest, but each KeyShareEntry must correspond to a group in the ""supported_groups"" extension.",1,"<CMC> <1> (Clients MAY have an empty client_shares vector when requesting a HelloRetryRequest.) + <SMP> <1> (Servers MUST ensure that each KeyShareEntry corresponds to a group in the ""supported_groups"" extension.)","<CMC> <1> (Clients MAY have an empty client_shares vector when requesting a HelloRetryRequest.) + <SMP> <1> (Servers MUST ensure that each KeyShareEntry corresponds to a group in the ""supported_groups"" extension.)","```markdown
{CMC} (Send a ClientHello with a client_shares vector that contains an unsupported group not listed in the ""supported_groups"" extension.)

{CMC} (Send a ClientHello with a client_shares vector that is non-empty but contains invalid key shares that do not correspond to the listed groups.)

{CMC} (Send a ClientHello with a client_shares vector that is empty while simultaneously omitting the ""supported_groups"" extension.)
```"
99,Offering Multiple KeyShareEntries,"Clients can offer multiple KeyShareEntry values for supported groups, but each value must be generated independently, and clients must not offer duplicates or invalid groups.",1,"<CMC> <1> (Clients MAY offer multiple KeyShareEntry values for supported groups, but each value MUST be generated independently.) + <SMP> <0> (Servers MUST verify that KeyShareEntry values are not duplicates or invalid groups.)  
<CMC> <1> (Clients MUST NOT offer duplicates or invalid groups in KeyShareEntry values.) + <SMP> <0> (Servers MUST reject KeyShareEntry values that are duplicates or invalid groups.)","<CMC> <1> (Clients MAY offer multiple KeyShareEntry values for supported groups, but each value MUST be generated independently.) + <SMP> <0> (Servers MUST verify that KeyShareEntry values are not duplicates or invalid groups.)","```markdown
{CMC} (Send a ClientHello with multiple KeyShareEntry values that are identical, violating the requirement for independent generation.)

{CMC} (Include a KeyShareEntry with a group identifier that is not supported by the client, violating the specification.)

{CMC} (Omit required KeyShareEntry values entirely from the ClientHello, not providing necessary key shares for the supported groups.)
```"
,,,,,<CMC> <1> (Clients MUST NOT offer duplicates or invalid groups in KeyShareEntry values.) + <SMP> <0> (Servers MUST reject KeyShareEntry values that are duplicates or invalid groups.),"```markdown
{CMC} (Send a ClientHello that includes multiple KeyShareEntry values for the same group, violating the uniqueness requirement.)

{CMC} (Include a KeyShareEntry value that specifies an unsupported or invalid group identifier.)

{CMC} (Omit the KeyShareExtension completely from the ClientHello, despite its presence being mandatory when offering key shares.)
```"
100,HelloRetryRequest Handling,"In a HelloRetryRequest, the ""extension_data"" contains a KeyShareHelloRetryRequest value indicating the mutually supported group for negotiation. The client must verify that the selected group is valid before retrying.",1,<CMC> <1> (Clients MUST verify that the selected group in the KeyShareHelloRetryRequest is valid before retrying.) + <SMP> <0> (Servers MUST accept the KeyShareHelloRetryRequest containing a valid group for negotiation.),<CMC> <1> (Clients MUST verify that the selected group in the KeyShareHelloRetryRequest is valid before retrying.) + <SMP> <0> (Servers MUST accept the KeyShareHelloRetryRequest containing a valid group for negotiation.),"```markdown
{CMC} (Send a KeyShareHelloRetryRequest with an invalid group that was not included in the initial ClientHello.)

{CMC} (Omit the KeyShareHelloRetryRequest entirely after receiving a HelloRetryRequest from the server.)

{CMC} (Include multiple KeyShareHelloRetryRequests with conflicting groups within a single ClientHello message.)
```"
105,Public Key Validation,Peers must validate each other's public key Y by ensuring that 1 < Y < p-1. This check ensures that the remote peer is properly behaved and isn't forcing the local system into a small subgroup.,1,<CMC> <1> (Clients MUST validate the public key Y by ensuring that 1 < Y < p-1.) + <SMP> <0> (Servers MUST be properly behaved and not force the local system into a small subgroup.),<CMC> <1> (Clients MUST validate the public key Y by ensuring that 1 < Y < p-1.) + <SMP> <0> (Servers MUST be properly behaved and not force the local system into a small subgroup.),"```markdown
{CMC} (Send a ClientHello with a public key Y that does not satisfy the condition 1 < Y < p-1, such as Y = 0 or Y = p-1)

{CMC} (Send a ClientHello with a public key Y that is set to an arbitrary invalid value outside the valid range, e.g., Y = -5)

{CMC} (Send a ClientHello containing a public key Y that is a non-numeric value, violating the expected format for the key)
```"
112,PSK Key Exchange Modes Requirement,"In order to use PSKs, clients must send a ""psk_key_exchange_modes"" extension, indicating the supported modes. This restricts both the PSKs offered in the ClientHello and those the server might supply via NewSessionTicket.",1,"<CMC> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension indicating supported modes to use PSKs.) + <SMP> <1> (Servers MUST restrict PSKs offered in the ClientHello and those supplied via NewSessionTicket based on the modes indicated by the client.)","<CMC> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension indicating supported modes to use PSKs.) + <SMP> <1> (Servers MUST restrict PSKs offered in the ClientHello and those supplied via NewSessionTicket based on the modes indicated by the client.)","```markdown
{CMC} (Send a ClientHello without the ""psk_key_exchange_modes"" extension, completely omitting it despite supporting PSKs.)

{CMC} (Include an invalid ""psk_key_exchange_modes"" extension value that is not defined in the TLS 1.3 specification.)

{CMC} (Send a ClientHello with the ""psk_key_exchange_modes"" extension but with the length field incorrectly set, causing a mismatch with the actual data length.)
```"
113,Mandatory Extension for Pre-Shared Key,"A client must provide a ""psk_key_exchange_modes"" extension if it offers a ""pre_shared_key"" extension. If a client offers ""pre_shared_key"" without this extension, servers must abort the handshake.",1,"<CMC> <1> (Clients MUST provide a ""psk_key_exchange_modes"" extension if offering a ""pre_shared_key"" extension.) + <SMP> <1> (Servers MUST abort the handshake if a client offers ""pre_shared_key"" without the ""psk_key_exchange_modes"" extension.)","<CMC> <1> (Clients MUST provide a ""psk_key_exchange_modes"" extension if offering a ""pre_shared_key"" extension.) + <SMP> <1> (Servers MUST abort the handshake if a client offers ""pre_shared_key"" without the ""psk_key_exchange_modes"" extension.)","```markdown
{CMC} (Send a ClientHello with a ""pre_shared_key"" extension but without the required ""psk_key_exchange_modes"" extension.)

{CMC} (Include an invalid value in the ""psk_key_exchange_modes"" extension when offering a ""pre_shared_key"" extension.)

{CMC} (Send a ClientHello that omits the ""psk_key_exchange_modes"" extension while including multiple ""pre_shared_key"" extensions.)
```"
128,Client Behavior on Rejection,"If the server rejects the ""early_data"" extension, the client may retransmit Application Data after the handshake, but must consider the connection state.",1,"<CMC> <1> (Clients may retransmit Application Data after the handshake if the server rejects the ""early_data"" extension.) + <SMP> <0> (Servers must reject the ""early_data"" extension if not allowed, impacting the client's connection state considerations.)","<CMC> <1> (Clients may retransmit Application Data after the handshake if the server rejects the ""early_data"" extension.) + <SMP> <0> (Servers must reject the ""early_data"" extension if not allowed, impacting the client's connection state considerations.)","```markdown
{CMC} (Send a ClientHello that includes the ""early_data"" extension without a valid ""pre_shared_key"" indication to establish a session.)

{CMC} (Send a ClientHello message that omits the mandatory ""supported_versions"" field, violating the requirement for version negotiation.)

{CMC} (Send a ClientHello with an invalid ""cipher_suites"" list that contains unsupported or non-existent cipher suites.)
```"
146,Extensions Specification,"The extensions describe the parameters of the requested certificate, with the ""signature_algorithms"" extension being mandatory. Clients must ignore unrecognized extensions.",1,"<CMC> <1> (Clients MUST include the ""signature_algorithms"" extension as it is mandatory.) + <SMP> <0> (Servers MUST accept the ""signature_algorithms"" extension as it is mandatory.)
<CMC> <1> (Clients MUST ignore unrecognized extensions.) + <SMP> <0> (Servers MUST not process unrecognized extensions sent by clients.)","<CMC> <1> (Clients MUST include the ""signature_algorithms"" extension as it is mandatory.) + <SMP> <0> (Servers MUST accept the ""signature_algorithms"" extension as it is mandatory.)","```markdown
{CMC} (Send a ClientHello without the ""signature_algorithms"" extension, violating the mandatory requirement.)

{CMC} (Include an invalid ""signature_algorithms"" extension value that does not conform to the defined algorithms in RFC 8446.)

{CMC} (Send the ""signature_algorithms"" extension with an incorrect length field, causing a mismatch in expected data structure.)
```"
