ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule,Violation
11,HelloRetryRequest Requirement,"If the server selects an (EC)DHE group without a compatible ""key_share"" from the client, it must respond with a HelloRetryRequest message.",1,"<SMC> <1> (Servers MUST respond with a HelloRetryRequest if an (EC)DHE group is selected without a compatible ""key_share"" from the client.) + <CMP> <0> (Clients MUST handle a HelloRetryRequest from the server when a compatible ""key_share"" is not provided.)","<SMC> <1> (Servers MUST respond with a HelloRetryRequest if an (EC)DHE group is selected without a compatible ""key_share"" from the client.) + <CMP> <0> (Clients MUST handle a HelloRetryRequest from the server when a compatible ""key_share"" is not provided.)","```markdown
{CMC} (Send a ClientHello message with an unsupported (EC)DHE group and omit the key_share extension entirely.)

{CMC} (Send a ClientHello message with a malformed key_share extension that does not conform to the expected format.)

{CMC} (Send a ClientHello message that includes a key_share extension but uses an invalid key length for the selected (EC)DHE group.)
```"
12,ServerHello Parameter Indication,"Upon successful parameter selection, the server indicates the selected parameters in the ServerHello, sending a ""pre_shared_key"" extension if PSK is used, and a ""key_share"" extension when (EC)DHE is in use. Authentication via certificate involves sending Certificate and CertificateVerify messages.",0,Skip,Skip,Skip
13,Handshake Abortion Conditions,"If the server fails to negotiate a supported set of parameters, it must abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert.",1,"<SMC> <1> (Servers MUST abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert if they fail to negotiate a supported set of parameters.) + <CMP> <0> (Clients MUST be prepared to handle a ""handshake_failure"" or ""insufficient_security"" fatal alert during the handshake.)","<SMC> <1> (Servers MUST abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert if they fail to negotiate a supported set of parameters.) + <CMP> <0> (Clients MUST be prepared to handle a ""handshake_failure"" or ""insufficient_security"" fatal alert during the handshake.)","```markdown
{CMC} (Send a ClientHello message with an unsupported cipher suite that the server does not recognize.)

{CMC} (Omit the Server Name Indication (SNI) extension from the ClientHello when the server requires it for negotiation.)

{CMC} (Include an invalid or malformed signature algorithm in the ClientHello, causing the server to reject the parameters.)
```"
14,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
15,Server Hello Response,The server sends the ServerHello message in response to a ClientHello message to proceed with the handshake if it can negotiate acceptable handshake parameters.,0,Skip,Skip,Skip
16,Structure of ServerHello Message,"The ServerHello message structure includes fields for legacy_version, random, legacy_session_id_echo, cipher_suite, legacy_compression_method, and extensions.",0,Skip,Skip,Skip
17,Legacy Version Explanation,"The legacy_version field was previously used for version negotiation but is now set to 0x0303 for TLS 1.2. TLS 1.3 servers indicate their version using the ""supported_versions"" extension.",0,Skip,Skip,Skip
18,Random Value Generation,"The random field consists of 32 bytes generated by a secure random number generator, with specific requirements on the last 8 bytes based on the negotiated TLS version.",0,Skip,Skip,Skip
19,Session ID Echo,"legacy_session_id_echo contains the client's session ID, which must match the client's sent value; otherwise, the handshake is aborted with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients' session ID in legacy_session_id_echo MUST match the sent value.) + <SMP> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the session ID does not match.)","<CMC> <1> (Clients' session ID in legacy_session_id_echo MUST match the sent value.) + <SMP> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the session ID does not match.)","```markdown
{CMC} (Send a ClientHello with a legacy_session_id_echo that does not match any previously established session ID.)

{CMC} (Include a legacy_session_id_echo field with an invalid length, exceeding the maximum allowed size for session IDs.)

{CMC} (Omit the legacy_session_id_echo field entirely from the ClientHello message, violating the requirement to include it when applicable.)
```"
20,Cipher Suite Selection,"The cipher_suite field contains the single cipher suite selected by the server from the client's offered list, and a mismatch results in an ""illegal_parameter"" alert.",0,Skip,Skip,Skip
21,Compression Method,The legacy_compression_method field must always have the value 0.,1,<CMC> <1> (Clients MUST set the legacy_compression_method field to 0.) + <SMP> <0> (Servers MUST accept the legacy_compression_method field with the value 0.),<CMC> <1> (Clients MUST set the legacy_compression_method field to 0.) + <SMP> <0> (Servers MUST accept the legacy_compression_method field with the value 0.),"```markdown
{CMC} (Set the legacy_compression_method field to an invalid value, such as 255, which is not defined in the specification.)

{CMC} (Omit the legacy_compression_method field entirely from the ClientHello message.)

{CMC} (Send the legacy_compression_method field with a value that should not be present in TLS 1.3, such as a negative number.)
```"
22,Extensions Requirements,"The extensions field must include only those necessary for establishing the cryptographic context and must contain the ""supported_versions"" extension in all TLS 1.3 messages.",1,"```
<CMC> <1> (Clients MUST include only necessary extensions for establishing the cryptographic context and MUST contain the ""supported_versions"" extension in all TLS 1.3 messages.) + <SMP> <1> (Servers MUST process only necessary extensions for establishing the cryptographic context and MUST expect the ""supported_versions"" extension in all TLS 1.3 messages.)
```","<CMC> <1> (Clients MUST include only necessary extensions for establishing the cryptographic context and MUST contain the ""supported_versions"" extension in all TLS 1.3 messages.) + <SMP> <1> (Servers MUST process only necessary extensions for establishing the cryptographic context and MUST expect the ""supported_versions"" extension in all TLS 1.3 messages.)","```markdown
{CMC} (Send a ClientHello message without the ""supported_versions"" extension.)

{CMC} (Include an extension in the ClientHello that is not defined in RFC 8446.)

{CMC} (Send a ClientHello with multiple unnecessary extensions that do not contribute to the cryptographic context.)
```"
23,HelloRetryRequest Structure,The HelloRetryRequest message uses the same structure as ServerHello but sets the Random value to a predefined SHA-256 hash for backward compatibility with middleboxes.,0,Skip,Skip,Skip
24,Random Value Check,"Upon receiving a server_hello message, implementations must check if the Random value matches specific criteria related to downgrade protection.",1,<SMC> <1> (Servers MUST check if the Random value in the server_hello message matches specific criteria related to downgrade protection.) + <CMP> <0> (Clients MUST verify the Random value in the server_hello message for downgrade protection compliance.),<SMC> <1> (Servers MUST check if the Random value in the server_hello message matches specific criteria related to downgrade protection.) + <CMP> <0> (Clients MUST verify the Random value in the server_hello message for downgrade protection compliance.),"```markdown
{CMC} (Send a ClientHello message with a Random value that does not meet downgrade protection criteria, such as using a predictable or reused value.)

{CMC} (Omit the Random value entirely from the ClientHello message, violating the requirement for uniqueness and randomness.)

{CMC} (Include an invalid or malformed value in the Random field of the ClientHello, such as exceeding the expected size of 32 bytes.)
```"
25,Downgrade Protection Mechanism,TLS 1.3 servers negotiating TLS 1.2 or below must set the last 8 bytes of the Random value to specific values to provide downgrade protection against attacks.,1,<SMC> <1> (Servers negotiating TLS 1.2 or below MUST set the last 8 bytes of the Random value to specific values for downgrade protection.) + <CMP> <0> (Clients MUST verify that the last 8 bytes of the Random value are set to the specific values for downgrade protection.),<SMC> <1> (Servers negotiating TLS 1.2 or below MUST set the last 8 bytes of the Random value to specific values for downgrade protection.) + <CMP> <0> (Clients MUST verify that the last 8 bytes of the Random value are set to the specific values for downgrade protection.),"```markdown
{CMC} (Send a ClientHello with the last 8 bytes of the Random value set to arbitrary values that do not match the required downgrade protection values.)

{CMC} (Send a ClientHello omitting the Random value entirely, violating the requirement to include it for negotiation.)

{CMC} (Send a ClientHello with a malformed Random value that is shorter than 32 bytes, thus violating the expected message structure.)
```"
26,Client Checks for Downgrade,"TLS 1.3 clients must verify the last 8 bytes of the Random value to prevent downgrade attacks, and if a match is found, they must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients MUST verify the last 8 bytes of the Random value to prevent downgrade attacks.) + <SMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if a match is found.)","<CMC> <1> (Clients MUST verify the last 8 bytes of the Random value to prevent downgrade attacks.) + <SMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if a match is found.)","```markdown
{CMC} (Send a ClientHello with a Random value where the last 8 bytes are all zeros, failing to verify against downgrade attack criteria.)

{CMC} (Include an invalid length for the Random value field in the ClientHello, such as less than 32 bytes.)

{CMC} (Send a ClientHello where the Random value contains non-random predictable bytes, undermining security expectations.)
```"
27,Renegotiation Handling,"A legacy TLS client receiving a TLS 1.3 ServerHello during renegotiation must abort the handshake with a ""protocol_version"" alert, as renegotiation is not possible in TLS 1.3.",1,"<CMC> <1> (A legacy TLS client MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello during renegotiation.) + <SMP> <0> (Servers MUST not expect renegotiation in TLS 1.3.)","<CMC> <1> (A legacy TLS client MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello during renegotiation.) + <SMP> <0> (Servers MUST not expect renegotiation in TLS 1.3.)","```markdown
{CMC} (Send a ClientHello message with an unsupported legacy protocol version, such as TLS 1.0, when initiating a TLS 1.3 handshake.)

{CMC} (Include an invalid ""cipher_suites"" list in the ClientHello that contains ciphers not compatible with TLS 1.3.)

{CMC} (Omit the mandatory ""extensions"" field in the ClientHello message, violating the requirement for extension presence in TLS 1.3.)
```"
28,Hello Retry Request Purpose,The server sends a HelloRetryRequest in response to a ClientHello message when it finds acceptable parameters but requires more information to proceed with the handshake. This message has the same format as a ServerHello message.,0,Skip,Skip,Skip
29,Extensions in Hello Retry Request,"The server's extensions must include ""supported_versions"" and may optionally include the ""cookie"" extension. It must not contain any extensions not first offered by the client, except for ""cookie.""",1,"<SMC> <1> (Servers MUST include the ""supported_versions"" extension in their extensions.) + <CMP> <1> (Clients MUST offer the ""supported_versions"" extension in their ClientHello.)
<SMC> <1> (Servers MAY optionally include the ""cookie"" extension in their extensions.) + <CMP> <1> (Clients MAY include the ""cookie"" extension in their ClientHello.)
<SMC> <1> (Servers MUST NOT include any extensions not first offered by the client, except for ""cookie."") + <CMP> <1> (Clients MUST offer extensions that the server can include.)","<SMC> <1> (Servers MUST include the ""supported_versions"" extension in their extensions.) + <CMP> <1> (Clients MUST offer the ""supported_versions"" extension in their ClientHello.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" extension included, violating the requirement to offer this extension.)
{CMC} (Send a ClientHello with an invalid format for the ""supported_versions"" extension, such as a version not defined in the specification.)
{CMC} (Send a ClientHello that includes multiple ""supported_versions"" extensions, which is not allowed per the specification.)
```"
,,,,,"<SMC> <1> (Servers MAY optionally include the ""cookie"" extension in their extensions.) + <CMP> <1> (Clients MAY include the ""cookie"" extension in their ClientHello.)","```markdown
{CMC} (Send a ClientHello without any extensions when a ""cookie"" extension is expected by the server.)

{CMC} (Include an invalid ""cookie"" extension in the ClientHello that does not conform to the expected format.)

{CMC} (Send a ClientHello with duplicate ""cookie"" extensions, violating the uniqueness requirement for extensions.)
```"
,,,,,"<SMC> <1> (Servers MUST NOT include any extensions not first offered by the client, except for ""cookie."") + <CMP> <1> (Clients MUST offer extensions that the server can include.)","```markdown
{CMC} (Send a ClientHello that includes an extension not supported by the server, violating the requirement to only offer compatible extensions.)

{CMC} (Send a ClientHello with an empty extensions field, omitting all offered extensions.)

{CMC} (Send a ClientHello that includes a critical extension marked as unsupported by the server, which should not be included in the server's response.)
```"
30,Client Actions on Hello Retry Request,"Upon receiving a HelloRetryRequest, the client must check specific fields and process the extensions, starting with ""supported_versions."" It must abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.",1,"<CMC> <1> (Clients MUST check specific fields and process the extensions upon receiving a HelloRetryRequest, starting with ""supported_versions."") + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.)","<CMC> <1> (Clients MUST check specific fields and process the extensions upon receiving a HelloRetryRequest, starting with ""supported_versions."") + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" field after receiving a HelloRetryRequest.)

{CMC} (Send a ClientHello with an invalid ""supported_versions"" field that does not match any supported versions.)

{CMC} (Omit the ""extensions"" field entirely in the ClientHello after receiving a HelloRetryRequest.)
```"
31,Handling Multiple Hello Retry Requests,"If a client receives a second HelloRetryRequest in the same connection, it must abort the handshake with an ""unexpected_message"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert upon receiving a second HelloRetryRequest in the same connection.) + <SMP> <0> (Servers MUST not send a second HelloRetryRequest in the same connection.)","<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert upon receiving a second HelloRetryRequest in the same connection.) + <SMP> <0> (Servers MUST not send a second HelloRetryRequest in the same connection.)","```markdown
{CMC} (Send a ClientHello message after receiving a second HelloRetryRequest instead of aborting the handshake with an ""unexpected_message"" alert.)

{CMC} (Send a malformed ClientHello message that includes an invalid or unsupported cipher suite after receiving a HelloRetryRequest.)

{CMC} (Omit the required ""random"" field from the ClientHello message following a HelloRetryRequest.)
```"
32,Cipher Suite Negotiation,A client must abort the handshake if it receives a cipher suite not offered earlier. Servers must negotiate the same cipher suite when receiving an updated ClientHello.,1,<CMC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered earlier.) + <SMP> <1> (Servers MUST negotiate the same cipher suite when receiving an updated ClientHello.),<CMC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered earlier.) + <SMP> <1> (Servers MUST negotiate the same cipher suite when receiving an updated ClientHello.),"```markdown
{CMC} (Send a ClientHello that includes an unsupported cipher suite that was not offered in the initial negotiation.)

{CMC} (Send a ClientHello with the cipher suites list omitted entirely, violating the requirement to specify available options.)

{CMC} (Send a ClientHello with a malformed cipher suite entry that does not conform to the expected format or range.)
```"
33,Selected Version Consistency,"The selected_version in the HelloRetryRequest must be retained in the ServerHello; otherwise, the client must abort the handshake with an ""illegal_parameter"" alert.",1,"<SMC> <1> (Servers MUST retain the selected_version from the HelloRetryRequest in the ServerHello.) + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the selected_version is not retained in the ServerHello.)","<SMC> <1> (Servers MUST retain the selected_version from the HelloRetryRequest in the ServerHello.) + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if the selected_version is not retained in the ServerHello.)","```markdown
{CMC} (Send a ClientHello with a version that is not supported by the server, forcing an unexpected response without waiting for a ServerHello.)

{CMC} (Send a ClientHello that includes an unsupported extension, causing the server to potentially drop the handshake prematurely.)

{CMC} (Send a ClientHello with the `random` field set to all zeros, which should trigger an error due to invalid randomness.)
```"
34,ClientHello Update Guidelines,"In its updated ClientHello, the client should avoid offering pre-shared keys associated with different hashes than that of the selected cipher suite to prevent unnecessary computations.",0,Skip,Skip,Skip
35,TLS Extensions Structure,"A number of TLS messages contain tag-length-value encoded extensions structures. The structure includes an ""extension_type"" to identify the extension and ""extension_data"" for specific information related to the extension type.",0,Skip,Skip,Skip
36,Extension Types,"The list of extension types, including server_name, max_fragment_length, and others, is maintained by IANA as described in Section 11.",0,Skip,Skip,Skip
37,Request/Response Model,Extensions are generally structured in a request/response manner. The client sends extension requests in the ClientHello message while the server responds in various messages such as ServerHello and Certificate.,0,Skip,Skip,Skip
38,Unsolicited Extensions,"The server may send unsolicited extensions in the NewSessionTicket, which the client does not respond to directly.",0,Skip,Skip,Skip
39,Handling Extension Responses,"Implementations must not send extension responses if the corresponding requests were not received, except for the ""cookie"" extension in HelloRetryRequest, which may lead to an ""unsupported_extension"" alert if violated.",1,"<SMC> <1> (Servers MUST not send extension responses if the corresponding requests were not received, except for the ""cookie"" extension in HelloRetryRequest.) + <CMP> <1> (Clients MAY receive an ""unsupported_extension"" alert if the server violates the rule regarding extension responses.)","<SMC> <1> (Servers MUST not send extension responses if the corresponding requests were not received, except for the ""cookie"" extension in HelloRetryRequest.) + <CMP> <1> (Clients MAY receive an ""unsupported_extension"" alert if the server violates the rule regarding extension responses.)","```markdown
{CMC} (Include an unsupported extension in the ClientHello message that the server has not been requested to respond to.)

{CMC} (Omit the required ""client_version"" field from the ClientHello message, which is necessary for extension processing.)

{CMC} (Send a ClientHello message with an invalid ""cipher_suites"" list that contains unsupported or malformed cipher suites.)
```"
40,Extension Message Restrictions,"If an implementation receives an extension not specified for the message, it must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if an extension not specified for the message is received.) + <SMP> <0> (Servers MUST not accept extensions not specified for the message and must trigger an abort with an ""illegal_parameter"" alert.)","<CMC> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if an extension not specified for the message is received.) + <SMP> <0> (Servers MUST not accept extensions not specified for the message and must trigger an abort with an ""illegal_parameter"" alert.)","```markdown
{CMC} (Include an unknown extension in the ClientHello message that is not defined in RFC 8446.)

{CMC} (Send a ClientHello message without the mandatory supported_versions extension.)

{CMC} (Construct a ClientHello that specifies an invalid cipher suite not listed in the supported cipher suites.)
```"
41,Extension Message Availability,"A table indicates where each extension may appear, using notations like CH (ClientHello) and SH (ServerHello).",0,Skip,Skip,Skip
42,Order of Extensions,"When multiple extensions are present, they may appear in any order, except for ""pre_shared_key,"" which must be last in ClientHello. No more than one extension of the same type may exist in a block.",1,"<CMC> <1> (Clients MAY include multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.) + <SMP> <1> (Servers MUST process multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.)
<CMC> <1> (Clients MUST not include more than one extension of the same type in a block.) + <SMP> <1> (Servers MUST reject multiple extensions of the same type in a block.)","<CMC> <1> (Clients MAY include multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.) + <SMP> <1> (Servers MUST process multiple extensions in any order, except for ""pre_shared_key,"" which MUST be last in the ClientHello.)","```markdown
{CMC} (Include the ""pre_shared_key"" extension before other extensions in the ClientHello message.)

{CMC} (Send a ClientHello with an unsupported extension type that is not defined in RFC 8446.)

{CMC} (Omit the mandatory ""client_version"" field from the ClientHello message.)
```"
,,,,,<CMC> <1> (Clients MUST not include more than one extension of the same type in a block.) + <SMP> <1> (Servers MUST reject multiple extensions of the same type in a block.),"```markdown
{CMC} (Include multiple instances of the same extension type in the ClientHello, such as multiple ""server_name"" extensions.)

{CMC} (Include duplicate ""supported_versions"" extensions within the ClientHello message.)

{CMC} (Send a ClientHello with multiple ""key_share"" extensions, each containing different key shares.)
```"
43,Negotiation in TLS 1.3,"In TLS 1.3, extensions are negotiated for each handshake, even in resumption-PSK mode, differing from TLS 1.2.",0,Skip,Skip,Skip
44,Security Considerations,Designers should consider security implications when introducing new extensions to prevent attacks that manipulate handshake messages.,0,Skip,Skip,Skip
45,Error Handling in Extensions,"Error conditions and refusals to support features should be handled properly, using appropriate alerts for errors and fields in responses for refusals.",0,Skip,Skip,Skip
46,Integrity of Handshake Phase,"Designers must ensure that extensions do not compromise security, especially since active attackers can modify messages until the handshake is authenticated.",1,<CMC> <1> (Designers MUST ensure that extensions do not compromise security during the handshake.) + <SMP> <0> (Servers MUST handle extensions in a way that maintains security integrity until the handshake is authenticated.),<CMC> <1> (Designers MUST ensure that extensions do not compromise security during the handshake.) + <SMP> <0> (Servers MUST handle extensions in a way that maintains security integrity until the handshake is authenticated.),"```markdown
{CMC} (Include an extension that contains a value larger than the maximum allowed size, potentially leading to buffer overflow vulnerabilities.)

{CMC} (Send a ClientHello that contains an extension with invalid or unsupported values that could disrupt the handshake process.)

{CMC} (Omit mandatory extensions from the ClientHello, such as the supported groups extension, which is essential for key exchange.)
```"
47,Supported Versions Extension Purpose,"The ""supported_versions"" extension is used by the client to indicate which versions of TLS it supports and by the server to indicate the version it is using. The extension contains a list of supported versions in preference order, with the most preferred version first.",0,Skip,Skip,Skip
48,ClientHello Requirements,"Implementations of this specification must send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304. Previous versions of TLS must also be included if allowed.",1,"<CMC> <1> (Clients MUST send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304.) + <SMP> <0> (Servers MUST accept the ""supported_versions"" extension in the ClientHello, containing all versions of TLS prepared for negotiation.)  
<CMC> <1> (Clients MUST include previous versions of TLS if allowed.) + <SMP> <0> (Servers MUST accept previous versions of TLS included in the ""supported_versions"" extension if allowed.)","<CMC> <1> (Clients MUST send the ""supported_versions"" extension in the ClientHello, containing all versions of TLS they are prepared to negotiate, minimally including 0x0304.) + <SMP> <0> (Servers MUST accept the ""supported_versions"" extension in the ClientHello, containing all versions of TLS prepared for negotiation.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" extension)

{CMC} (Send a ClientHello with an invalid ""supported_versions"" extension value, such as 0x9999)

{CMC} (Send a ClientHello with the ""supported_versions"" extension containing only outdated TLS versions, excluding 0x0304)
```"
,,,,,"<CMC> <1> (Clients MUST include previous versions of TLS if allowed.) + <SMP> <0> (Servers MUST accept previous versions of TLS included in the ""supported_versions"" extension if allowed.)","```markdown
{CMC} (Send a ClientHello that includes an unsupported TLS version in the ""supported_versions"" extension.)

{CMC} (Omit the ""supported_versions"" extension entirely from the ClientHello message.)

{CMC} (Include multiple ""supported_versions"" extensions with conflicting version numbers in the ClientHello message.)
```"
49,Server Behavior Without Extension,"If the ""supported_versions"" extension is not present, compliant servers supporting TLS 1.2 must negotiate TLS 1.2 or prior, regardless of the ClientHello.legacy_version value. Servers may abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later.",1,"<SMC> <1> (Servers MUST negotiate TLS 1.2 or prior if the ""supported_versions"" extension is not present, regardless of the ClientHello.legacy_version value.) + <CMP> <1> (Clients MAY include legacy_version 0x0304 or later in the ClientHello, but servers may abort the handshake upon receiving such a value.)  
<SMC> <1> (Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later.) + <CMP> <1> (Clients MUST be aware that their legacy_version could lead to handshake abortion if it is 0x0304 or later.)","<SMC> <1> (Servers MUST negotiate TLS 1.2 or prior if the ""supported_versions"" extension is not present, regardless of the ClientHello.legacy_version value.) + <CMP> <1> (Clients MAY include legacy_version 0x0304 or later in the ClientHello, but servers may abort the handshake upon receiving such a value.)","```markdown
{CMC} (Send a ClientHello without the ""supported_versions"" extension while including a legacy_version of 0x0304, which should trigger an abort from the server but violates the expected negotiation behavior.)

{CMC} (Include an unsupported legacy_version value (e.g., 0x0305) in the ClientHello, which is invalid and should result in a handshake failure.)

{CMC} (Send a ClientHello with the ""supported_versions"" extension but include a malformed version list that contains non-existent versions, violating the format requirement.)
```"
,,,,,<SMC> <1> (Servers MAY abort the handshake upon receiving a ClientHello with legacy_version 0x0304 or later.) + <CMP> <1> (Clients MUST be aware that their legacy_version could lead to handshake abortion if it is 0x0304 or later.),"```markdown
{CMC} (Send a ClientHello message with legacy_version set to 0x0304, which should trigger an abort from the server.)

{CMC} (Send a ClientHello message with legacy_version set to an invalid value, such as 0xFFFF, which is not defined in the RFC.)

{CMC} (Send a ClientHello message omitting the legacy_version field entirely, violating the required structure of the message.)
```"
