//----- (0000000140148958) ----------------------------------------------------
__int64 __fastcall ParseInputString(int a1, char *a2, _QWORD *a3)
{
  unsigned int v6; // edi
  wchar_t **v133; // [rsp+60h] [rbp-A0h]
  __int64 v134; // [rsp+70h] [rbp-90h] BYREF
  __int64 v135[7]; // [rsp+78h] [rbp-88h] BYREF
  wchar_t *v136; // [rsp+B0h] [rbp-50h] BYREF
  _QWORD *v137; // [rsp+B8h] [rbp-48h]
  struct in6_addr v138; // [rsp+C0h] [rbp-40h] BYREF
  void *v139[2]; // [rsp+D0h] [rbp-30h] BYREF
  __int64 v140; // [rsp+E0h] [rbp-20h]
  unsigned __int64 v141; // [rsp+E8h] [rbp-18h]
  __int64 v142[46]; // [rsp+100h] [rbp+0h] BYREF
  wchar_t *Context[2]; // [rsp+270h] [rbp+170h] BYREF
  wchar_t *String[2]; // [rsp+280h] [rbp+180h] BYREF
  CHAR v145[64]; // [rsp+290h] [rbp+190h] BYREF
  char Src[256]; // [rsp+2D0h] [rbp+1D0h] BYREF

  v137 = a3;
  v136 = 0i64;
  v6 = 0;
  *(_OWORD *)Context = 0i64;
  *(_OWORD *)String = 0i64;
  `eh vector constructor iterator'(
    &v134,
    0x20ui64,
    2ui64,
    (void (__stdcall *)(void *))std::vector<unsigned short *>::vector<unsigned short *>,
    (void (__stdcall *)(void *))std::vector<unsigned short *>::~vector<unsigned short *>);
  v7 = -1i64;
  *a3 = 0i64;
  v8 = 0i64;
  v141 = 7i64;
  v140 = 0i64;
  LOWORD(v139[0]) = 0;
  do
    ++v7;
  while ( *(_WORD *)&a2[2 * v7] );
  std::wstring::assign((char *)v139, a2, v7);
  v9 = v139;
  v10 = v139;
  if ( v141 >= 8 )
  {
    v9 = (void **)v139[0];
    v10 = (void **)v139[0];
  }
  v11 = 0i64;
  v12 = 0i64;
  v13 = (void **)((char *)v9 + 2 * v140);
  v14 = (unsigned __int64)((char *)v13 - (char *)v10 + 1) >> 1;
  if ( v10 > v13 )
    v14 = 0i64;
  if ( !v14 )
    goto LABEL_15;
  do
  {
    if ( *(_WORD *)v10 == 59 )
      ++v11;
    v10 = (void **)((char *)v10 + 2);
    ++v12;
  }
  while ( v12 != v14 );
  if ( v11 > 1 )
  {
    if ( !a1 )
      goto LABEL_13;
    v15 = a1 == 1;
  }
  else
  {
LABEL_15:
    v16 = 0;
    Context[0] = wcstok_s((wchar_t *)a2, L";", &Context[1]);
    v17 = v135;
    v18 = Context;
    v133 = Context;
    while ( 1 )
    {
      v19 = *v18;
      v136 = 0i64;
      v130 = wcstok_s(v19, L",", &v136);
      v20 = v130;
      if ( v130 )
      {
        do
        {
          v21 = (_QWORD *)*v17;
          if ( (unsigned __int64)&v130 >= *v17 || (v22 = v17 - 1, *(v17 - 1) > (unsigned __int64)&v130) )
          {
            v29 = (_QWORD *)v17[1];
            if ( v21 == v29 )
            {
              v30 = ((__int64)v21 - *(v17 - 1)) >> 3;
              if ( v30 > 0x1FFFFFFFFFFFFFFEi64 )
                std::vector<std::vector<unsigned char> *,std::allocator<std::vector<unsigned char> *>>::_Xlen();
              v31 = v30 + 1;
              v32 = ((__int64)v29 - *(v17 - 1)) >> 3;
              if ( v31 > v32 )
              {
                if ( 0x1FFFFFFFFFFFFFFFi64 - (v32 >> 1) >= v32 )
                  v33 = (v32 >> 1) + v32;
                else
                  v33 = 0i64;
                if ( v33 < v31 )
                  v33 = v31;
                std::vector<unsigned short *>::reserve((__int64)(v17 - 1), v33);
              }
            }
            if ( *v17 )
              *(_QWORD *)*v17 = v20;
          }
          else
          {
            v23 = (_QWORD *)v17[1];
            v24 = ((__int64)&v130 - *v22) >> 3;
            if ( v21 == v23 )
            {
              v25 = ((__int64)v21 - *v22) >> 3;
              if ( v25 > 0x1FFFFFFFFFFFFFFEi64 )
                std::vector<std::vector<unsigned char> *,std::allocator<std::vector<unsigned char> *>>::_Xlen();
              v26 = v25 + 1;
              v27 = ((__int64)v23 - *v22) >> 3;
              if ( v26 > v27 )
              {
                if ( 0x1FFFFFFFFFFFFFFFi64 - (v27 >> 1) >= v27 )
                  v28 = (v27 >> 1) + v27;
                else
                  v28 = 0i64;
                if ( v28 < v26 )
                  v28 = v26;
                std::vector<unsigned short *>::reserve((__int64)(v17 - 1), v28);
              }
            }
            if ( *v17 )
              *(_QWORD *)*v17 = *(_QWORD *)(*v22 + 8 * v24);
          }
          *v17 += 8i64;
          v130 = wcstok_s(0i64, L",", &v136);
          v20 = v130;
        }
        while ( v130 );
        v18 = v133;
      }
      if ( ((*v17 - *(v17 - 1)) & 0xFFFFFFFFFFFFFFF8ui64) == 8 )
        break;
      ++v18;
      ++v16;
      v133 = v18;
      v17 += 4;
      if ( v16 >= 2 )
      {
        v8 = operator new(0x10ui64, (const struct std::nothrow_t *)&std::nothrow);
        if ( !v8 )
        {
          v34 = WPP_GLOBAL_Control;
          if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
            && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
            && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
          {
            v35 = 105;
            goto LABEL_50;
          }
          goto LABEL_51;
        }
        *v8 = 0i64;
        v8[1] = 0i64;
        v36 = operator new[](0x20ui64, (const struct std::nothrow_t *)&std::nothrow);
        v8[1] = v36;
        if ( !v36 )
        {
          v34 = WPP_GLOBAL_Control;
          if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
            && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
            && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
          {
            v35 = 106;
            goto LABEL_50;
          }
          goto LABEL_51;
        }
        memset_0(v36, 0, 0x20ui64);
        v37 = 0i64;
        *((_DWORD *)v8 + 1) = a1;
        v130 = 0i64;
        LODWORD(v133) = 0;
        while ( 1 )
        {
          v38 = 4i64 * (_QWORD)v37;
          if ( ((v135[4 * (_QWORD)v37] - v135[4 * (_QWORD)v37 - 1]) & 0xFFFFFFFFFFFFFFF8ui64) == 0 )
          {
LABEL_294:
            *v137 = v8;
            goto LABEL_310;
          }
          v39 = (const wchar_t **)v135[4 * (_QWORD)v37 - 1];
          if ( _wcsicmp(*v39, L"EQ") && _wcsicmp(*v39, L"NE") )
          {
            if ( a1 )
            {
              switch ( a1 )
              {
                case 1:
                  v6 = 9991;
                  break;
                case 2:
                  v6 = 9992;
                  break;
                case 3:
                  v6 = 9993;
                  break;
                case 4:
                  v6 = 9994;
                  break;
                case 5:
                  v6 = 9995;
                  break;
                case 6:
                  v6 = 9996;
                  break;
              }
            }
            else
            {
              v6 = 9990;
            }
            goto LABEL_310;
          }
          v40 = _wcsicmp(*v39, L"EQ");
          v41 = v130;
          if ( !v40 )
          {
            *(_DWORD *)(v8[1] + 16i64 * (_QWORD)v130) = 1;
            ++*(_DWORD *)v8;
          }
          if ( !_wcsicmp(*v39, L"NE") )
          {
            *(_DWORD *)(v8[1] + 16i64 * (_QWORD)v41) = 2;
            ++*(_DWORD *)v8;
          }
          v42 = v39 + 1;
          if ( !a1 )
            break;
          switch ( a1 )
          {
            case 1:
              v101 = 8i64 * ((unsigned int)((v135[v38] - v135[v38 - 1]) >> 3) - 1);
              v126 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
              v102 = 2i64 * (_QWORD)v41;
              *(_QWORD *)(v8[1] + 8 * v102 + 8) = operator new[](v101, (const struct std::nothrow_t *)&std::nothrow);
              v103 = v8[1];
              if ( !*(_QWORD *)(v103 + 8 * v102 + 8) )
                goto LABEL_241;
              *(_DWORD *)(v103 + 8 * v102 + 4) = v126;
              memset_0(*(void **)(v8[1] + 8 * v102 + 8), 0, v101);
              v127 = 0;
              while ( v42 != (const wchar_t **)v135[v38] )
              {
                v104 = operator new(2ui64, (const struct std::nothrow_t *)&std::nothrow);
                if ( !v104 )
                  goto LABEL_241;
                *v104 = 0;
                if ( _wcsicmp(*v42, L"TCP") )
                {
                  if ( _wcsicmp(*v42, L"UDP") )
                  {
                    operator delete(v104);
                    v6 = 9991;
                    goto LABEL_309;
                  }
                  *v104 = 1;
                }
                else
                {
                  *v104 = 0;
                }
                ++v42;
                *(_QWORD *)(*(_QWORD *)(v8[1] + 8 * v102 + 8) + 8i64 * v127++) = v104;
              }
              break;
            case 2:
              v97 = 8i64 * ((unsigned int)((v135[v38] - v135[v38 - 1]) >> 3) - 1);
              v124 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
              v98 = 2i64 * (_QWORD)v41;
              *(_QWORD *)(v8[1] + 8 * v98 + 8) = operator new[](v97, (const struct std::nothrow_t *)&std::nothrow);
              v99 = v8[1];
              if ( !*(_QWORD *)(v99 + 8 * v98 + 8) )
                goto LABEL_241;
              *(_DWORD *)(v99 + 8 * v98 + 4) = v124;
              memset_0(*(void **)(v8[1] + 8 * v98 + 8), 0, v97);
              v125 = 0;
              while ( v42 != (const wchar_t **)v135[v38] )
              {
                v100 = operator new(2ui64, (const struct std::nothrow_t *)&std::nothrow);
                if ( !v100 )
                  goto LABEL_241;
                *v100 = 0;
                if ( _wcsicmp(*v42, L"IPv4") )
                {
                  if ( _wcsicmp(*v42, L"IPv6") )
                  {
                    operator delete(v100);
                    v6 = 9992;
                    goto LABEL_309;
                  }
                  *v100 = 0;
                }
                else
                {
                  *v100 = 1;
                }
                ++v42;
                *(_QWORD *)(*(_QWORD *)(v8[1] + 8 * v98 + 8) + 8i64 * v125++) = v100;
              }
              break;
            case 3:
              v89 = 8i64 * ((unsigned int)((v135[v38] - v135[v38 - 1]) >> 3) - 1);
              v122 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
              v90 = 2i64 * (_QWORD)v41;
              *(_QWORD *)(v8[1] + 8 * v90 + 8) = operator new[](v89, (const struct std::nothrow_t *)&std::nothrow);
              v91 = v8[1];
              if ( *(_QWORD *)(v91 + 8 * v90 + 8) )
              {
                *(_DWORD *)(v91 + 8 * v90 + 4) = v122;
                memset_0(*(void **)(v8[1] + 8 * v90 + 8), 0, v89);
                for ( i = 0; ; ++i )
                {
                  if ( v42 == (const wchar_t **)v135[v38] )
                    goto LABEL_117;
                  *(_WORD *)&Addr.S_un.S_un_b.s_b2 = 0;
                  Addr.S_un.S_un_b.s_b1 = 0;
                  Addr.S_un.S_un_b.s_b4 = 0;
                  v138.u.Byte[0] = 0;
                  *(_QWORD *)&v138.u.Byte[1] = 0i64;
                  *(_DWORD *)((char *)&v138.u.Word[4] + 1) = 0;
                  *(USHORT *)((char *)&v138.u.Word[6] + 1) = 0;
                  v138.u.Byte[15] = 0;
                  Terminator = 0i64;
                  v92 = (struct in_addr *)operator new(0x40ui64, (const struct std::nothrow_t *)&std::nothrow);
                  if ( !v92 )
                    break;
                  v93 = wcsstr(*v42, L".");
                  v94 = *v42;
                  if ( v93 )
                  {
                    v6 = RtlIpv4StringToAddressW(v94, 1u, &Terminator, &Addr);
                    v95 = v92;
                    if ( v6 )
                      goto LABEL_275;
                    DnsAddr_BuildFromIp4(v92, Addr, 0);
                  }
                  else
                  {
                    v6 = RtlIpv6StringToAddressW(v94, &Terminator, &v138);
                    v95 = v92;
                    if ( v6 )
                    {
LABEL_275:
                      operator delete(v95);
                      v6 = 9993;
                      goto LABEL_309;
                    }
                    DnsAddr_BuildFromIp6((char *)v92, (__int128 *)&v138, v96, 0);
                  }
                  ++v42;
                  *(_QWORD *)(*(_QWORD *)(v8[1] + 8 * v90 + 8) + 8i64 * i) = v92;
                }
                v115 = WPP_GLOBAL_Control;
                if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                  || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                  || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                {
                  goto LABEL_241;
                }
                v116 = 108;
              }
              else
              {
                v115 = WPP_GLOBAL_Control;
                if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                  || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                  || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                {
                  goto LABEL_241;
                }
                v116 = 107;
              }
              goto LABEL_251;
            case 4:
              v76 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
              v77 = operator new[](8i64 * v76, (const struct std::nothrow_t *)&std::nothrow);
              v78 = v8[1];
              v79 = (const WCHAR *)(16i64 * (_QWORD)v130);
              Terminator = v79;
              *(_QWORD *)((char *)v79 + v78 + 8) = v77;
              v80 = v8[1];
              if ( !*(_QWORD *)((char *)v79 + v80 + 8) )
              {
                v115 = WPP_GLOBAL_Control;
                if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                  || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                  || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                {
                  goto LABEL_241;
                }
                v116 = 111;
                goto LABEL_251;
              }
              *(_DWORD *)((char *)v79 + v80 + 4) = v76;
              memset_0(*(void **)((char *)v79 + v8[1] + 8), 0, 8i64 * v76);
              v121 = 0;
              if ( v42 != (const wchar_t **)v135[v38] )
              {
                v6 = 0;
                while ( 1 )
                {
                  memset_0(v142, 0, sizeof(v142));
                  memset_0(v145, 0, sizeof(v145));
                  v81 = (char *)Dns_StringCopyAllocate((char *)*v42, 0, 1i64, 2);
                  v82 = v81;
                  if ( !v81 )
                    break;
                  v83 = -1i64;
                  do
                    ++v83;
                  while ( v81[v83] );
                  if ( (unsigned int)Dns_ValidateAndCategorizeDnsNameEx(v81, v83) == 123 )
                  {
                    Mem_Free(v82, 0i64, 0i64, (__int64)"ds\\dns\\server\\policy\\policy.cpp", 4076);
                    v6 = 9994;
                    if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                      && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                    {
                      WPP_SF_Ds(
                        *((_QWORD *)WPP_GLOBAL_Control + 7),
                        0x71u,
                        (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids,
                        9994,
                        (__int64)v82);
                    }
LABEL_309:
                    FreePolicyCriteriaList((int *)v8);
                    goto LABEL_310;
                  }
                  if ( !(unsigned int)Name_ConvertDottedNameToLookupName(v82, 0, (unsigned __int16 *)v142) )
                  {
                    Mem_Free(v82, 0i64, 0i64, (__int64)"ds\\dns\\server\\policy\\policy.cpp", 4128);
                    goto LABEL_304;
                  }
                  memset_0(Src, 0, 0xFFui64);
                  v84 = LOWORD(v142[0]);
                  while ( v84 )
                  {
                    v85 = *((unsigned __int8 *)&v142[40] + v84 + 7);
                    v86 = (unsigned __int8 *)v142[v84--];
                    if ( (unsigned int)Dns_DowncaseNameLabel(
                                         v145,
                                         v86,
                                         v85,
                                         (const char *)(unsigned int)dword_1401B9854) == -1 )
                    {
                      Mem_Free(v82, 0i64, 0i64, (__int64)"ds\\dns\\server\\policy\\policy.cpp", 4101);
                      if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                        && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                        && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                      {
                        WPP_SF_s(
                          *((_QWORD *)WPP_GLOBAL_Control + 7),
                          0x72u,
                          (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids,
                          v82);
                      }
                      v6 = 9994;
                      goto LABEL_309;
                    }
                  }
                  if ( !(unsigned int)Name_ConvertLookupNameToDottedName(Src, (unsigned __int16 *)v142) )
                  {
                    Mem_Free(v82, 0i64, 0i64, (__int64)"ds\\dns\\server\\policy\\policy.cpp", 4123);
LABEL_304:
                    v6 = 9994;
                    goto LABEL_309;
                  }
                  v87 = operator new(0x28ui64, (const struct std::nothrow_t *)&std::nothrow);
                  if ( v87 )
                  {
                    v87[3] = 15i64;
                    v87[2] = 0i64;
                    v88 = -1i64;
                    *(_BYTE *)v87 = 0;
                    do
                      ++v88;
                    while ( Src[v88] );
                    std::string::assign(v87, Src, (char *)v88);
                  }
                  else
                  {
                    v87 = 0i64;
                  }
                  if ( !v87 )
                  {
                    Mem_Free(v82, 0i64, 0i64, (__int64)"ds\\dns\\server\\policy\\policy.cpp", 4115);
                    v115 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                      && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                    {
                      v116 = 115;
                      goto LABEL_251;
                    }
LABEL_241:
                    v6 = 14;
                    goto LABEL_309;
                  }
                  *(_QWORD *)(*(_QWORD *)((char *)Terminator + v8[1] + 8) + 8i64 * v121) = v87;
                  Mem_Free(v82, 0i64, 0i64, (__int64)"ds\\dns\\server\\policy\\policy.cpp", 4132);
                  ++v121;
                  if ( ++v42 == (const wchar_t **)v135[v38] )
                    goto LABEL_117;
                }
                v34 = WPP_GLOBAL_Control;
                if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                  && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                  && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                {
                  v35 = 112;
LABEL_50:
                  WPP_SF_(*((_QWORD *)v34 + 7), v35, (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids);
                }
LABEL_51:
                v6 = 14;
                goto LABEL_309;
              }
              break;
            case 5:
              v69 = 8i64 * ((unsigned int)((v135[v38] - v135[v38 - 1]) >> 3) - 1);
              v119 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
              v70 = 2i64 * (_QWORD)v41;
              *(_QWORD *)(v8[1] + 8 * v70 + 8) = operator new[](v69);
              v71 = v8[1];
              if ( *(_QWORD *)(v71 + 8 * v70 + 8) )
              {
                *(_DWORD *)(v71 + 8 * v70 + 4) = v119;
                memset_0(*(void **)(v8[1] + 8 * v70 + 8), 0, v69);
                for ( j = 0; ; ++j )
                {
                  if ( v42 == (const wchar_t **)v135[v38] )
                    goto LABEL_117;
                  v72 = operator new(2ui64);
                  if ( !v72 )
                    break;
                  *v72 = 0;
                  if ( _wcsicmp(*v42, L"ANY") )
                  {
                    v73 = (WCHAR *)*v42;
                    v74 = -1i64;
                    do
                      ++v74;
                    while ( v73[v74] );
                    v75 = Dns_RecordTypeForNameW(v73, v74);
                    *v72 = v75;
                    if ( !v75 )
                    {
                      if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                        && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                        && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                      {
                        WPP_SF_DS(
                          *((_QWORD *)WPP_GLOBAL_Control + 7),
                          0x7Du,
                          (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids,
                          5,
                          (__int64)*v42);
                      }
                      operator delete(v72);
                      v6 = 9995;
                      goto LABEL_309;
                    }
                  }
                  else
                  {
                    *v72 = 255;
                  }
                  ++v42;
                  *(_QWORD *)(*(_QWORD *)(v8[1] + 8 * v70 + 8) + 8i64 * j) = v72;
                }
                v115 = WPP_GLOBAL_Control;
                if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                  && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                  && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                {
                  v116 = 124;
                  goto LABEL_251;
                }
              }
              goto LABEL_241;
            case 6:
              v43 = ((v135[v38] - v135[v38 - 1]) >> 3) - 1;
              v44 = operator new[](8i64 * v43);
              v45 = v8[1];
              v46 = (const WCHAR *)(16i64 * (_QWORD)v130);
              Terminator = v46;
              *(_QWORD *)((char *)v46 + v45 + 8) = v44;
              v47 = v8[1];
              if ( !*(_QWORD *)((char *)v46 + v47 + 8) )
                goto LABEL_241;
              *(_DWORD *)((char *)v46 + v47 + 4) = v43;
              memset_0(*(void **)((char *)v46 + v8[1] + 8), 0, 8i64 * v43);
              v118 = 0;
              if ( v42 != (const wchar_t **)v135[v38] )
              {
                v48 = Terminator;
                while ( 1 )
                {
                  v49 = operator new(0x20ui64);
                  memset_0(v49, 0, 0x20ui64);
                  v50 = wcstok_s((wchar_t *)*v42, L"-", &Context[1]);
                  Context[0] = v50;
                  if ( !v50 || !Context[1] || !*v50 || !*Context[1] )
                  {
                    operator delete(v49);
                    v113 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                      && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                    {
                      v114 = 116;
LABEL_224:
                      WPP_SF_S(
                        *((_QWORD *)v113 + 7),
                        v114,
                        (__int64)&WPP_42dbba61d26d3062f1ad4e084cdc81fe_Traceguids,
                        *v42);
                    }
                    goto LABEL_308;
                  }
                  v51 = wcstok_s(v50, L":", &String[1]);
                  String[0] = v51;
                  v52 = v51;
                  if ( !v51 || !String[1] || (v53 = *v51) == 0 || !*String[1] )
                  {
                    operator delete(v49);
                    v113 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                      && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                    {
                      v114 = 117;
                      goto LABEL_224;
                    }
LABEL_308:
                    v6 = 9996;
                    goto LABEL_309;
                  }
                  v54 = -1i64;
                  do
                    ++v54;
                  while ( v52[v54] );
                  if ( v54 != 2 )
                    break;
                  v55 = -1i64;
                  do
                    ++v55;
                  while ( String[1][v55] );
                  if ( v55 != 2 )
                    break;
                  if ( !iswdigit(v53) || !iswdigit(String[0][1]) || !iswdigit(*String[1]) || !iswdigit(String[1][1]) )
                  {
                    operator delete(v49);
                    v111 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control == (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      || (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) == 0
                      || *((_BYTE *)WPP_GLOBAL_Control + 65) < 2u )
                    {
                      goto LABEL_308;
                    }
                    v112 = 119;
                    goto LABEL_214;
                  }
                  v49[4] = _wtoi(String[0]);
                  v49[5] = _wtoi(String[1]);
                  String[1] = 0i64;
                  String[0] = 0i64;
                  v56 = wcstok_s(Context[1], L":", &String[1]);
                  String[0] = v56;
                  v57 = v56;
                  if ( !v56 || !String[1] || (v58 = *v56) == 0 || !*String[1] )
                  {
                    operator delete(v49);
                    v113 = WPP_GLOBAL_Control;
                    if ( WPP_GLOBAL_Control != (CDnsClientSubnetRecordsTrie *)&WPP_GLOBAL_Control
                      && (*((_BYTE *)WPP_GLOBAL_Control + 68) & 2) != 0
                      && *((_BYTE *)WPP_GLOBAL_Control + 65) >= 2u )
                    {
                      v114 = 120;
                      goto LABEL_224;
                    }
                    goto LABEL_308;
                  }
                  v59 = -1i64;
                  do
                    ++v59;
                  while ( v57[v59] );
                  if ( v59 != 2 )
                    goto LABEL_216;
                  v60 = -1i64;
                  do
                    ++v60;
