//----- (00000001400AA760) ----------------------------------------------------
__int64 deriveAndTimeSetStats()
{
  _DWORD *v0; // rdx
// 1401B9AA8: using guessed type int dword_1401B9AA8;
// 1401B9AAC: using guessed type int dword_1401B9AAC;
// 1401B9AB0: using guessed type int dword_1401B9AB0;
// 1401B9AB4: using guessed type int dword_1401B9AB4;
// 1401B9AB8: using guessed type int dword_1401B9AB8;
// 1401B9ABC: using guessed type int dword_1401B9ABC;
// 1401B9AC0: using guessed type int dword_1401B9AC0;
// 1401B9AC4: using guessed type int dword_1401B9AC4;
// 1401B9AC8: using guessed type int dword_1401B9AC8;
// 1401B9ACC: using guessed type int dword_1401B9ACC;
// 1401B9DF4: using guessed type int SecBigTimeSkewBypass;
// 1401B9DF8: using guessed type int SecTsigVerifyOldFailed;
// 1401B9DFC: using guessed type int SecTsigVerifyOldSig;
// 1401B9E00: using guessed type int SecTsigVerifyFailed;
// 1401B9E04: using guessed type int SecTsigVerifySuccess;
// 1401B9E08: using guessed type int SecTsigBadKey;
// 1401B9E0C: using guessed type int SecTsigEcho;
// 1401B9E10: using guessed type int SecTsigFormerr;
// 1401B9E14: using guessed type int SecTkeyBadTime;
// 1401B9E18: using guessed type int SecTkeyInvalid;
// 1401B9E1C: using guessed type int SecPackFree;
// 1401B9E20: using guessed type int SecPackAlloc;
// 1401B9E24: using guessed type int SecContextTimeout;
// 1401B9E28: using guessed type int SecContextDequeue;
// 1401B9E2C: using guessed type int SecContextQueueInNego;
// 1401B9E30: using guessed type int SecContextQueue;
// 1401B9E34: using guessed type int SecContextFree;
// 1401B9E38: using guessed type int SecContextCreate;
// 1401BA4A8: using guessed type __int64 g_UpdateQueue;
// 1401BA4B0: using guessed type __int64 g_UpdateForwardingQueue;
// 1401C7B64: using guessed type int dword_1401C7B64;
// 1401C7B68: using guessed type int dword_1401C7B68;
// 1401C7B6C: using guessed type int dword_1401C7B6C;
// 1401C7BA8: using guessed type int dword_1401C7BA8;
// 1401C7BAC: using guessed type int dword_1401C7BAC;
// 1401C7BB0: using guessed type int dword_1401C7BB0;
// 1401C7BB4: using guessed type int dword_1401C7BB4;
// 1401C7BB8: using guessed type int dword_1401C7BB8;
// 1401C7BBC: using guessed type int dword_1401C7BBC;
// 1401C7BC8: using guessed type int dword_1401C7BC8;
// 1401C7BCC: using guessed type int dword_1401C7BCC;
// 1401C7BEC: using guessed type int dword_1401C7BEC;
// 1401C7BF0: using guessed type int dword_1401C7BF0;
// 1401C7BF4: using guessed type int dword_1401C7BF4;
// 1401C7BF8: using guessed type __int64 pcUdpMessageMemory;
// 1401C7C68: using guessed type int dword_1401C7C68;
// 1401C7C6C: using guessed type int dword_1401C7C6C;
// 1401C7C70: using guessed type int dword_1401C7C70;
// 1401C7C74: using guessed type int dword_1401C7C74;
// 1401C7C78: using guessed type int dword_1401C7C78;
// 1401C7C7C: using guessed type int dword_1401C7C7C;
// 1401C7C80: using guessed type int dword_1401C7C80;
// 1401C7C84: using guessed type int dword_1401C7C84;
// 1401C7C88: using guessed type __int64 pcNbstatMemory;
// 1401C7FC8: using guessed type int dword_1401C7FC8;
// 1401C7FCC: using guessed type int dword_1401C7FCC;
// 1401C7FD0: using guessed type int dword_1401C7FD0;
// 1401C7FD4: using guessed type int dword_1401C7FD4;
// 1401C81B0: using guessed type int dword_1401C81B0;
// 1401C81B8: using guessed type int dword_1401C81B8;
// 1401C81BC: using guessed type int dword_1401C81BC;
// 1401C81C0: using guessed type int dword_1401C81C0;
// 1401C81CC: using guessed type int dword_1401C81CC;
// 1401C81D0: using guessed type int dword_1401C81D0;
// 1401C83C8: using guessed type int dword_1401C83C8;
// 1401C83CC: using guessed type int dword_1401C83CC;
// 1401C83D0: using guessed type int dword_1401C83D0;
// 1401C83D4: using guessed type int dword_1401C83D4;
// 1401C83D8: using guessed type int dword_1401C83D8;
// 1401C83DC: using guessed type int dword_1401C83DC;
// 1401C83E0: using guessed type int dword_1401C83E0;
// 1401C83E4: using guessed type int dword_1401C83E4;
// 1401C83E8: using guessed type int dword_1401C83E8;
// 1401C83EC: using guessed type int dword_1401C83EC;
// 1401C83F0: using guessed type int dword_1401C83F0;
// 1401C83F4: using guessed type int dword_1401C83F4;
// 1401C83F8: using guessed type int dword_1401C83F8;
// 1401C83FC: using guessed type int dword_1401C83FC;
// 1401C8400: using guessed type int dword_1401C8400;
// 1401C8404: using guessed type int dword_1401C8404;
// 1401C8408: using guessed type int dword_1401C8408;
// 1401C8610: using guessed type __int64 pcDynamicUpdateTimeOut;
// 1401C8618: using guessed type __int64 pcDynamicUpdateQueued;
// 1401CBD88: using guessed type int g_PacketFreeListCount;
// 1401CBDDC: using guessed type int dwNbtBufferLength;
